Occasion,Date,SEC,IND,PASS,VALID,SPE_COR,LEN_COR,WEIGH_COR,TAGID,RECAP_COR,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            
1,20150916,5,63,2,Y,BHC,79,4.5,a0900067000077193  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,64,2,Y,BHC,85,4.8,a0982000403060196  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,65,2,Y,BHC,67,3.1,a0982000403060194  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,66,2,Y,BHC,70,3.6,a0982000403060183  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,67,2,Y,BHC,90,7,a0982000403060164  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,68,2,Y,BHC,60,2.1,a0982000403060176  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,69,2,Y,BHC,70,3.4,a0900067000077126  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,70,2,Y,BHC,72,3.6,a0900067000077034  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,71,2,Y,BHC,70,3.8,a0900067000077105  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,72,2,Y,BHC,65,2.4,a0900067000077059  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,73,2,Y,BHC,60,2.7,a0900067000077001  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,74,2,Y,BHC,66,2.3,a0900067000077088  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,75,2,Y,BHC,71,4.3,a0900067000077063  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,76,2,Y,BHC,60,2.1,a0900067000077296  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,5,77,2,Y,BHC,73,3.7,a0900067000077449  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,1,1,Y,BHC,106,12,a0900067000077113  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,2,1,Y,BHC,110,11.2,a0900067000077040  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,3,1,Y,STJ,126,19.1,a0900067000077415  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,4,1,Y,BHC,116,15.1,a0900067000077071  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,5,1,Y,STJ,142,26.3,a0900067000077411  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,6,1,Y,BHC,90,5.1,a0900067000077416  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,7,1,Y,BHC,86,6,a0900067000077450  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,8,1,Y,STJ,175,49.3,a0900067000077090  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,9,1,Y,BHC,74,3.7,a0900067000077124  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,10,1,Y,BHC,115,15.4,a0900067000077325  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,11,1,Y,BHC,112,14.5,a0900067000077493  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,12,1,Y,STJ,197,69.3,a0900067000077225  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,13,1,Y,BHC,108,12.4,a0900067000077098  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,14,1,Y,BHC,83,5.2,a0900067000077452  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,15,1,Y,BHC,107,10.7,a0900067000077297  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,16,1,Y,BHC,85,5.7,a0900067000077396  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,17,2,Y,BHC,118,17.1,a0900067000077235  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,18,2,Y,BHC,107,12.4,a0900067000077299  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,19,2,Y,BHC,103,10.5,a0900067000077155  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,20,2,Y,STJ,134,26.8,a0900067000077128  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,21,2,Y,BHC,102,11.6,a0900067000077169  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,22,2,Y,BHC,129,20.1,a0900067000077357  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,23,2,Y,STJ,172,47,a0900067000077087  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,24,2,Y,BHC,82,5.6,a0900067000077405  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,25,2,Y,BHC,80,5.5,a0900067000077187  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,26,2,Y,BHC,110,13.7,a0900067000077363  ,N     ,N     ,N     ,N,PREGLER   ,
1,20150916,6,27,2,Y,BHC,70,3.7,a0900067000077414  ,N     ,N     ,N     ,N,PREGLER   ,
