Date,st_occation,end_occation,Todd_WL,Indian_WL
2016/7/27,6 ,7 ,0.251,0.162
2016/7/28,6 ,7 ,0.246,0.157
2016/7/29,6 ,7 ,0.244,0.158
2016/7/30,6 ,7 ,0.247,0.158
2016/7/31,6 ,7 ,0.247,0.154
2016/8/1,6 ,7 ,0.244,0.155
2016/8/2,6 ,7 ,0.273,0.181
2016/8/3,6 ,7 ,0.257,0.175
2016/8/4,6 ,7 ,0.282,0.183
2016/8/5,6 ,7 ,0.266,0.178
2016/8/6,6 ,7 ,0.255,0.174
2016/8/7,6 ,7 ,0.258,0.18
2016/8/8,6 ,7 ,0.276,0.187
2016/8/9,6 ,7 ,0.282,0.185
2016/8/10,6 ,7 ,0.267,0.176
2016/8/11,6 ,7 ,0.265,0.179
2016/8/12,6 ,7 ,0.28,0.181
2016/8/13,6 ,7 ,0.265,0.173
2016/8/14,6 ,7 ,0.257,0.169
2016/8/15,6 ,7 ,0.253,0.167
2016/8/16,6 ,7 ,0.251,0.167
2016/8/17,6 ,7 ,0.251,0.166
2016/8/18,6 ,7 ,0.272,0.168
2016/8/19,6 ,7 ,0.257,0.171
2016/8/20,6 ,7 ,0.263,0.174
2016/8/21,6 ,7 ,0.264,0.174
2016/8/22,6 ,7 ,0.255,0.169
2016/8/23,6 ,7 ,0.251,0.164
2016/8/24,6 ,7 ,0.328,0.188
2016/8/25,6 ,7 ,0.279,0.173
2016/8/26,6 ,7 ,0.264,0.17
2016/8/27,6 ,7 ,0.265,0.168
2016/8/28,6 ,7 ,0.273,0.167
2016/8/29,6 ,7 ,0.258,0.164
2016/8/30,6 ,7 ,0.253,0.163
2016/8/31,6 ,7 ,0.253,0.163
2016/9/1,6 ,7 ,0.251,0.164
2016/9/2,6 ,7 ,0.251,0.166
2016/9/3,6 ,7 ,0.249,0.164
2016/9/4,6 ,7 ,0.247,0.162
2016/9/5,6 ,7 ,0.247,0.164
2016/9/6,6 ,7 ,0.244,0.162
2016/9/7,6 ,7 ,0.242,0.161
2016/9/8,6 ,7 ,0.242,0.161
2016/9/9,6 ,7 ,0.239,0.159
2016/9/10,6 ,7 ,0.236,0.158
2016/9/11,6 ,7 ,0.236,0.161
2016/9/12,6 ,7 ,0.236,0.16
2016/9/13,7 ,8 ,0.235,0.159
2016/9/14,7 ,8 ,0.233,0.157
2016/9/15,7 ,8 ,0.232,0.156
2016/9/16,7 ,8 ,0.232,0.156
2016/9/17,7 ,8 ,0.23,0.156
2016/9/18,7 ,8 ,0.231,0.16
2016/9/19,7 ,8 ,0.233,0.161
2016/9/20,7 ,8 ,0.228,0.156
2016/9/21,7 ,8 ,0.226,0.154
2016/9/22,7 ,8 ,0.224,0.158
2016/9/23,7 ,8 ,0.226,0.161
2016/9/24,7 ,8 ,0.223,0.162
2016/9/25,7 ,8 ,0.223,0.165
2016/9/26,7 ,8 ,0.231,0.177
2016/9/27,7 ,8 ,0.249,0.183
2016/9/28,7 ,8 ,0.24,0.176
2016/9/29,7 ,8 ,0.235,0.17
2016/9/30,7 ,8 ,0.234,0.167
2016/10/1,7 ,8 ,0.235,0.167
2016/10/2,7 ,8 ,0.235,0.168
2016/10/3,7 ,8 ,0.235,0.168
2016/10/4,7 ,8 ,0.232,0.165
2016/10/5,7 ,8 ,0.23,0.166
2016/10/6,7 ,8 ,0.23,0.164
2016/10/7,7 ,8 ,0.237,0.173
2016/10/8,7 ,8 ,0.237,0.173
2016/10/9,7 ,8 ,0.229,0.166
2016/10/10,7 ,8 ,0.227,0.163
2016/10/11,7 ,8 ,0.228,0.163
2016/10/12,7 ,8 ,0.229,0.165
2016/10/13,7 ,8 ,0.229,0.165
2016/10/14,7 ,8 ,0.23,0.166
2016/10/15,7 ,8 ,0.228,0.168
2016/10/16,7 ,8 ,0.229,0.169
2016/10/17,7 ,8 ,0.228,0.17
2016/10/18,7 ,8 ,0.228,0.169
2016/10/19,7 ,8 ,0.227,0.17
2016/10/20,7 ,8 ,0.226,0.17
2016/10/21,7 ,8 ,0.223,0.167
2016/10/22,7 ,8 ,0.221,0.169
2016/10/23,7 ,8 ,0.223,0.170
2016/10/24,7 ,8 ,0.223,0.169
2016/10/25,7 ,8 ,0.224,0.169
2016/10/26,7 ,8 ,0.228,0.168
2016/10/27,7 ,8 ,0.229,0.168
2016/10/28,7 ,8 ,0.23,0.168
2016/10/29,7 ,8 ,0.228,0.168
2016/10/30,7 ,8 ,0.229,0.168
2016/10/31,7 ,8 ,0.229,0.167
2016/11/1,7 ,8 ,0.232,0.166
2016/11/2,7 ,8 ,0.231,0.165
2016/11/3,7 ,8 ,0.229,0.166
2016/11/4,7 ,8 ,0.229,0.165
2016/11/5,7 ,8 ,0.225,0.164
2016/11/6,7 ,8 ,0.228,0.166
2016/11/7,7 ,8 ,0.226,0.164
2016/11/8,7 ,8 ,0.225,0.165
2016/11/9,7 ,8 ,0.231,0.165
2016/11/10,7 ,8 ,0.227,0.165
2016/11/11,7 ,8 ,0.229,0.165
2016/11/12,8 ,9 ,0.229,0.165
2016/11/13,8 ,9 ,0.229,0.165
2016/11/14,8 ,9 ,0.231,0.165
2016/11/15,8 ,9 ,0.23,0.165
2016/11/16,8 ,9 ,0.231,0.165
2016/11/17,8 ,9 ,0.231,0.165
2016/11/18,8 ,9 ,0.232,0.165
