Date,Todd_WL,Indian_WL
4/16/2017,0.245,0.169
4/17/2017,0.248,0.174
4/18/2017,0.261,0.18
4/19/2017,0.293,0.192
4/20/2017,0.264,0.18
4/21/2017,0.253,0.176
4/22/2017,0.248,0.174
4/23/2017,0.33,0.21
4/24/2017,0.544,0.282
4/25/2017,0.355,0.212
4/26/2017,0.31,0.195
4/27/2017,0.29,0.19
4/28/2017,0.282,0.187
4/29/2017,0.272,0.189
4/30/2017,0.267,0.204
5/1/2017,0.282,0.235
5/2/2017,0.268,0.208
5/3/2017,0.258,0.2
5/4/2017,0.31,0.207
5/5/2017,0.384,0.228
5/6/2017,0.305,0.198
5/7/2017,0.283,0.19
5/8/2017,0.271,0.185
5/9/2017,0.267,0.189
5/10/2017,0.26,0.192
5/11/2017,0.257,0.2
5/12/2017,0.256,0.229
5/13/2017,0.261,0.236
5/14/2017,0.255,0.223
5/15/2017,0.249,0.22
5/16/2017,0.248,0.215
5/17/2017,0.246,0.213
5/18/2017,0.246,0.222
5/19/2017,0.242,0.218
5/20/2017,0.239,0.208
5/21/2017,0.417,0.249
5/22/2017,0.311,0.227
5/23/2017,0.311,0.236
5/24/2017,0.327,0.251
5/25/2017,0.315,0.208
5/26/2017,0.287,0.181
5/27/2017,0.275,0.176
5/28/2017,0.271,0.176
5/29/2017,0.266,0.172
5/30/2017,0.267,0.171
5/31/2017,0.26,0.17
6/1/2017,0.263,0.168
6/2/2017,0.255,0.166
6/3/2017,0.251,0.163
6/4/2017,0.25,0.165
6/5/2017,0.262,0.171
6/6/2017,0.255,0.166
6/7/2017,0.247,0.162
6/8/2017,0.245,0.161
6/9/2017,0.245,0.16
6/10/2017,0.242,0.16
6/11/2017,0.24,0.159
6/12/2017,0.24,0.159
6/13/2017,0.257,0.178
6/14/2017,0.247,0.174
6/15/2017,0.241,0.166
6/16/2017,0.241,0.165
6/17/2017,0.241,0.164
6/18/2017,0.24,0.163
6/19/2017,0.24,0.162
6/20/2017,0.238,0.161
6/21/2017,0.242,0.162
6/22/2017,0.246,0.165
6/23/2017,0.25,0.167
6/24/2017,0.251,0.168
6/25/2017,0.251,0.167
6/26/2017,0.242,0.161
6/27/2017,0.236,0.156
6/28/2017,0.234,0.154
6/29/2017,0.234,0.157
6/30/2017,0.291,0.186
7/1/2017,0.261,0.172
7/2/2017,0.246,0.164
7/3/2017,0.243,0.163
7/4/2017,0.255,0.165
7/5/2017,0.249,0.163
7/6/2017,0.243,0.161
7/7/2017,0.239,0.16
7/8/2017,0.245,0.159
7/9/2017,0.243,0.158
7/10/2017,0.238,0.157
7/11/2017,0.235,0.155
7/12/2017,0.233,0.153
7/13/2017,0.231,0.152
7/14/2017,0.27,0.154
7/15/2017,0.283,0.16
7/16/2017,0.246,0.162
7/17/2017,0.241,0.163
7/18/2017,0.236,0.156
7/19/2017,0.233,0.154
7/20/2017,0.231,0.154
7/21/2017,0.227,0.152
7/22/2017,0.224,0.151
7/23/2017,0.235,0.174
7/24/2017,0.23,0.164
7/25/2017,0.226,0.157
7/26/2017,0.222,0.153
7/27/2017,0.222,0.153
7/28/2017,0.222,0.154
7/29/2017,0.221,0.153
7/30/2017,0.214,0.15
7/31/2017,0.212,0.147
8/1/2017,0.212,0.147
8/2/2017,0.215,0.149
8/3/2017,0.213,0.148
8/4/2017,0.212,0.148
8/5/2017,0.209,0.147
8/6/2017,0.204,0.145
8/7/2017,0.264,0.165
8/8/2017,0.239,0.158
8/9/2017,0.228,0.155
8/10/2017,0.226,0.155
8/11/2017,0.262,0.175
8/12/2017,0.291,0.171
8/13/2017,0.239,0.158
8/14/2017,0.233,0.156
8/15/2017,0.231,0.158
8/16/2017,0.225,0.154
8/17/2017,0.222,0.154
8/18/2017,0.221,0.152
8/19/2017,0.219,0.15
8/20/2017,0.219,0.15
8/21/2017,0.218,0.15
8/22/2017,0.216,0.15
8/23/2017,0.213,0.149
8/24/2017,0.212,0.147
8/25/2017,0.21,0.145
8/26/2017,0.207,0.144
8/27/2017,0.206,0.146
8/28/2017,0.204,0.144
8/29/2017,0.209,0.148
8/30/2017,0.211,0.15
8/31/2017,0.247,0.166
9/1/2017,0.255,0.165
9/2/2017,0.231,0.155
9/3/2017,0.221,0.152
9/4/2017,0.218,0.149
9/5/2017,0.221,0.153
9/6/2017,0.259,0.165
9/7/2017,0.235,0.154
9/8/2017,0.223,0.15
9/9/2017,0.219,0.149
9/10/2017,0.217,0.15
9/11/2017,0.235,0.164
9/12/2017,0.293,0.185
9/13/2017,0.251,0.17
9/14/2017,0.237,0.168
9/15/2017,0.232,0.165
9/16/2017,0.228,0.164
9/17/2017,0.225,0.164
9/18/2017,0.224,0.164
9/19/2017,0.222,0.162
9/20/2017,0.221,0.163
9/21/2017,0.221,0.171
9/22/2017,0.222,0.172
9/23/2017,0.219,0.17
9/24/2017,0.217,0.168
9/25/2017,0.217,0.17
9/26/2017,0.217,0.181
9/27/2017,0.217,0.212
9/28/2017,0.214,0.209
9/29/2017,0.213,0.204
9/30/2017,0.212,0.195
10/1/2017,0.208,0.168
10/2/2017,0.209,0.163
10/3/2017,0.21,0.165
10/4/2017,0.21,0.164
10/5/2017,0.21,0.166
10/6/2017,0.21,0.165
10/7/2017,0.211,0.167
10/8/2017,0.294,0.207
10/9/2017,0.314,0.204
10/10/2017,0.25,0.199
10/11/2017,0.238,0.212
10/12/2017,0.23,0.184
10/13/2017,0.228,0.184
10/14/2017,0.227,0.185
10/15/2017,0.225,0.184
10/16/2017,0.227,0.183
10/17/2017,0.219,0.176
10/18/2017,0.219,0.176
10/19/2017,0.219,0.177
10/20/2017,0.219,0.181
10/21/2017,0.219,0.18
10/22/2017,0.221,0.182
10/23/2017,0.45,0.282
10/24/2017,0.31,0.196
10/25/2017,0.268,0.171
10/26/2017,0.251,0.164
10/27/2017,0.242,0.165
10/28/2017,0.258,0.181
10/29/2017,0.312,0.197
10/30/2017,0.261,0.175
10/31/2017,0.25,0.171
11/1/2017,0.247,0.169
11/2/2017,0.245,0.169
11/3/2017,0.241,0.168
11/4/2017,0.24,0.171
11/5/2017,0.24,0.17
11/6/2017,0.238,0.169
11/7/2017,0.239,0.171
11/8/2017,0.238,0.17
11/9/2017,0.242,0.174
11/10/2017,0.237,0.169
11/11/2017,0.232,0.167
11/12/2017,0.233,0.168
11/13/2017,0.236,0.17
11/14/2017,0.234,0.168
11/15/2017,0.232,0.169
11/16/2017,0.23,0.166
11/17/2017,0.228,0.165
11/18/2017,0.233,0.169
11/19/2017,0.233,0.17
11/20/2017,0.227,0.165
11/21/2017,0.229,0.17
11/22/2017,0.23,0.17
11/23/2017,0.226,0.159
11/24/2017,0.227,0.158
11/25/2017,0.229,0.16
11/26/2017,0.228,0.158
11/27/2017,0.23,0.155
11/28/2017,0.228,0.156
11/29/2017,0.23,0.163
11/30/2017,0.233,0.166
12/1/2017,0.234,0.168
12/2/2017,0.232,0.167
12/3/2017,0.231,0.166
12/4/2017,0.23,0.169
12/5/2017,0.236,0.172
12/6/2017,0.248,0.176
12/7/2017,0.238,0.17
12/8/2017,0.244,0.176
12/9/2017,0.26,0.181
12/10/2017,0.248,0.172
12/11/2017,0.241,0.171
12/12/2017,0.24,0.172
12/13/2017,0.235,0.17
12/14/2017,0.237,0.175
12/15/2017,0.235,0.175
12/16/2017,0.233,0.17
12/17/2017,0.234,0.172
12/18/2017,0.237,0.175
