"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"150",16808,NA,16933,NA,17055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",16808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",16810,NA,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",16810,NA,NA,NA,NA,NA,NA,17228,NA,NA,NA,NA,NA,NA
"155",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",16810,16870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,16866,16934,NA,NA,NA,17171,NA,17300,17354,NA,NA,NA,NA
"162",NA,16866,NA,16990,17056,17114,NA,17232,NA,NA,NA,NA,NA,NA
"163",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,16866,NA,NA,17055,17114,NA,NA,17300,17353,NA,17473,NA,NA
"166",NA,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,16866,NA,NA,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,16866,NA,NA,NA,17114,17171,NA,NA,NA,NA,NA,NA,NA
"170",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,16866,NA,NA,NA,NA,NA,NA,17300,NA,NA,NA,NA,NA
"172",NA,16866,NA,16990,NA,17114,17171,NA,NA,NA,NA,NA,NA,NA
"173",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,16864,16933,16989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",NA,16864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",16810,16866,NA,NA,17055,17114,17171,NA,17300,NA,NA,NA,NA,NA
"179",NA,NA,NA,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",16810,NA,16934,NA,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"182",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",NA,16870,NA,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",16810,16866,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",16810,NA,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",16810,NA,16934,NA,17056,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",NA,NA,16934,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",NA,NA,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",NA,NA,NA,NA,17055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",16810,16866,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",NA,NA,16934,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,16866,NA,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,NA,NA,16989,NA,17114,17171,NA,NA,NA,NA,NA,NA,NA
"196",16810,NA,16934,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",16810,NA,16934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",NA,NA,NA,16989,17055,NA,17171,NA,NA,NA,NA,NA,NA,NA
"201",16810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202",16810,16870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203",NA,NA,NA,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205",NA,16866,NA,16990,17056,NA,NA,NA,17300,17354,17422,NA,NA,NA
"206",NA,NA,NA,16990,17055,NA,17171,17228,17300,17354,NA,NA,17545,17594
"207",NA,16866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,16866,NA,16990,17056,NA,17171,17232,17300,NA,NA,NA,NA,NA
"209",16810,16866,NA,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210",16810,16866,NA,16990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"212",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,17116,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,17114,NA,NA,17298,17352,17419,NA,NA,NA
"215",NA,NA,NA,NA,NA,17114,NA,NA,NA,NA,17419,17473,NA,17594
"216",NA,NA,NA,NA,NA,17109,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,17114,NA,NA,NA,17353,17422,17475,NA,NA
