"","ID","Y","Yrecap","DL","UL","Size","IND_ID","Period","St_occ","End_occ"
"889",415,NA,0,-29,8,61,"a0982000407050925  ",2,4,5
"890",416,NA,0,-30,7,76,"a0982000407050940  ",2,4,5
"891",417,NA,0,-31,6,52,"a0982000407050941  ",2,4,5
"892",418,0,1,-31,6,77,"a0982000407050952  ",2,4,5
"893",419,NA,0,-28,9,122,"a0982000407050969  ",2,4,5
"894",420,NA,0,-28,9,154,"a0982000407050987  ",2,4,5
"1052",104,NA,0,-22,15,112,"a0900067000077067  ",3,5,6
"1053",105,NA,0,-28,9,76,"a0900067000077092  ",3,5,6
"1056",108,NA,0,-17,20,67,"a0900067000077156  ",3,5,6
"1063",115,NA,0,-2,35,126,"a0900067000077281  ",3,5,6
"1068",120,NA,0,-24,13,69,"a0900067000077400  ",3,5,6
"1073",125,0,1,-24,13,72,"a0900067000080133  ",3,5,6
"1074",126,NA,0,-1,36,104,"a0900067000080144  ",3,5,6
"1083",135,NA,0,-34,3,79,"a0900067000080300  ",3,5,6
"1084",136,0,1,-29,8,80,"a0900067000080301  ",3,5,6
"1086",138,1,1,-23,14,89,"a0900067000080329  ",3,5,6
"1098",150,NA,0,-2,35,76,"a0900067000080436  ",3,5,6
"1101",153,NA,0,-31,6,70,"a0900067000080487  ",3,5,6
"1109",161,NA,0,-21,16,68,"a0900067000080608  ",3,5,6
"1122",174,0,1,-11,26,104,"a0900067000080879  ",3,5,6
"1128",180,NA,0,-34,3,121,"a0900067000085036  ",3,5,6
"1132",184,NA,0,-24,13,139,"a0900067000085085  ",3,5,6
"1133",185,NA,0,-21,16,90,"a0900067000085113  ",3,5,6
"1134",186,NA,0,-29,8,115,"a0900067000085117  ",3,5,6
"1135",187,0,1,-28,9,115,"a0900067000085149  ",3,5,6
"1136",188,NA,0,-26,11,111,"a0900067000085167  ",3,5,6
"1138",190,NA,0,-31,6,134,"a0900067000085180  ",3,5,6
"1140",192,-4,1,-27,10,144,"a0900067000085227  ",3,5,6
"1144",196,1,1,-25,12,73,"a0900067000085279  ",3,5,6
"1146",198,NA,0,-21,16,100,"a0900067000085370  ",3,5,6
"1288",340,8,1,-4,33,75,"a0982000403060057  ",3,5,6
"1290",342,9,1,-2,35,101,"a0982000403060082  ",3,5,6
"1291",343,-1,1,-14,23,82,"a0982000403060095  ",3,5,6
"1294",346,NA,0,-7,30,86,"a0982000403060107  ",3,5,6
"1307",359,NA,0,-14,23,101,"a0982000403060462  ",3,5,6
"1309",361,NA,0,-15,22,115,"a0982000403060478  ",3,5,6
"1321",373,NA,0,-24,13,54,"a0982000407050098  ",3,5,6
"1322",374,0,1,-22,15,64,"a0982000407050099  ",3,5,6
"1323",375,NA,0,-31,6,124,"a0982000407050107  ",3,5,6
"1324",376,NA,0,-30,7,92,"a0982000407050109  ",3,5,6
"1325",377,NA,0,-29,8,70,"a0982000407050140  ",3,5,6
"1326",378,NA,0,-28,9,85,"a0982000407050150  ",3,5,6
"1327",379,NA,0,-21,16,71,"a0982000407050157  ",3,5,6
"1328",380,0,1,-21,16,74,"a0982000407050162  ",3,5,6
