"","ID","IND_ID","Y","Yrecap","DL","UL","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"1002",1002,"a0900067000076778  ",NA,0,-22,4,90,NA,1,NA,16821,1,2016,NA,NA,NA
"1003",1003,"a0900067000076781  ",NA,0,-10,16,63,NA,1,NA,16818,1,2016,NA,NA,NA
"1004",1004,"a0900067000076783  ",NA,0,-26,0,78,NA,1,NA,16821,1,2016,NA,NA,NA
"1005",1005,"a0900067000076787  ",NA,0,-9,17,73,NA,1,NA,16818,1,2016,NA,NA,NA
"1007",1007,"a0900067000076790  ",NA,0,-14,12,117,NA,1,NA,16818,1,2016,NA,NA,NA
"1008",1008,"a0900067000076792  ",NA,0,-16,10,88,NA,1,NA,16818,1,2016,NA,NA,NA
"1009",1009,"a0900067000076795  ",NA,0,-15,11,98,NA,1,NA,16818,1,2016,NA,NA,NA
"1013",1013,"a0900067000076799  ",NA,0,-11,15,134,NA,1,NA,16818,1,2016,NA,NA,NA
"1016",1016,"a0900067000076804  ",NA,0,-14,12,84,NA,1,NA,16818,1,2016,NA,NA,NA
"1017",1017,"a0900067000076805  ",NA,0,-13,13,79,NA,1,NA,16818,1,2016,NA,NA,NA
"1019",1019,"a0900067000076807  ",NA,0,-16,10,77,NA,1,NA,16818,1,2016,NA,NA,NA
"1020",1020,"a0900067000076808  ",NA,0,-21,5,80,NA,1,NA,16821,1,2016,NA,NA,NA
"1025",1025,"a0900067000076820  ",NA,0,-16,10,70,NA,1,NA,16818,1,2016,NA,NA,NA
"1029",1029,"a0900067000076825  ",NA,0,-13,13,71,NA,1,NA,16818,1,2016,NA,NA,NA
"1030",1030,"a0900067000076826  ",NA,0,-16,10,76,NA,1,NA,16818,1,2016,NA,NA,NA
"1031",1031,"a0900067000076827",NA,0,-7,19,70,NA,1,NA,16814,1,2016,NA,NA,NA
"1033",1033,"a0900067000076829  ",NA,0,-10,16,97,NA,1,NA,16818,1,2016,NA,NA,NA
"1035",1035,"a0900067000076832  ",NA,0,-13,13,74,NA,1,NA,16818,1,2016,NA,NA,NA
"1036",1036,"a0900067000076833  ",NA,0,-21,5,64,NA,1,NA,16821,1,2016,NA,NA,NA
"1038",1038,"a0900067000076835  ",NA,0,-13,13,65,NA,1,NA,16818,1,2016,NA,NA,NA
"1043",1043,"a0900067000076845  ",NA,0,-18,8,90,NA,1,NA,16818,1,2016,NA,NA,NA
"1045",1045,"a0900067000076850  ",NA,0,-13,13,65,NA,1,NA,16818,1,2016,NA,NA,NA
"1047",1047,"a0900067000076856  ",NA,0,-26,0,86,NA,1,NA,16821,1,2016,NA,NA,NA
"1050",1050,"a0900067000076860  ",NA,0,-10,16,74,NA,1,NA,16818,1,2016,NA,NA,NA
"1053",1053,"a0900067000076864  ",1,1,0.5,1.5,69,65,1,62,16821,1,2016,16883,3,2016
"1056",1056,"a0900067000076868  ",NA,0,-13,13,71,NA,1,NA,16818,1,2016,NA,NA,NA
"1058",1058,"a0900067000076873  ",NA,0,-13,13,113,NA,1,NA,16818,1,2016,NA,NA,NA
"1059",1059,"a0900067000076876  ",NA,0,-26,0,90,NA,1,NA,16821,1,2016,NA,NA,NA
"1063",1063,"a0900067000076885  ",NA,0,-15,11,70,NA,1,NA,16818,1,2016,NA,NA,NA
"1065",1065,"a0900067000076891  ",NA,0,-14,12,60,NA,1,NA,16818,1,2016,NA,NA,NA
"1066",1066,"a0900067000076898  ",NA,0,-9,17,88,NA,1,NA,16818,1,2016,NA,NA,NA
"1068",1068,"a0900067000076909  ",NA,0,-19,7,90,NA,1,NA,16818,1,2016,NA,NA,NA
"1070",1070,"a0900067000076911  ",NA,0,-22,4,87,NA,1,NA,16821,1,2016,NA,NA,NA
