"","ID","IND_ID","Y","Yrecap","Sec_cap","Sec_recap","St_Size","End_Size","Period","Interval","St_Date","St_Month","St_Year","End_Date","End_Month","End_Year"
"2167",711,"a0982000407069470  ",NA,0,34,NA,64,NA,3,NA,16934,5,2016,NA,NA,NA
"2168",712,"a0982000407069483  ",NA,0,33,NA,48,NA,3,NA,16934,5,2016,NA,NA,NA
"2169",713,"a0982000407069554  ",NA,0,34,NA,53,NA,3,NA,16934,5,2016,NA,NA,NA
"2170",714,"a0982000407069657  ",NA,0,8,NA,50,NA,3,NA,16933,5,2016,NA,NA,NA
"2171",715,"a0982000407069666  ",NA,0,5,NA,49,NA,3,NA,16933,5,2016,NA,NA,NA
"2172",716,"a0982000407069667  ",NA,0,7,NA,54,NA,3,NA,16933,5,2016,NA,NA,NA
"2173",717,"a0982000407069688  ",NA,0,23,NA,89,NA,3,NA,16934,5,2016,NA,NA,NA
"2174",718,"a0982000407069696  ",NA,0,12,NA,67,NA,3,NA,16933,5,2016,NA,NA,NA
"2175",719,"a0982000407069705  ",0,1,4,4,60,76,3,56,16933,5,2016,16989,7,2016
"2176",720,"a0982000407069713  ",NA,0,5,NA,56,NA,3,NA,16933,5,2016,NA,NA,NA
"2177",721,"a0982000407069714  ",0,1,31,31,84,91,3,56,16934,5,2016,16990,7,2016
"2178",722,"a0982000407069718  ",0,1,5,5,48,56,3,56,16933,5,2016,16989,7,2016
"2179",723,"a0982000407069730  ",NA,0,20,NA,48,NA,3,NA,16933,5,2016,NA,NA,NA
"2180",724,"a0982000407069733  ",NA,0,5,NA,48,NA,3,NA,16933,5,2016,NA,NA,NA
"2181",725,"a0982000407069741  ",NA,0,7,NA,115,NA,3,NA,16933,5,2016,NA,NA,NA
"2182",726,"a0982000407069747  ",NA,0,6,NA,48,NA,3,NA,16933,5,2016,NA,NA,NA
"2392",208,"a0900067000077439  ",NA,0,20,NA,98,NA,4,NA,16989,7,2016,NA,NA,NA
"2393",209,"a0900067000077488  ",0,1,20,20,118,118,4,66,16989,7,2016,17055,9,2016
"2398",214,"a0900067000080047  ",NA,0,29,NA,85,NA,4,NA,16990,7,2016,NA,NA,NA
"2399",215,"a0900067000080053  ",NA,0,32,NA,104,NA,4,NA,16990,7,2016,NA,NA,NA
"2404",220,"a0900067000080118  ",10,1,24,34,127,131,4,66,16990,7,2016,17056,9,2016
"2405",221,"a0900067000080128  ",2,1,32,34,105,108,4,66,16990,7,2016,17056,9,2016
"2409",225,"a0900067000080197  ",NA,0,32,NA,142,NA,4,NA,16990,7,2016,NA,NA,NA
"2412",228,"a0900067000080218  ",0,1,34,34,122,122,4,66,16990,7,2016,17056,9,2016
"2416",232,"a0900067000080302  ",NA,0,29,NA,106,NA,4,NA,16990,7,2016,NA,NA,NA
"2418",234,"a0900067000080320  ",NA,0,24,NA,99,NA,4,NA,16990,7,2016,NA,NA,NA
"2420",236,"a0900067000080346  ",NA,0,24,NA,89,NA,4,NA,16990,7,2016,NA,NA,NA
"2421",237,"a0900067000080358  ",0,1,15,15,145,149,4,66,16989,7,2016,17055,9,2016
"2426",242,"a0900067000080455  ",NA,0,24,NA,97,NA,4,NA,16990,7,2016,NA,NA,NA
"2427",243,"a0900067000080457  ",NA,0,31,NA,101,NA,4,NA,16990,7,2016,NA,NA,NA
"2430",246,"a0900067000080519  ",NA,0,22,NA,90,NA,4,NA,16990,7,2016,NA,NA,NA
"2442",258,"a0900067000080740  ",0,1,13,13,87,104,4,66,16989,7,2016,17055,9,2016
"2450",266,"a0900067000084883  ",0,1,7,7,135,148,4,66,16989,7,2016,17055,9,2016
"2459",275,"a0900067000085075  ",NA,0,28,NA,125,NA,4,NA,16990,7,2016,NA,NA,NA
"2460",276,"a0900067000085086  ",NA,0,23,NA,94,NA,4,NA,16990,7,2016,NA,NA,NA
"2461",277,"a0900067000085089  ",1,1,26,27,109,112,4,66,16990,7,2016,17056,9,2016
"2462",278,"a0900067000085111  ",NA,0,26,NA,97,NA,4,NA,16990,7,2016,NA,NA,NA
"2465",281,"a0900067000085185  ",0,1,20,20,137,140,4,66,16989,7,2016,17055,9,2016
"2468",284,"a0900067000085208  ",NA,0,31,NA,95,NA,4,NA,16990,7,2016,NA,NA,NA
"2469",285,"a0900067000085211  ",0,1,34,34,100,103,4,66,16990,7,2016,17056,9,2016
"2477",293,"a0900067000085343  ",NA,0,26,NA,99,NA,4,NA,16990,7,2016,NA,NA,NA
"2483",299,"a0900067000085377  ",0,1,28,28,140,144,4,66,16990,7,2016,17056,9,2016
"2485",301,"a0900067000085401  ",NA,0,30,NA,76,NA,4,NA,16990,7,2016,NA,NA,NA
"2489",305,"a0900067000085440  ",NA,0,29,NA,129,NA,4,NA,16990,7,2016,NA,NA,NA
"2491",307,"a0900067000085457  ",NA,0,21,NA,102,NA,4,NA,16990,7,2016,NA,NA,NA
"2734",550,"a0982000403060466  ",NA,0,20,NA,122,NA,4,NA,16989,7,2016,NA,NA,NA
"2738",554,"a0982000407049999  ",NA,0,34,NA,56,NA,4,NA,16990,7,2016,NA,NA,NA
"2739",555,"a0982000407050005  ",NA,0,31,NA,100,NA,4,NA,16990,7,2016,NA,NA,NA
"2740",556,"a0982000407050027  ",NA,0,31,NA,121,NA,4,NA,16990,7,2016,NA,NA,NA
"2741",557,"a0982000407050039  ",NA,0,34,NA,60,NA,4,NA,16990,7,2016,NA,NA,NA
"2742",558,"a0982000407050042  ",NA,0,34,NA,59,NA,4,NA,16990,7,2016,NA,NA,NA
"2743",559,"a0982000407050052  ",NA,0,33,NA,99,NA,4,NA,16990,7,2016,NA,NA,NA
"2744",560,"a0982000407050059  ",NA,0,31,NA,71,NA,4,NA,16990,7,2016,NA,NA,NA
"2745",561,"a0982000407050062  ",NA,0,34,NA,55,NA,4,NA,16990,7,2016,NA,NA,NA
"2751",567,"a0982000407050119  ",0,1,22,22,97,98,4,65,16990,7,2016,17055,9,2016
"2753",569,"a0982000407050133  ",0,1,31,31,114,124,4,66,16990,7,2016,17056,9,2016
"2756",572,"a0982000407050148  ",NA,0,23,NA,86,NA,4,NA,16990,7,2016,NA,NA,NA
"2762",578,"a0982000407050375  ",NA,0,16,NA,62,NA,4,NA,16989,7,2016,NA,NA,NA
"2763",579,"a0982000407050377  ",NA,0,16,NA,65,NA,4,NA,16989,7,2016,NA,NA,NA
"2764",580,"a0982000407050382  ",NA,0,13,NA,67,NA,4,NA,16989,7,2016,NA,NA,NA
"2765",581,"a0982000407050386  ",NA,0,10,NA,144,NA,4,NA,16989,7,2016,NA,NA,NA
"2766",582,"a0982000407050388  ",NA,0,19,NA,53,NA,4,NA,16989,7,2016,NA,NA,NA
"2767",583,"a0982000407050397  ",NA,0,15,NA,53,NA,4,NA,16989,7,2016,NA,NA,NA
"2768",584,"a0982000407050398  ",NA,0,13,NA,51,NA,4,NA,16989,7,2016,NA,NA,NA
"2769",585,"a0982000407050406  ",NA,0,13,NA,73,NA,4,NA,16989,7,2016,NA,NA,NA
"2770",586,"a0982000407050411  ",NA,0,12,NA,83,NA,4,NA,16989,7,2016,NA,NA,NA
"2771",587,"a0982000407050426  ",9,1,23,32,54,55,4,66,16990,7,2016,17056,9,2016
"2772",588,"a0982000407050431  ",NA,0,23,NA,103,NA,4,NA,16990,7,2016,NA,NA,NA
"2773",589,"a0982000407050435  ",0,1,13,13,79,92,4,66,16989,7,2016,17055,9,2016
"2774",590,"a0982000407050441  ",NA,0,22,NA,132,NA,4,NA,16990,7,2016,NA,NA,NA
"2775",591,"a0982000407050447  ",0,1,11,11,120,133,4,66,16989,7,2016,17055,9,2016
"2776",592,"a0982000407050449  ",NA,0,18,NA,146,NA,4,NA,16989,7,2016,NA,NA,NA
"2777",593,"a0982000407050453  ",NA,0,4,NA,70,NA,4,NA,16989,7,2016,NA,NA,NA
"2778",594,"a0982000407050454  ",NA,0,17,NA,65,NA,4,NA,16989,7,2016,NA,NA,NA
"2779",595,"a0982000407050464  ",NA,0,5,NA,66,NA,4,NA,16989,7,2016,NA,NA,NA
"2780",596,"a0982000407050473  ",NA,0,13,NA,88,NA,4,NA,16989,7,2016,NA,NA,NA
"2781",597,"a0982000407050479  ",NA,0,29,NA,91,NA,4,NA,16990,7,2016,NA,NA,NA
"2782",598,"a0982000407050481  ",NA,0,28,NA,56,NA,4,NA,16990,7,2016,NA,NA,NA
"2783",599,"a0982000407050485  ",NA,0,28,NA,51,NA,4,NA,16990,7,2016,NA,NA,NA
"2784",600,"a0982000407050486  ",NA,0,23,NA,128,NA,4,NA,16990,7,2016,NA,NA,NA
"2785",601,"a0982000407050487  ",NA,0,29,NA,66,NA,4,NA,16990,7,2016,NA,NA,NA
"2786",602,"a0982000407050490  ",NA,0,22,NA,58,NA,4,NA,16990,7,2016,NA,NA,NA
"2787",603,"a0982000407050493  ",0,1,22,22,139,143,4,65,16990,7,2016,17055,9,2016
"2788",604,"a0982000407050494  ",NA,0,27,NA,65,NA,4,NA,16990,7,2016,NA,NA,NA
"2789",605,"a0982000407050497  ",NA,0,23,NA,58,NA,4,NA,16990,7,2016,NA,NA,NA
"2790",606,"a0982000407050498  ",NA,0,23,NA,63,NA,4,NA,16990,7,2016,NA,NA,NA
"2791",607,"a0982000407050504  ",NA,0,30,NA,57,NA,4,NA,16990,7,2016,NA,NA,NA
"2792",608,"a0982000407050505  ",0,1,29,29,53,58,4,66,16990,7,2016,17056,9,2016
"2793",609,"a0982000407050507  ",NA,0,28,NA,103,NA,4,NA,16990,7,2016,NA,NA,NA
"2794",610,"a0982000407050508  ",NA,0,23,NA,82,NA,4,NA,16990,7,2016,NA,NA,NA
"2795",611,"a0982000407050509  ",-1,1,27,26,95,97,4,66,16990,7,2016,17056,9,2016
