Occasion,Date,SEC,IND,PASS,SPE,LEN,WEIGH,TAGNUMBER         ,RECAP ,MORTAL,GENETIC,TAGGER    ,COMMENTS            ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,CRC,93,8.3,0900067000077209  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,CRC,71,3.6,0900067000077107  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,CRC,71,4.1,0900067000077439  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,72,3.2,0900067000077165  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,67,3.3,0900067000077476  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,MTS,64,3.2,0900067000077348  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,MTS,70,3.9,0900067000077068  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,MTS,69,3.8,0900067000077189  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,MTS,78,5.8,0900067000077122  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,115,16.4,0900067000077268  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,131,21.9,0900067000077191  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,CRC,92,7.9,0900067000077028  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,62,2.4,0900067000077490  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,CRC,82,5.9,0900067000077470  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,71,3.5,0900067000077263  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,57,1.6,0900067000077120  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,91,7.2,0900067000077195  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,61,2.3,0900067000077045  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,14,NA,NA,BHC,66,2.5,0900067000077152  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,BHC,112,18.1,0900067000077342  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,BHC,110,14.5,0900067000077343  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,BHC,158,42,0900067000077207  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,BHC,121,19.9,0900067000077012  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,STJ,154,32.3,0900067000077395  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,RBS,155,64.9,0900067000077278  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,CRC,111,14.6,0900067000077212  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,CRC,89,8.3,0900067000077314  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,CRC,98,10.6,0900067000077427  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,BHC,123,17.1,0900067000077281  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,MTS,69,3.5,0900067000077347  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,MTS,75,4.9,0900067000077218  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,15,NA,NA,BHC,60,2.1,0900067000077021  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,BHC,60,2.1,0900067000077156  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,BHC,59,1.8,0900067000077101  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,BHC,118,14.9,0900067000077221  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
1,20150913,16,NA,NA,CRC,105,13,0900067000077137  ,N     ,N     ,N     ,KIM       ,                    ,,,,,,,,,,,,,,,
