"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"132",3.37954,0.526725,-0.0761683,0.00911844,-0.0952635,-0.0816057,0.102942,0.258972,0
"133",3.34225,0.560077,-0.0535166,-0.0548465,-0.0676605,-0.0523629,0.106838,0.291427,0
"134",3.39923,0.491735,-0.079467,0.0319232,-0.0731866,-0.0914699,0.112377,0.297875,1
"135",3.27988,0.613637,-0.00471728,-0.161293,-0.0214665,0.113689,0.111118,0.275549,0
"136",3.3555,0.545791,-0.0548148,-0.127075,-0.0539903,0.0949708,0.111378,0.262171,1
"137",3.3518,0.541403,-0.00912967,-0.181468,-0.0860014,-0.0655866,0.111155,0.265772,0
"138",3.33598,0.624866,0.00590374,-0.00477704,-0.0850344,-0.147354,0.111231,0.290504,0
"139",3.35639,0.532479,-0.0643998,-0.179889,-0.0238969,-0.131911,0.104452,0.266871,0
"140",3.38163,0.468305,0.0171339,-0.175466,-0.0588861,-0.186154,0.112177,0.2621,0
"141",3.41454,0.454526,0.00632408,-0.140986,-0.00795056,0.262074,0.113512,0.282374,1
"142",3.36354,0.496372,-0.00999676,-0.209971,-0.0448349,-0.238454,0.106756,0.273875,1
"143",3.35469,0.706422,-0.0295007,-0.0450872,-0.0894268,-0.0537902,0.117502,0.281352,0
"144",3.3772,0.553643,-0.120537,0.00615784,-0.0181929,-0.234021,0.106509,0.298142,0
"145",3.35002,0.492921,-0.0205282,0.0502222,-0.0525256,0.0627533,0.112254,0.26479,1
"146",3.41936,0.508173,0.0402337,-0.156952,-0.0980802,-0.0444576,0.120084,0.265498,1
"147",3.31974,0.588261,-0.044872,-0.146352,-0.101952,-0.252588,0.107275,0.27344,1
"148",3.35458,0.544507,-0.0734621,-0.10801,-0.0670661,0.0471703,0.108962,0.268368,1
"149",3.33248,0.585083,0.0339521,-0.209934,-0.0200285,-0.085279,0.109374,0.277731,1
"150",3.31844,0.616409,-0.0285327,-0.143208,-0.0519815,-0.0217374,0.110915,0.262802,0
"151",3.37592,0.543992,-0.0563454,-0.138714,-0.0306043,-0.176007,0.114686,0.265038,0
"152",3.35921,0.501957,-0.0507273,-0.0533629,-0.128737,0.029647,0.109061,0.289725,1
"153",3.38774,0.5387,0.034197,-0.211195,-0.0221693,-0.180229,0.109572,0.280429,1
"154",3.36984,0.585339,-0.0991066,0.0846903,-0.0546486,-0.0893924,0.104518,0.271929,1
"155",3.42263,0.513496,-0.058037,-0.0418061,-0.0880297,-0.0991441,0.114808,0.272813,0
"156",3.39539,0.568126,-0.0210022,-0.12328,-0.0409991,-0.122366,0.113328,0.275687,1
"157",3.30665,0.668628,-0.106539,0.0205027,0.0183263,-0.186183,0.107537,0.283977,1
"158",3.46953,0.494617,-0.0250829,0.0384755,-0.145104,-0.254659,0.10537,0.282168,1
"159",3.28075,0.705168,-0.0971071,-0.0112298,-0.0918877,0.144484,0.118334,0.290729,1
"160",3.35488,0.523425,0.0408193,-0.208717,-0.110055,-0.143363,0.104811,0.264707,0
"161",3.37715,0.510701,0.0190473,-0.172467,-0.0929427,-0.293083,0.114996,0.270902,0
"162",3.31758,0.583736,-0.0260523,-0.049131,-0.0854581,-0.144322,0.110481,0.282353,1
"163",3.2729,0.484796,-0.00862745,-0.0816275,0.00733369,0.0169244,0.115037,0.2896,1
"164",3.32064,0.584256,-0.033087,-0.168484,-0.0536165,0.0650109,0.107132,0.273668,0
"165",3.35984,0.469863,-0.0352623,-0.0896977,-0.0229935,-0.132494,0.115209,0.303745,1
"166",3.36422,0.507098,-0.100433,0.0287863,-0.0620961,-0.0991865,0.112443,0.274044,0
"167",3.38652,0.503023,-0.0613116,-0.14589,-0.0966349,-0.203663,0.109922,0.274773,0
"168",3.3373,0.474239,-0.0702359,0.0199311,-0.0646594,-0.0707686,0.110335,0.273627,0
