"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"130",3.32952,-0.0295745,0.00228041,0.297647,0.0833077,0.222618,0.126211,0.193731,1
"131",3.29059,0.00323845,0.0229555,0.322127,0.0557745,0.227785,0.133231,0.191929,0
"132",3.32523,-0.041885,-0.0167098,0.392616,0.0274889,0.171413,0.132516,0.185523,1
"133",3.28156,-0.0677363,0.0196949,0.320773,0.0510161,0.258852,0.124876,0.188849,0
"134",3.39042,-0.0149539,0.0190256,0.287805,0.0300707,0.110489,0.133599,0.187652,1
"135",3.31173,0.0417836,-0.0176981,0.364128,0.0711585,0.195952,0.134378,0.185993,0
"136",3.26203,-0.0548158,0.0346304,0.356627,0.0499764,0.248459,0.127595,0.190049,0
"137",3.31248,0.0179774,-0.0156442,0.365477,0.0673535,0.227392,0.130592,0.184027,0
"138",3.32092,0.0505475,0.0149208,0.301639,0.0997763,0.219263,0.12772,0.18761,0
"139",3.22855,-0.0190916,0.0199751,0.370427,0.115711,0.345098,0.13019,0.197166,0
"140",3.32997,-0.00612625,0.0516973,0.271806,0.071025,0.175392,0.130233,0.189543,0
"141",3.26011,-0.0271492,0.00040864,0.342336,0.0997221,0.250558,0.128026,0.18109,0
"142",3.28545,-0.0100157,0.0387376,0.291645,0.0501772,0.225985,0.128152,0.190345,0
"143",3.32052,-0.0351686,0.00957861,0.309616,0.0900542,0.218728,0.126488,0.193952,0
"144",3.31467,0.000161889,0.0209824,0.285414,0.0545595,0.20892,0.128839,0.192252,1
"145",3.32456,-0.0165485,-0.00806908,0.32092,0.039594,0.195556,0.12955,0.195445,0
"146",3.36718,-0.092735,-0.0234658,0.340193,0.0785054,0.191077,0.126979,0.194569,1
"147",3.26647,0.0295418,0.00948223,0.353754,0.0463972,0.234164,0.132258,0.18492,0
"148",3.27485,-0.0115659,0.0307195,0.24681,0.0741894,0.240401,0.136475,0.191577,1
"149",3.29946,-0.0533107,0.018041,0.281953,0.0725226,0.270281,0.133401,0.197936,1
"150",3.29884,0.0470083,0.0438141,0.320379,0.0870943,0.20359,0.128018,0.191086,0
"151",3.35109,-0.0180653,0.0151383,0.253297,0.0575912,0.182178,0.129313,0.18815,0
"152",3.29966,-0.0394695,0.0183153,0.344797,0.00718336,0.184934,0.127474,0.186418,1
"153",3.27433,-0.0740642,0.0128168,0.341477,0.0702779,0.325674,0.138426,0.189982,1
"154",3.33832,0.0162754,0.0505819,0.205158,0.0975746,0.208558,0.133376,0.192905,0
"155",3.28078,0.0441008,0.0523187,0.216814,0.0488939,0.191294,0.12864,0.18094,0
"156",3.37051,-0.0568104,0.00989954,0.311157,0.0526499,0.154705,0.126738,0.189065,0
"157",3.20016,0.0644876,0.00102421,0.344961,0.0725017,0.322234,0.1297,0.19966,0
"158",3.30894,-0.0442529,-0.00293637,0.335805,0.084592,0.187704,0.138704,0.186823,1
"159",3.33627,-0.0654592,-0.0285662,0.30055,0.0986499,0.253298,0.131837,0.186753,1
"160",3.25021,-0.0122507,0.00522494,0.307011,0.111635,0.301902,0.126347,0.18678,0
"161",3.3753,-0.0287852,-0.0170846,0.311807,0.045719,0.159416,0.130721,0.199821,1
"162",3.24929,0.0213771,-0.021219,0.365236,0.0720978,0.266133,0.129363,0.195995,1
"163",3.21262,0.0108476,0.0210682,0.347988,0.0378591,0.278248,0.134566,0.187288,0
"164",3.21396,-0.0760078,0.0339322,0.29628,0.0929259,0.333085,0.130677,0.187589,1
"165",3.33865,0.0195719,-0.00428186,0.305532,0.0998674,0.161823,0.127113,0.189655,0
"166",3.35175,-0.0349005,0.0377269,0.266669,0.027814,0.123912,0.129094,0.187621,1
"167",3.31315,0.0349659,-0.0225144,0.365118,0.125256,0.155329,0.133138,0.194774,0
"168",3.33605,-0.0498379,0.0250217,0.315448,0.0486413,0.136081,0.130126,0.193651,0
"169",3.31962,-0.0617482,-0.00709894,0.356714,0.0840871,0.254248,0.13125,0.192843,0
"170",3.34166,0.0424127,0.00221225,0.309686,0.0731771,0.145864,0.130555,0.186517,0
"171",3.17965,0.0712372,0.0890111,0.257349,0.0488292,0.350575,0.131297,0.192828,0
"172",3.27786,0.0165326,-0.0378687,0.33892,0.0595714,0.226305,0.130966,0.193032,0
"173",3.35389,-0.0439733,0.0385477,0.291258,0.0374008,0.17323,0.130759,0.190511,1
"174",3.34089,-0.0267398,-0.0288392,0.370473,0.0929487,0.185127,0.132866,0.198961,0
"175",3.28719,-0.0294834,-0.00988728,0.312117,0.0586266,0.192613,0.129257,0.190275,0
"176",3.28781,-0.00203525,0.0749808,0.29431,0.093622,0.232821,0.129553,0.190691,1
"177",3.34729,-0.037657,-0.0104271,0.324962,0.0296473,0.180135,0.12716,0.186075,0
"178",3.2642,-0.0540231,0.00169136,0.315294,0.0973773,0.239083,0.132119,0.193164,0
"179",3.40852,-0.10642,-0.0033339,0.360296,0.0813728,0.152728,0.124737,0.197987,1
"180",3.29022,-0.0451219,0.0445719,0.256472,0.0526725,0.277197,0.126111,0.190289,0
"181",3.31561,-0.0588909,0.0181802,0.305261,0.0712475,0.199078,0.129515,0.194563,0
"182",3.39297,-0.0774323,-0.0141866,0.321928,0.0892147,0.145168,0.126573,0.184567,0
"183",3.31192,-0.0293776,0.0177745,0.263535,0.0445823,0.214617,0.132189,0.190251,0
"184",3.33553,-0.0875649,-0.014897,0.393814,0.0236664,0.210518,0.127262,0.196433,0
"185",3.28556,-0.0755157,0.0405477,0.304127,0.093527,0.285286,0.127909,0.194843,0
"186",3.32239,-0.00182582,0.0416209,0.245517,0.109359,0.180276,0.13239,0.194775,0
"187",3.27204,-0.0830998,0.0117618,0.391734,0.0408011,0.231373,0.129858,0.195073,0
"188",3.23663,-0.000405534,-0.0226202,0.323029,0.0726574,0.282708,0.131638,0.192212,0
"189",3.2705,-0.0377513,0.00897738,0.322371,0.0470861,0.244325,0.133681,0.199255,1
"190",3.23654,0.0669769,0.0269636,0.293033,0.0189444,0.257535,0.135278,0.190415,0
"191",3.3013,-0.02698,0.0444761,0.291241,0.0903907,0.250543,0.1292,0.188996,1
"192",3.31822,0.0167666,0.0103451,0.319076,0.0730078,0.190108,0.128687,0.193747,1
