"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"119",3.24865,0.540508,-0.0621599,0.0507873,-0.0264447,7.21643,0.285589
"120",3.22423,0.544856,-0.040646,0.0502915,-0.105832,6.5123,0.286921
"121",3.37501,0.416592,-0.117303,-0.0492616,-0.276393,6.73343,0.291252
"122",3.24059,0.517737,-0.0143233,0.14556,-0.0203552,6.92481,0.263519
"123",3.29817,0.552622,-0.11387,0.106878,-0.292414,6.8801,0.285219
"124",3.35091,0.406704,-0.102964,0.0489187,-0.123482,6.92174,0.273513
"125",3.21861,0.601348,-0.100567,0.0575943,-0.072842,6.89698,0.288444
"126",3.29724,0.521296,-0.0986423,0.0741546,-0.0830996,6.69345,0.281012
"127",3.29453,0.45476,-0.0896391,0.0666561,-0.27481,6.5601,0.286839
"128",3.19975,0.587409,-0.0663941,0.0388844,-0.187833,6.51853,0.271314
"129",3.23164,0.594203,-0.0796702,0.0574336,-0.136425,6.56449,0.291359
"130",3.18856,0.614929,-0.110028,0.0801501,0.0145726,6.71452,0.281848
"131",3.35253,0.397882,-0.139734,0.0101555,0.0892086,6.51519,0.285399
"132",3.26241,0.549585,-0.0790457,0.0271036,0.00891692,6.66871,0.311961
"133",3.31146,0.451737,-0.01765,0.0667258,0.0873964,7.16968,0.281384
"134",3.23238,0.465375,-0.130072,0.080163,-0.00699929,7.0257,0.264519
"135",3.29778,0.485771,-0.0489451,0.0160199,-0.174269,6.57193,0.278676
"136",3.30561,0.508873,-0.0845291,0.0738484,-0.212614,6.93896,0.278893
"137",3.1768,0.53484,-0.0961418,0.0683902,-0.111283,6.66797,0.270963
"138",3.19911,0.627672,-0.0809439,0.0912105,-0.188587,6.52437,0.287697
"139",3.26488,0.520709,-0.098888,0.0208304,-0.043458,7.20895,0.271913
"140",3.15027,0.633259,-0.0967035,0.098524,-0.0119411,7.2462,0.254448
"141",3.24591,0.495574,-0.111314,0.0348225,-0.259464,6.52729,0.271177
"142",3.18397,0.632121,-0.117877,0.0785032,-0.115333,6.9666,0.278954
"143",3.27396,0.52288,-0.0544719,0.0477667,-0.0645137,6.65795,0.278783
"144",3.27503,0.540694,-0.0540655,0.0942815,-0.00667899,6.59826,0.28249
"145",3.32442,0.49552,-0.100593,0.0894182,-0.0206088,6.56853,0.309935
"146",3.15487,0.621634,-0.10237,-0.00764061,-0.23631,6.42655,0.276684
"147",3.19945,0.619614,-0.0459948,0.113788,-0.102637,6.46068,0.270726
"148",3.259,0.635873,-0.0958906,0.0776038,-0.309656,6.67116,0.275631
"149",3.17516,0.652801,-0.118802,0.113855,0.106831,6.61206,0.275194
"150",3.27418,0.453492,-0.123611,-0.0258839,-0.199032,6.79275,0.278555
"151",3.25834,0.477975,-0.0929648,0.0964421,0.109154,6.59354,0.289007
"152",3.24114,0.616724,-0.101001,0.0944574,-0.216381,6.77967,0.283874
"153",3.27445,0.498539,-0.110705,0.0188657,-0.0121045,6.89631,0.282078
"154",3.2099,0.520577,-0.0495973,0.133491,-0.260722,6.54593,0.300943
"155",3.25597,0.508624,-0.0310698,0.0702049,0.273242,6.75113,0.28043
"156",3.23655,0.612414,-0.0848472,0.0435545,-0.212127,6.84228,0.28993
"157",3.32129,0.469421,-0.114067,0.0659895,-0.148177,6.65571,0.301265
"158",3.2351,0.592593,-0.0613381,0.021834,-0.312741,6.70172,0.277558
"159",3.27194,0.547831,-0.0639415,0.0598899,-0.168082,6.58079,0.285852
"160",3.19996,0.655092,-0.0575241,0.0684524,-0.00384347,6.71109,0.26762
"161",3.24311,0.589043,-0.100529,0.102021,0.00779048,6.75627,0.286455
"162",3.18587,0.586564,-0.0877673,0.0972479,-0.155629,6.80806,0.282055
"163",3.23071,0.57289,-0.107876,0.147713,0.0337496,6.85081,0.28963
"164",3.2152,0.585543,-0.0705196,0.0602969,-0.308142,6.72558,0.292315
"165",3.26865,0.582567,-0.0609922,-0.0214574,-0.207481,6.89218,0.277977
"166",3.29526,0.426579,-0.132531,0.0748827,-0.131658,6.56358,0.270031
"167",3.14789,0.730983,-0.0891211,0.150336,-0.281901,6.86149,0.273425
"168",3.12549,0.630627,-0.076525,0.0592568,-0.0502032,6.98525,0.273418
"169",3.36387,0.454181,-0.078419,-0.0100864,-0.397092,6.44375,0.271916
"170",3.18474,0.55453,-0.0821167,0.107367,0.0406134,6.92378,0.28903
"171",3.23867,0.55177,-0.0970793,0.113453,-0.189478,6.90517,0.283155
"172",3.2325,0.541983,-0.018699,0.0737457,-0.0406544,7.0621,0.285121
"173",3.28883,0.500158,-0.111564,0.0860806,-0.100285,6.83133,0.265355
"174",3.32699,0.435392,-0.0768111,0.0835167,-0.0294985,6.55424,0.263271
"175",3.21449,0.658655,-0.0376412,0.0875518,-0.175647,6.52398,0.276611
"176",3.21564,0.63587,-0.180672,0.130802,-0.0927112,6.38443,0.265682
"177",3.22905,0.541573,-0.039193,0.0938247,0.0764944,7.03687,0.286291
"178",3.29995,0.550879,-0.106972,0.0870301,-0.0575087,6.60614,0.269915
"179",3.33861,0.433866,-0.0490388,-0.00671061,-0.118981,6.67373,0.291473
"180",3.37195,0.509243,-0.0745763,0.029256,-0.160093,6.67199,0.266151
"181",3.29115,0.499436,-0.0805351,0.090545,-0.174672,6.42914,0.268254
