"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"111",3.26109,0.0395651,0.00191953,0.341177,0.04559,0.174764,0.125599
"112",3.2519,-0.00607736,0.072567,0.280637,0.0204314,0.25964,0.128008
"113",3.34804,-0.0612151,0.03333,0.232675,0.0620996,0.239541,0.127023
"114",3.27804,-0.00281761,0.00281514,0.307171,0.0895174,0.236191,0.134428
"115",3.32999,0.0344279,-0.0113574,0.266207,0.0871949,0.206279,0.131739
"116",3.32701,-0.0524132,-0.0126894,0.253479,0.0658438,0.206667,0.128963
"117",3.37013,-0.0309052,-0.016876,0.33159,0.105766,0.149408,0.128795
"118",3.16501,0.0920283,0.0285424,0.280735,0.0573195,0.315326,0.128189
"119",3.35021,-0.0417304,0.0177181,0.3279,0.0822373,0.196376,0.131745
"120",3.35063,0.0153677,-0.0224253,0.344402,0.103688,0.155307,0.129195
"121",3.41121,-0.0701615,0.0456426,0.262655,0.0663427,0.1193,0.132732
"122",3.29999,-0.00100882,-0.0391766,0.318762,0.0644864,0.236573,0.126142
"123",3.39723,0.0726023,-0.0146612,0.260178,0.0760201,0.0679627,0.133042
"124",3.24417,-0.0302007,-0.00940332,0.330589,0.0464495,0.283276,0.134709
"125",3.31181,-0.112137,0.07954,0.285984,0.0407933,0.267237,0.128192
"126",3.29869,-0.0264463,0.0207137,0.379254,0.0550553,0.195966,0.130351
"127",3.30317,-0.0211766,0.054096,0.276665,0.0594462,0.221147,0.128213
"128",3.35958,0.0329744,0.0262091,0.264996,0.0420996,0.116916,0.129597
"129",3.27994,0.0511499,0.0261233,0.31347,0.100897,0.228978,0.12588
"130",3.27131,-0.0817637,0.0332514,0.279209,0.073365,0.248414,0.130147
"131",3.22071,-0.015197,0.0205525,0.32073,0.0515086,0.305527,0.127248
"132",3.23511,0.030564,0.0301434,0.299842,0.0437154,0.241882,0.129719
"133",3.21622,0.0134709,0.000709145,0.354366,0.0726833,0.320875,0.12785
"134",3.22496,0.0596851,0.0497822,0.280867,0.0755971,0.28902,0.13062
"135",3.25427,0.0448729,-0.00219975,0.338228,0.0662234,0.263479,0.132793
"136",3.33738,-0.0692432,0.0258157,0.322196,0.0942576,0.220778,0.129508
"137",3.30783,-0.0486797,0.0713125,0.309906,0.0455064,0.172951,0.130128
"138",3.27027,0.0614981,0.0265225,0.268463,0.102961,0.262097,0.131778
"139",3.28625,0.0273873,0.063064,0.2262,0.112074,0.255287,0.129976
"140",3.36929,-0.0659506,0.0422043,0.291514,0.026331,0.187421,0.128808
"141",3.23627,-0.0153975,0.0372888,0.299509,0.0821724,0.298042,0.1344
"142",3.35999,-0.0298049,0.0614392,0.222041,0.048252,0.119437,0.132266
