"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"loglik[1415]",-6.78593712666667,-6.7767,-7.1119815,-6.5474585,1.00885779900291,240,0,1
"loglik[1416]",-5.07804184666667,-5.07486,-5.209172,-4.96839325,1.00448943695948,570,0,1
"loglik[1417]",-4.35938499333333,-4.360645,-4.59703775,-4.11304025,1.00817005921193,250,0,1
"loglik[1419]",-6.81113112666667,-6.801785,-7.1473825,-6.564248,1.00884024141092,240,0,1
"loglik[1425]",-4.99736532666667,-4.99487,-5.1129425,-4.888108,1.00829378583917,240,0,1
"loglik[1435]",-5.41582593333333,-5.41234,-5.463771,-5.38550375,1.00510064594255,430,0,1
"loglik[1451]",-5.21555537333333,-5.20866,-5.39398925,-5.06565025,1.00100475539826,1500,0,1
"loglik[1452]",-5.0413605,-5.03224,-5.354071,-4.74918975,1.00021183952469,1500,0,1
"loglik[1457]",-5.24272074666667,-5.23555,-5.44656575,-5.07048175,1.00042083262519,1500,0,1
"loglik[1469]",-3.95269386,-3.955465,-4.10232425,-3.79551225,1.0110858042659,410,0,1
"loglik[1481]",-5.47571212666667,-5.46883,-5.577573,-5.41057375,1.02562828528111,150,0,1
"loglik[1484]",-4.72366827333333,-4.721755,-4.765521,-4.69375475,1.00892672169932,630,0,1
"loglik[1487]",-4.72465052666667,-4.71833,-4.79624425,-4.68970475,1.01676575326445,170,0,1
"loglik[1498]",-4.69151456666667,-4.69008,-4.701984,-4.68888,1.01199292101519,1000,0,1
"loglik[1500]",-4.69722084,-4.695025,-4.7175045,-4.68891475,1.00210229112774,1500,0,1
"loglik[1501]",-4.69401563333333,-4.691335,-4.71490975,-4.68889,1.01688346187163,320,0,1
"loglik[1511]",-4.69362666,-4.69153,-4.708671,-4.68888475,1.00576586376381,1500,0,1
"loglik[1517]",-4.10536168,-4.10712,-4.309769,-3.90146025,1.02170697673136,150,0,1
"loglik[1518]",-6.14528193333333,-6.13439,-6.3815615,-5.96643325,1.02733790883223,130,0,1
"loglik[1524]",-4.69527934,-4.69293,-4.713084,-4.68889,1.00476974043318,1500,0,1
"loglik[1531]",-3.78013373333333,-3.77939,-3.91727475,-3.638305,1.00294075649041,1500,0,1
"loglik[1536]",-4.71094357333333,-4.70887,-4.742356,-4.6906,1.0044242931394,1500,0,1
