,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[975],-7.040417513,-7.034375,-7.31732775,-6.812743,1.020548692,110,1,0
loglik[977],-4.503866907,-4.49299,-4.851683,-4.20370925,1.045193414,58,1,0
loglik[978],-5.031926653,-5.026795,-5.36022475,-4.71421525,1.034664192,76,1,0
loglik[982],-6.118113967,-6.11146,-6.20053525,-6.0757595,1.011625359,170,1,0
loglik[983],-5.802956653,-5.798215,-5.84783475,-5.78751475,1.013746732,150,1,0
loglik[986],-6.156370433,-6.15153,-6.2512365,-6.09053425,1.02306273,92,1,0
loglik[990],-4.849636687,-4.84641,-5.0292115,-4.68316075,1.022136423,97,1,0
loglik[1001],-4.851516033,-4.846275,-5.072565,-4.65151375,1.028006497,94,1,0
loglik[1003],-4.7207821,-4.71699,-4.96360325,-4.5128895,1.040181405,64,1,0
loglik[1009],-4.812299253,-4.80921,-5.0060015,-4.63697375,1.024157964,99,1,0
loglik[1010],-5.142723747,-5.1395,-5.2783815,-5.02522975,1.026056495,96,1,0
loglik[1018],-4.649984893,-4.65213,-5.037605,-4.2615395,1.05164307,45,1,0
loglik[1019],-8.710467127,-8.612205,-10.1890975,-7.7037875,1.089112924,28,1,0
loglik[1024],-4.850880647,-4.843295,-4.9902715,-4.747473,1.032006993,81,1,0
loglik[1025],-4.344136267,-4.34403,-4.565943,-4.143161,1.02129517,110,1,0
loglik[1026],-4.362828393,-4.36272,-4.584633,-4.16185625,1.021295134,110,1,0
loglik[1027],-4.250780767,-4.24796,-4.58206875,-3.9365865,1.031019945,78,1,0
loglik[1029],-4.3908402,-4.390535,-4.59501725,-4.2080965,1.017997844,120,1,0
loglik[1033],-4.362828393,-4.36272,-4.584633,-4.16185625,1.021295134,110,1,0
loglik[1039],-5.004085727,-4.999295,-5.16229725,-4.86860425,1.037041452,68,1,0
loglik[1040],-5.40618428,-5.40011,-5.4638385,-5.38211475,1.05278011,64,1,0
loglik[1042],-6.917046553,-6.901425,-7.262073,-6.62376475,1.016985698,120,1,0
loglik[1045],-4.993752807,-4.989265,-5.1397965,-4.86890775,1.035050489,71,1,0
loglik[1049],-4.575718867,-4.57333,-4.8040615,-4.35487025,1.031480472,75,1,0
loglik[1051],-4.6093329,-4.6058,-4.8673855,-4.35776475,1.035004724,69,1,0
loglik[1061],-5.84281106,-5.83894,-5.91595075,-5.79599925,1.014074884,140,1,0
loglik[1064],-4.598128407,-4.59535,-4.84878575,-4.354796,1.033972404,71,1,0
loglik[1066],-4.996491673,-4.99136,-5.1550195,-4.8604795,1.037726945,67,1,0
loglik[1067],-7.02673316,-7.0115,-7.4337625,-6.72284275,1.028374188,79,1,0
loglik[1068],-7.439132587,-7.4212,-7.90072675,-7.03443175,1.017765423,120,1,0
loglik[1071],-5.395894433,-5.391565,-5.43417575,-5.38207475,1.045942143,74,1,0
loglik[1073],-5.871681533,-5.86825,-5.957235,-5.8094455,1.012852266,160,1,0
loglik[1078],-4.598128407,-4.59535,-4.84878575,-4.354796,1.033972404,71,1,0
loglik[1088],-5.40192248,-5.396105,-5.453454,-5.38209,1.053913907,65,1,0
loglik[1089],-4.966985433,-4.964545,-5.084791,-4.86654275,1.027779525,85,1,0
loglik[1092],-4.60373072,-4.600665,-4.856844,-4.35664125,1.034504841,70,1,0
loglik[1093],-5.4142103,-5.406315,-5.487074,-5.38218,1.056792624,60,1,0
loglik[1102],-9.810222967,-9.781425,-11.040155,-8.8356395,1.030655259,74,1,0
loglik[1106],-5.393391387,-5.38927,-5.42676775,-5.38205,1.040428764,83,1,0
loglik[1108],-5.3941869,-5.390145,-5.42889225,-5.38206,1.042375037,80,1,0
loglik[1110],-4.585038387,-4.58197,-4.838154,-4.33795125,1.034505021,70,1,0
loglik[1111],-4.833594627,-4.82515,-4.9785845,-4.729985,1.034983394,77,1,0
loglik[1112],-6.865133573,-6.858395,-7.1386885,-6.62937725,1.013870884,150,1,0
loglik[1113],-7.190159613,-7.184375,-7.50447475,-6.9230285,1.016342374,120,1,0
loglik[1114],-4.894316113,-4.891715,-4.9998355,-4.81054375,1.018129379,120,1,0
loglik[1118],-6.83207106,-6.82782,-7.07617775,-6.6138635,1.013513668,150,1,0
loglik[1120],-7.367161613,-7.353715,-7.752527,-7.01958175,1.015151815,130,1,0
