"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"97",3.42406,0.478314,-0.083945,-0.0979733,-0.0476602,0.0684604,0.106237
"98",3.36786,0.593522,0.0178973,-0.0488194,-0.127465,-0.29436,0.107123
"99",3.3865,0.602474,-0.0844381,-0.141623,0.0137881,0.0251728,0.111816
"100",3.3399,0.544483,0.00105001,-0.156811,-0.0714484,-0.0482291,0.107346
"101",3.38189,0.514174,0.0119415,-0.193862,-0.0902671,-0.242984,0.122597
"102",3.35225,0.450711,-0.0677285,-0.0214983,-0.08565,-0.00851752,0.107693
"103",3.38127,0.494521,0.00782698,-0.243475,-0.052342,-0.31276,0.11128
"104",3.35218,0.553516,-0.0468449,-0.134078,-0.0699625,-0.210813,0.111761
"105",3.31425,0.544499,0.00419222,-0.1772,-0.0423585,0.00247702,0.108498
"106",3.37382,0.595777,-0.0473934,-0.0917618,-0.0454997,-0.174194,0.112597
"107",3.34096,0.488185,-0.0448777,-0.0831346,-0.108518,0.0290287,0.111779
"108",3.2905,0.662222,-0.0941378,-0.0149978,-0.0586074,0.146698,0.112396
"109",3.35946,0.631979,0.0407584,-0.258596,-0.0645577,-0.124624,0.110395
"110",3.2373,0.660893,-0.0132044,-0.153463,-0.0259966,0.17365,0.111845
"111",3.33595,0.65982,-0.0994886,-0.0231736,-0.0735629,0.0869987,0.105002
"112",3.37791,0.594171,-0.0598442,-0.010725,-0.0725057,-0.139441,0.108436
"113",3.44335,0.420925,0.0661094,-0.191851,-0.0641472,0.0269355,0.109893
"114",3.33277,0.626312,0.0479287,-0.193844,-0.115504,-0.226262,0.105468
"115",3.35766,0.586335,0.00903075,-0.174743,-0.124263,-0.165816,0.110258
"116",3.34132,0.636672,-0.0858872,-0.0374987,-0.0873455,-0.180548,0.1148
"117",3.36682,0.550711,-0.0407242,-0.0837622,-0.11045,-0.317282,0.108879
"118",3.31438,0.614026,-0.025899,-0.13018,-0.0523814,0.16589,0.110548
"119",3.31601,0.636676,-0.0126426,-0.16559,-0.0430074,0.0421218,0.109584
"120",3.32881,0.50264,-0.0011395,-0.0744262,-0.100669,-0.0293672,0.110796
"121",3.34713,0.547321,0.0040488,-0.201033,-0.0946913,-0.216543,0.111728
"122",3.33288,0.652309,-0.165519,-0.0856331,-0.00246663,-0.121533,0.110085
"123",3.42634,0.537129,-0.0795632,-0.00721575,-0.108474,0.0454459,0.108231
"124",3.24389,0.777078,-0.0789234,-0.0119534,-0.0415995,-0.0656016,0.115727
"125",3.3121,0.640383,-0.0467221,-0.0917572,-0.0167991,0.167124,0.109657
"126",3.33055,0.631663,-0.053299,-0.127551,-0.0608315,-0.290377,0.110106
"127",3.40708,0.455007,0.023513,-0.113989,-0.123847,-0.115857,0.113829
"128",3.4264,0.542875,0.0428778,-0.195298,-0.0774172,-0.280401,0.114807
"129",3.32586,0.658645,-0.0202246,-0.259883,-0.0885226,-0.0378429,0.115066
"130",3.37966,0.520659,0.0236912,-0.122715,-0.11679,-0.102638,0.115837
"131",3.23039,0.699212,-0.00736964,-0.235516,-0.0814602,-0.0296433,0.108692
"132",3.29739,0.597102,0.0334494,-0.0897593,-0.0264724,-0.174831,0.113015
"133",3.36851,0.624297,0.00835256,-0.165813,-0.022005,-0.0836289,0.110466
"134",3.39227,0.536916,-0.035127,-0.107418,-0.0408335,-0.141524,0.117061
"135",3.33901,0.631076,-0.0342385,0.0174936,-0.050012,-0.0301808,0.108023
"136",3.33851,0.667233,0.0257063,-0.228573,-0.0894702,-0.21269,0.106099
"137",3.29223,0.611286,-0.0183992,-0.12597,-0.0175193,-0.159477,0.102242
"138",3.38477,0.555238,0.00359173,-0.0706329,-0.12086,-0.217285,0.104146
"139",3.39811,0.460815,-0.0189904,-0.0678752,-0.15123,-0.236456,0.113733
"140",3.37895,0.574977,-0.0364661,-0.205167,-0.110128,-0.222815,0.10736
"141",3.32893,0.608187,-0.00176765,-0.126181,-0.0382821,-0.0810227,0.103883
"142",3.39717,0.468158,0.00517028,-0.111225,-0.0775537,-0.172272,0.120723
"143",3.38445,0.553834,-0.064686,0.00108079,-0.0142067,0.0750441,0.110623
"144",3.44218,0.544607,-0.0820745,-0.0405168,-0.097712,-0.368912,0.10948
"145",3.34238,0.657327,-0.00743757,-0.099944,-0.082033,-0.0680032,0.112855
"146",3.42182,0.515552,-0.00565079,-0.0668698,-0.109177,-0.233174,0.112048
"147",3.34814,0.634374,-0.0774537,-0.0565832,-0.0982926,-0.0856367,0.116701
"148",3.41147,0.518926,0.024773,-0.12455,-0.0189014,-0.00345245,0.116293
