"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma"
"582",4.07442,0.17831,0.380135,0.0645538,0.222117,-0.876136,0.125778
"583",3.74405,0.411946,0.385349,-0.10841,0.204479,-0.583702,0.129947
"584",3.80917,0.357632,0.353318,-0.15625,0.212801,-0.622197,0.129269
"585",3.87058,0.224813,0.371993,-0.12074,0.273927,-0.639106,0.130846
"586",3.83538,0.276065,0.344764,-0.0960315,0.209371,-0.59646,0.122917
"587",3.82441,0.312391,0.461584,-0.155338,0.166647,-0.710924,0.132589
"588",3.92559,0.30425,0.424262,-0.073804,0.177873,-0.726488,0.129888
"589",4.00811,0.16344,0.31928,-0.0406223,0.184509,-0.864024,0.119012
"590",3.92453,0.299636,0.361104,-0.0785793,0.275247,-0.756231,0.125623
"591",3.80744,0.27719,0.297543,-0.0307211,0.199474,-0.559283,0.126923
"592",3.80601,0.420781,0.396546,-0.104592,0.227805,-0.633132,0.124331
"593",3.6071,0.624683,0.421439,-0.0481474,0.198933,-0.437831,0.124638
"594",3.86877,0.413858,0.3621,0.0418772,0.222387,-0.638062,0.126892
"595",3.86602,0.313508,0.390417,-0.0744644,0.207225,-0.662352,0.124979
"596",3.78455,0.427635,0.325562,-0.0354885,0.323993,-0.63356,0.124436
"597",3.89238,0.239547,0.344953,-0.0652073,0.249183,-0.723733,0.120008
"598",3.98614,0.247591,0.359353,-0.145852,0.2498,-0.775366,0.130684
"599",3.81114,0.261392,0.396862,-0.195243,0.210934,-0.565869,0.129328
"600",3.80856,0.433026,0.349238,-0.0457726,0.219977,-0.564835,0.120709
"601",3.87531,0.229152,0.371175,-0.118499,0.241086,-0.628873,0.11861
"602",3.89068,0.321985,0.311352,0.0708753,0.233188,-0.691948,0.129781
"603",3.89958,0.320645,0.399016,-0.12626,0.183273,-0.720948,0.124391
"604",3.85069,0.219148,0.353667,-0.106076,0.207985,-0.651221,0.127252
"605",3.87496,0.342889,0.402126,0.00168898,0.150655,-0.657336,0.13348
"606",3.76514,0.414297,0.377163,-0.0142328,0.27679,-0.58277,0.126489
"607",3.83458,0.228561,0.423086,-0.240055,0.189381,-0.694087,0.123139
"608",3.83378,0.372249,0.366832,-0.0254433,0.281392,-0.709802,0.12319
"609",3.90342,0.167156,0.365916,-0.0646847,0.231617,-0.701472,0.128053
"610",3.73964,0.444791,0.349266,-0.000716234,0.238847,-0.500422,0.125081
"611",3.70692,0.523454,0.333789,-0.117928,0.208061,-0.491206,0.131621
"612",3.79251,0.302809,0.355968,-0.0499218,0.210947,-0.576776,0.12224
"613",3.95751,0.204577,0.32291,0.0125848,0.259615,-0.742637,0.123075
"614",3.76036,0.346036,0.338107,-0.06402,0.226704,-0.547317,0.123491
"615",3.8022,0.392265,0.393384,-0.101787,0.139461,-0.667523,0.122317
"616",3.75941,0.319271,0.274062,-0.0127114,0.22914,-0.555838,0.120426
"617",3.81507,0.349548,0.289913,0.0372161,0.289176,-0.57121,0.125942
"618",3.97835,0.290329,0.297022,-0.0145158,0.261841,-0.780646,0.126863
"619",3.87602,0.369678,0.358591,-0.187228,0.215092,-0.723819,0.126533
"620",3.79629,0.507929,0.28067,0.0970725,0.27317,-0.660225,0.123942
"621",3.9132,0.210004,0.358562,-0.11039,0.208299,-0.650645,0.12235
"622",3.92665,0.279432,0.373912,-0.0489247,0.251851,-0.689482,0.116753
"623",3.82104,0.277822,0.266373,0.066947,0.250518,-0.513704,0.125204
"624",3.75107,0.41693,0.339344,-0.0942388,0.227669,-0.56087,0.131829
"625",3.91042,0.284149,0.365912,-0.047807,0.252585,-0.720893,0.118716
"626",3.92507,0.347426,0.41005,-0.00169743,0.238881,-0.752352,0.120345
"627",3.87071,0.280389,0.433321,-0.146019,0.229913,-0.609036,0.123128
"628",3.86508,0.369207,0.316421,-0.0612057,0.298546,-0.637832,0.124207
"629",3.92857,0.2164,0.390773,-0.0912019,0.212694,-0.718257,0.124732
"630",3.86705,0.379679,0.359929,-0.0881965,0.246501,-0.691228,0.125898
"631",3.95332,0.189173,0.468009,-0.182638,0.193899,-0.752,0.129978
"632",3.91982,0.320044,0.391588,-0.163411,0.215208,-0.728413,0.125718
"633",3.97672,0.288869,0.357792,-0.0689546,0.215718,-0.855399,0.131287
"634",3.79812,0.368168,0.407178,-0.136124,0.217502,-0.615793,0.124887
"635",3.87105,0.246629,0.355954,-0.0526308,0.283809,-0.678199,0.132592
"636",3.81817,0.26481,0.385293,-0.0785824,0.207781,-0.588713,0.120491
"637",3.79842,0.376274,0.424111,-0.11791,0.192261,-0.65452,0.127785
"638",3.84598,0.245296,0.364178,-0.0262626,0.246665,-0.616103,0.130971
"639",3.81132,0.257599,0.363713,-0.0723554,0.232978,-0.535864,0.126883
"640",3.91402,0.262665,0.38649,-0.154164,0.221565,-0.669332,0.122478
"641",3.87978,0.232539,0.349288,-0.047531,0.232045,-0.638537,0.122919
"642",3.92808,0.266632,0.311305,0.136844,0.218518,-0.663137,0.130592
"643",3.8829,0.237337,0.357053,-0.0973837,0.204414,-0.691959,0.127934
"644",3.7705,0.536175,0.340019,-0.0446459,0.217139,-0.602255,0.130238
"645",3.91101,0.340478,0.360483,-0.0383769,0.236889,-0.609794,0.130458
"646",3.82798,0.402162,0.401962,-0.0691413,0.243191,-0.696759,0.127894
"647",3.74458,0.451065,0.349193,-0.0886868,0.23404,-0.519402,0.126659
"648",3.87254,0.377011,0.370703,-0.0646426,0.152631,-0.690163,0.125207
"649",3.96304,0.227591,0.430866,-0.163011,0.236164,-0.777895,0.124585
"650",4.02528,0.132812,0.339337,-0.0408686,0.232276,-0.847214,0.126018
"651",3.76163,0.32564,0.382684,-0.143674,0.21913,-0.563996,0.129395
"652",3.85221,0.276012,0.43837,-0.172039,0.212381,-0.648658,0.129416
"653",3.83053,0.326782,0.36448,-0.0466132,0.227886,-0.637595,0.121054
"654",3.74707,0.455548,0.395018,-0.107515,0.178643,-0.575817,0.135019
"655",3.73116,0.313167,0.340024,-0.0211479,0.219057,-0.553328,0.12673
"656",4.0458,0.176525,0.396774,-0.0455261,0.225571,-0.90516,0.124369
"657",3.80766,0.338058,0.393006,-0.0141195,0.214699,-0.63732,0.125969
"658",3.89334,0.220164,0.379272,-0.0486702,0.237551,-0.59806,0.132907
"659",3.72317,0.424374,0.391132,-0.0512014,0.214581,-0.515702,0.131621
"660",3.74539,0.347576,0.313383,-0.0900364,0.211378,-0.529381,0.120514
"661",3.90531,0.44025,0.401223,0.0070486,0.247383,-0.758988,0.120802
"662",3.97847,0.13934,0.411465,-0.0992789,0.160249,-0.752797,0.124528
"663",3.79359,0.371005,0.363897,-0.066593,0.226883,-0.589783,0.125275
"664",3.7631,0.251851,0.356502,-0.0962642,0.202485,-0.539224,0.12053
"665",3.88463,0.314285,0.269564,-0.0175137,0.250373,-0.605867,0.121875
"666",3.83348,0.296063,0.372273,-0.0543182,0.177156,-0.643788,0.123103
"667",3.72307,0.44923,0.344202,-0.0503552,0.228778,-0.51248,0.126592
"668",3.95792,0.244576,0.406543,0.00575533,0.198914,-0.790387,0.131588
"669",3.85632,0.3411,0.322243,0.0315373,0.213003,-0.682911,0.128046
"670",3.84229,0.331199,0.289587,-0.0055243,0.201829,-0.632533,0.13491
"671",4.00584,0.226225,0.346804,-0.0149461,0.244703,-0.77686,0.121915
"672",4.02257,0.260199,0.336389,0.0584674,0.174706,-0.744437,0.123823
"673",3.7938,0.261057,0.354619,-0.155176,0.201996,-0.506446,0.128073
"674",3.86182,0.301408,0.308757,0.0526617,0.197776,-0.637636,0.12178
"675",3.79144,0.369963,0.300596,-0.0128676,0.198755,-0.649255,0.129705
"676",3.82065,0.349293,0.317435,0.0206852,0.159121,-0.591097,0.127714
"677",3.96821,0.331283,0.375352,0.0719536,0.221227,-0.764783,0.123473
"678",3.87373,0.372564,0.338602,0.053743,0.212946,-0.673078,0.127173
"679",3.84355,0.24807,0.430866,-0.125903,0.262486,-0.645687,0.130514
"680",3.99532,0.255156,0.342728,0.139165,0.247571,-0.811843,0.126654
"681",3.73118,0.438897,0.330617,-0.112062,0.218241,-0.5438,0.122335
"682",3.85955,0.287426,0.289671,-0.0150656,0.29449,-0.664129,0.125813
"683",3.75305,0.291971,0.322763,-0.124092,0.164773,-0.543893,0.122777
"684",3.72032,0.3798,0.388533,-0.266828,0.197104,-0.481899,0.132441
"685",3.84812,0.267195,0.309942,-0.0233073,0.258239,-0.622734,0.121793
"686",3.97566,0.295126,0.481702,-0.212719,0.22298,-0.811996,0.124788
"687",3.8881,0.306916,0.343468,-0.12832,0.247177,-0.711744,0.125919
"688",3.81599,0.349323,0.384898,-0.11145,0.141828,-0.568041,0.123591
"689",3.78054,0.370315,0.269373,-0.0928959,0.267819,-0.555427,0.128982
"690",3.84773,0.362155,0.368654,-0.00927762,0.238847,-0.66189,0.127926
"691",3.83308,0.328559,0.360729,-0.151093,0.220451,-0.719436,0.122345
"692",3.92889,0.211978,0.386356,-0.159884,0.178185,-0.740727,0.124542
"693",3.90566,0.214322,0.410996,-0.0726171,0.217077,-0.712194,0.12358
"694",3.79164,0.447143,0.430948,-0.170097,0.243452,-0.646339,0.125543
"695",3.79511,0.310937,0.359191,-0.0268063,0.212426,-0.604078,0.121441
"696",3.80175,0.311306,0.353013,-0.128738,0.298813,-0.672089,0.125336
"697",3.80252,0.304069,0.28938,0.000570051,0.21371,-0.582569,0.130871
"698",3.90749,0.24915,0.321541,-0.166199,0.196665,-0.63745,0.115907
"699",3.95241,0.302417,0.293755,0.10682,0.265506,-0.767872,0.123212
"700",3.88378,0.337703,0.303766,-0.0353669,0.195809,-0.648492,0.131093
"701",3.85589,0.272462,0.362819,-0.0736707,0.258513,-0.68803,0.12414
"702",3.85209,0.349676,0.211135,0.0545415,0.323522,-0.626219,0.1289
"703",3.8989,0.229446,0.428599,-0.223754,0.207155,-0.677743,0.124669
"704",3.95903,0.210462,0.359719,0.00588723,0.228293,-0.706849,0.125452
"705",3.84216,0.231969,0.332262,-0.0468382,0.170613,-0.610411,0.127103
"706",3.82616,0.247041,0.299783,-0.11343,0.199175,-0.620199,0.124481
"707",3.92124,0.223462,0.448692,-0.152241,0.255788,-0.719768,0.122952
"708",3.72721,0.415519,0.346635,-0.0223237,0.274886,-0.545943,0.124907
"709",3.85007,0.306622,0.360744,-0.0784764,0.254456,-0.654432,0.12304
"710",3.87519,0.351247,0.426382,-0.156256,0.236804,-0.723995,0.121695
"711",3.6584,0.332528,0.365549,-0.139245,0.2554,-0.45053,0.131684
"712",3.82961,0.379304,0.294992,0.0474397,0.229115,-0.636744,0.126778
"713",3.90672,0.3454,0.501453,-0.247158,0.159293,-0.666679,0.122913
"714",3.74672,0.273883,0.295081,-0.00343683,0.268371,-0.483669,0.129027
"715",3.87729,0.432099,0.376302,-0.177581,0.22309,-0.613556,0.12875
"716",3.79077,0.431021,0.477181,-0.198708,0.171243,-0.629816,0.125087
"717",3.91554,0.248195,0.375644,-0.142975,0.177211,-0.716454,0.123067
"718",3.77913,0.37005,0.370278,-0.0883398,0.265273,-0.56013,0.125396
"719",3.89033,0.3133,0.303859,-0.0247133,0.248388,-0.635777,0.124309
"720",4.00709,0.0810787,0.223422,-0.0270107,0.209596,-0.747025,0.127241
"721",3.8818,0.312521,0.439571,-0.0665186,0.21926,-0.669212,0.129376
"722",3.87915,0.25722,0.377573,-0.0969872,0.245803,-0.600279,0.129929
"723",3.78209,0.40908,0.303427,-0.0862767,0.197899,-0.610556,0.130814
"724",3.83234,0.403582,0.341011,0.0233661,0.211286,-0.692002,0.129697
"725",3.76417,0.42718,0.388437,-0.152902,0.255324,-0.586693,0.12931
"726",3.90875,0.248265,0.377438,-0.0714391,0.159816,-0.686962,0.126296
"727",3.83321,0.279936,0.369853,-0.0802978,0.22253,-0.68872,0.120165
"728",3.92105,0.34161,0.310024,-0.0864071,0.236938,-0.712222,0.125348
"729",3.79392,0.38661,0.410927,-0.13903,0.274109,-0.563457,0.12607
"730",3.79613,0.279659,0.318848,-0.11021,0.209701,-0.576728,0.122113
"731",3.81344,0.262345,0.329607,-0.0534698,0.208923,-0.677705,0.128212
"732",4.00067,0.273234,0.390538,-0.0649739,0.221276,-0.745739,0.124806
"733",3.88733,0.24991,0.354033,-0.031651,0.218326,-0.728206,0.124464
"734",3.83455,0.323736,0.303508,-0.0461282,0.2663,-0.580342,0.125284
"735",3.85298,0.208054,0.437674,-0.167817,0.175507,-0.666399,0.127099
"736",3.90603,0.342439,0.403531,-0.103641,0.217932,-0.697815,0.128011
"737",3.73236,0.431255,0.342159,-0.0216485,0.22026,-0.509569,0.127932
"738",3.75668,0.472828,0.355924,-0.0372729,0.215606,-0.55503,0.124521
"739",4.0081,0.213355,0.433861,-0.268042,0.234243,-0.767039,0.12378
"740",3.9091,0.238549,0.274567,0.0966152,0.263005,-0.671425,0.124454
"741",3.87144,0.316492,0.393721,-0.299124,0.210148,-0.652637,0.134689
