,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[5577],-4.38039028,-4.38066,-4.50086925,-4.25878575,1.03715565,63,1,0
loglik[5580],-4.28795494,-4.288435,-4.400892,-4.1729585,1.042702436,58,1,0
loglik[5581],-4.278711413,-4.279,-4.392122,-4.16341075,1.042985587,58,1,0
loglik[5584],-4.29719834,-4.29789,-4.410933,-4.18117425,1.042363227,58,1,0
loglik[5592],-5.39246938,-5.389635,-5.418782,-5.38208,1.01388549,150,1,0
loglik[5595],-4.731644373,-4.729465,-4.9581255,-4.51422825,1.015405042,170,1,0
loglik[5596],-4.329870133,-4.33042,-4.44462375,-4.21322775,1.041526539,58,1,0
loglik[5598],-4.371146847,-4.370785,-4.490719,-4.25194325,1.037889595,62,1,0
loglik[5599],-4.440792633,-4.44103,-4.57204675,-4.3093995,1.033213202,70,1,0
loglik[5600],-4.84663798,-4.84598,-4.90140025,-4.79684325,1.038821383,61,1,0
loglik[5612],-5.43793472,-5.433885,-5.50531925,-5.3942345,1.007190719,400,1,0
loglik[5616],-3.630104233,-3.6293,-3.809676,-3.455738,1.020367321,200,1,0
loglik[5618],-3.585609673,-3.58458,-3.7556135,-3.42053175,1.016789441,240,1,0
loglik[5621],-4.938438107,-4.930885,-5.11684975,-4.80066325,1.025318759,110,1,0
loglik[5622],-7.732592953,-7.722165,-8.183379,-7.3473785,1.004443148,480,1,0
loglik[5624],-3.680490367,-3.68145,-3.82941475,-3.52625575,1.008419626,430,1,0
loglik[5625],-4.019350653,-4.018505,-4.17551225,-3.86170575,1.005372193,370,1,0
loglik[5626],-5.603457267,-5.5959,-5.7346085,-5.50197475,1.001144464,1500,1,0
loglik[5627],-8.037598993,-8.024315,-8.65174025,-7.49739,1.016069347,240,1,0
loglik[5631],-3.67076744,-3.66974,-3.84076875,-3.505687,1.016789292,240,1,0
loglik[5634],-7.78594806,-7.76706,-8.323948,-7.32836275,1.010723045,200,1,0
loglik[5641],-4.158118927,-4.15894,-4.3650305,-3.94217425,1.003729676,690,1,0
loglik[5643],-4.706526153,-4.704175,-4.74042925,-4.68896475,1.072008854,41,1,0
loglik[5651],-4.01671278,-4.01822,-4.16069425,-3.87011125,1.043586865,58,1,0
loglik[5652],-4.031863327,-4.03421,-4.17591125,-3.8853605,1.0384047,66,1,0
loglik[5653],-4.711072513,-4.70849,-4.75124625,-4.68904,1.068429533,42,1,0
loglik[5655],-17.41535067,-17.32445,-19.45736,-15.66703,1.048020027,51,1,0
loglik[5658],-11.3794769,-11.31395,-13.3172625,-9.82596125,1.000354266,1500,1,0
loglik[5660],-4.00510344,-4.008605,-4.15074125,-3.85335,1.050089753,50,1,0
loglik[5665],-3.97631098,-3.98057,-4.125686,-3.8216895,1.05098843,49,1,0
loglik[5666],-3.954601267,-3.960715,-4.12457575,-3.7696455,1.049846341,49,1,0
loglik[5668],-3.951059847,-3.957225,-4.11359325,-3.7785545,1.050962699,48,1,0
loglik[5674],-3.988346767,-3.99042,-4.13172275,-3.841443,1.040241773,63,1,0
loglik[5678],-8.298200687,-8.28163,-8.82854975,-7.8529045,1.03090737,85,1,0
loglik[5681],-4.02025408,-4.021585,-4.16606775,-3.87320175,1.047559221,53,1,0
loglik[5687],-6.144418987,-6.136975,-6.32762125,-6.00060725,1.031219674,86,1,0
loglik[5688],-4.73132072,-4.729965,-4.774046,-4.6990075,1.057531286,47,1,0
loglik[5691],-4.072265207,-4.07393,-4.2211715,-3.91584625,1.022574137,110,1,0
loglik[5698],-3.996511853,-3.99796,-4.14123125,-3.84825125,1.048566375,52,1,0
loglik[5702],-3.882688733,-3.88721,-4.03928075,-3.719383,1.051306703,48,1,0
loglik[5703],-4.73160212,-4.7301,-4.77392775,-4.6999475,1.042389205,59,1,0
loglik[5705],-4.737536473,-4.736095,-4.78247125,-4.70257325,1.055540594,48,1,0
loglik[5706],-4.764484333,-4.762285,-4.82303825,-4.7156845,1.014194879,160,1,0
loglik[5709],-4.73132072,-4.729965,-4.774046,-4.6990075,1.057531286,47,1,0
loglik[5719],-4.719951313,-4.7184,-4.758655,-4.69319,1.061855527,45,1,0
loglik[5730],-4.731204967,-4.72973,-4.77669475,-4.6978755,1.061258181,44,1,0
loglik[5733],-3.978246387,-3.97976,-4.1222295,-3.83164125,1.043586578,58,1,0
loglik[5734],-3.902889467,-3.90683,-4.05126725,-3.74897725,1.050614333,49,1,0
loglik[5737],-4.021762967,-4.022805,-4.16503775,-3.87597475,1.041974816,60,1,0
loglik[5739],-4.73365934,-4.73243,-4.77851175,-4.6998,1.059417897,45,1,0
loglik[5744],-4.045505227,-4.047575,-4.18888275,-3.89859825,1.040241716,63,1,0
loglik[5746],-4.747369427,-4.74543,-4.79755125,-4.70680675,1.01873041,120,1,0
loglik[5753],-6.24357686,-6.235635,-6.45154025,-6.07596225,1.044191374,57,1,0
loglik[5756],-9.136622593,-9.11646,-9.78605125,-8.573006,1.045689682,55,1,0
loglik[5757],-4.085907073,-4.08771,-4.234843,-3.931312,1.024472745,100,1,0
loglik[5763],-5.432994693,-5.42801,-5.50354525,-5.39152225,1.018684316,180,1,0
loglik[5764],-3.988346767,-3.99042,-4.13172275,-3.841443,1.040241773,63,1,0
loglik[5779],-3.902889467,-3.90683,-4.05126725,-3.74897725,1.050614333,49,1,0
loglik[5785],-4.010153693,-4.01276,-4.15511175,-3.859079,1.049408626,51,1,0
loglik[5788],-4.745975667,-4.74434,-4.7933945,-4.70867,1.044123907,57,1,0
loglik[5789],-4.724392347,-4.72284,-4.76839775,-4.69366475,1.06351402,44,1,0
loglik[5791],-4.765446167,-4.763685,-4.821197,-4.7182695,1.018675019,120,1,0
loglik[5796],-3.93279458,-3.93757,-4.0842935,-3.77846475,1.051221366,49,1,0
loglik[5806],-3.9277442,-3.93184,-4.082235,-3.76890025,1.051323009,48,1,0
loglik[5807],-4.73132072,-4.729965,-4.774046,-4.6990075,1.057531286,47,1,0
loglik[5810],-3.979852527,-3.98437,-4.1364455,-3.81654775,1.05130583,48,1,0
loglik[5811],-7.66480978,-7.649495,-8.12432775,-7.29366125,1.019792313,140,1,0
