"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"118",3.45099,-0.148688,0.164226,-0.00551538,0.170292,7.71459,0.200232
"119",3.42477,-0.044443,0.140747,0.0442242,0.137192,7.60911,0.19111
"120",3.33278,-0.0703236,0.165641,0.0098338,0.220141,7.76842,0.202366
"121",3.48775,-0.194534,0.146745,-0.0321203,0.145088,7.4812,0.191794
"122",3.40345,-0.0930313,0.117102,0.017556,0.169345,8.00954,0.191559
"123",3.38973,-0.139617,0.233355,0.0259918,0.250187,7.64544,0.192529
"124",3.48873,-0.0860035,0.130296,-0.0155703,0.0654025,7.70809,0.193674
"125",3.35105,-0.050341,0.160811,0.0254149,0.224403,8.11564,0.181357
"126",3.41557,-0.0905188,0.135305,0.0300548,0.141772,8.0372,0.192627
"127",3.32068,0.0168662,0.10964,0.053891,0.248998,7.63879,0.194327
"128",3.43992,-0.149689,0.17449,0.0355776,0.223524,7.85156,0.186576
"129",3.44231,-0.106923,0.140843,-0.00218655,0.142404,7.86291,0.195547
"130",3.36249,-0.071236,0.166179,0.0809129,0.274932,7.54062,0.194126
"131",3.37097,-0.0193489,0.144848,0.0474362,0.141032,7.78446,0.196314
"132",3.44459,-0.133044,0.135957,0.0314294,0.16641,7.81683,0.187127
"133",3.32679,-0.0426947,0.178645,0.0401007,0.202659,7.6899,0.193258
"134",3.4191,-0.186489,0.193973,0.0748516,0.284135,7.6828,0.185131
"135",3.46711,-0.0806957,0.122942,0.00608771,0.0704481,7.8018,0.185965
"136",3.40596,-0.108039,0.145089,0.0338133,0.158472,7.62169,0.198568
"137",3.34851,0.012368,0.14762,0.0548567,0.140781,8.13518,0.195449
"138",3.38869,-0.11437,0.194617,0.0388294,0.203927,7.85985,0.186776
"139",3.26706,-0.0684536,0.182515,0.0369363,0.333305,7.63862,0.193976
"140",3.30179,-0.0308934,0.1725,0.017841,0.242234,7.84158,0.184578
"141",3.32901,-0.0940645,0.210948,0.0332382,0.297255,7.83778,0.192491
"142",3.43543,-0.0333858,0.121809,0.0525561,0.113524,7.76026,0.19047
"143",3.39861,-0.0284726,0.148131,0.0555131,0.152787,7.95516,0.185912
"144",3.41903,-0.066533,0.164446,0.0325268,0.0929627,7.98073,0.19034
"145",3.32528,-0.00633446,0.156501,0.0760793,0.186197,7.74771,0.18378
"146",3.38125,-0.0499866,0.172591,0.0296089,0.191967,7.80354,0.192838
"147",3.44802,-0.175168,0.207345,-0.000526394,0.172425,7.89605,0.191596
"148",3.3814,-0.0965134,0.158361,-0.00489116,0.161252,7.79614,0.195315
"149",3.31203,-0.0259881,0.16837,0.081248,0.267228,7.98942,0.185856
"150",3.43141,-0.139074,0.209571,0.0202792,0.176449,7.95625,0.189414
"151",3.35866,-0.0220875,0.152434,0.0519242,0.192145,7.90828,0.192127
"152",3.38748,-0.112684,0.178716,0.0351357,0.232667,7.92361,0.187791
"153",3.40827,-0.132797,0.182118,-0.0228429,0.172364,7.68695,0.200901
"154",3.35316,-0.00688164,0.162205,0.0155297,0.170317,7.61282,0.180587
"155",3.35337,-0.0487666,0.16683,0.0247472,0.198221,7.72526,0.202686
