,mean,50%,2.50%,97.50%,Rhat,n.eff,PN,PP
loglik[519],-3.785450167,-3.787565,-4.0666755,-3.5000495,1.006547534,350,1,0
loglik[522],-5.632273847,-5.611095,-5.9215285,-5.45001925,1.003956683,510,1,0
loglik[526],-4.700418347,-4.69516,-4.7417785,-4.68889,1.018402542,310,1,0
loglik[527],-3.769838327,-3.77365,-4.034604,-3.49596375,1.005671885,370,1,0
loglik[528],-4.714156487,-4.70761,-4.77810975,-4.68894,1.013234947,350,1,0
loglik[529],-7.405740707,-7.366865,-8.20531425,-6.81869375,1.004432376,450,1,0
loglik[539],-4.732793367,-4.72723,-4.810392,-4.68948475,1.007741439,410,1,0
loglik[540],-4.70105612,-4.695415,-4.7442345,-4.6889,1.019866276,290,1,0
loglik[542],-4.196277473,-4.19808,-4.44517375,-3.9452295,1.004714508,430,1,0
loglik[543],-7.7485914,-7.70523,-8.55623075,-7.140996,1.004481698,450,1,0
loglik[545],-4.742749373,-4.737315,-4.83015175,-4.69073475,1.007977597,380,1,0
loglik[546],-4.534433593,-4.53077,-4.8404625,-4.238633,1.008355745,320,1,0
loglik[547],-4.778282773,-4.77081,-5.120843,-4.4444695,1.009535601,280,1,0
loglik[548],-4.708983607,-4.702055,-4.76521575,-4.68891,1.0163554,320,1,0
loglik[550],-3.774038307,-3.775505,-4.05942375,-3.4878125,1.006696187,340,1,0
loglik[551],-4.146429853,-4.147455,-4.39924125,-3.8949365,1.004765931,420,1,0
loglik[553],-4.156669967,-4.154325,-4.43703675,-3.8791775,1.017189337,140,1,0
loglik[555],-3.906508033,-3.90792,-4.1327005,-3.67885825,1.018649073,130,1,0
loglik[561],-16.77192313,-16.7243,-19.2872775,-14.5056125,1.013929487,150,1,0
loglik[562],-9.103250827,-9.08355,-10.08384,-8.23561675,1.013558416,150,1,0
loglik[564],-6.151111307,-6.13964,-6.51651,-5.84361575,1.013501238,150,1,0
loglik[574],-3.221795907,-3.220715,-3.424647,-3.0297355,1.015694538,140,1,0
loglik[584],-3.35783906,-3.357135,-3.544921,-3.17667225,1.016483294,130,1,0
loglik[591],-6.194780453,-6.182985,-6.5634475,-5.885643,1.014584067,140,1,0
loglik[592],-4.792569267,-4.786045,-4.906397,-4.71419125,1.011798268,170,1,0
loglik[598],-3.24372034,-3.24241,-3.44695325,-3.049588,1.015613469,150,1,0
loglik[602],-3.335914653,-3.33564,-3.52169225,-3.15608775,1.016579773,130,1,0
loglik[610],-3.198972307,-3.197825,-3.40143125,-3.0028255,1.015533503,150,1,0
loglik[611],-4.775641227,-4.769685,-4.87814675,-4.70758475,1.012502545,170,1,0
loglik[618],-4.751347067,-4.745655,-4.8367235,-4.69835675,1.014390869,160,1,0
loglik[619],-3.2446196,-3.243035,-3.444107,-3.05552175,1.015860001,140,1,0
loglik[623],-7.4428929,-7.42171,-8.04080475,-6.9338995,1.015959079,130,1,0
loglik[625],-3.313090953,-3.3121,-3.5015195,-3.1307575,1.01638971,140,1,0
loglik[635],-3.20948478,-3.207495,-3.41172225,-3.01056525,1.015375517,150,1,0
