"","mean","50%","2.5%","97.5%","Rhat","n.eff","PP","PN"
"loglik[912]",-4.93967464,-4.937005,-5.02562175,-4.8693075,1.02752115890612,84,0,1
"loglik[917]",-4.52135675333333,-4.52021,-4.70067325,-4.35872675,1.02270417659541,96,0,1
"loglik[918]",-4.47509088666667,-4.47338,-4.61815825,-4.3512915,1.02749180528169,81,0,1
"loglik[920]",-4.50000325333333,-4.497765,-4.6554195,-4.35945825,1.02496006924033,88,0,1
"loglik[927]",-4.95989976,-4.95737,-5.0505575,-4.884807,1.02663116010369,86,0,1
"loglik[928]",-9.55510552666667,-9.551005,-10.0662675,-9.0357325,1.0257723662706,83,0,1
"loglik[929]",-6.27516165333333,-6.273715,-6.37048725,-6.187494,1.02537114275249,82,0,1
"loglik[930]",-5.84874313333333,-5.84657,-5.900793,-5.8060795,1.02339959704368,87,0,1
"loglik[931]",-4.92211602,-4.919525,-4.98816625,-4.8645215,1.0289173247479,78,0,1
"loglik[932]",-4.56813879333333,-4.566295,-4.76445075,-4.390004,1.02101234538763,100,0,1
"loglik[939]",-11.4477479333333,-11.439,-12.3397675,-10.579955,1.02291371558836,92,0,1
"loglik[940]",-6.23819580666667,-6.236445,-6.3264165,-6.15824225,1.02479563964979,84,0,1
"loglik[944]",-10.9172883066667,-10.89915,-11.8777825,-10.013105,1.02062617527611,100,0,1
"loglik[948]",-7.81740366,-7.805875,-8.27218375,-7.415912,1.01884882168547,110,0,1
"loglik[958]",-4.95591561333333,-4.95356,-5.0583645,-4.87012575,1.02422379012488,94,0,1
"loglik[962]",-4.45395358666667,-4.45195,-4.5715185,-4.339843,1.02157045848195,96,0,1
"loglik[963]",-5.40435137333333,-5.3998,-5.45257,-5.3822295,1.02638232655544,110,0,1
"loglik[964]",-7.80291916,-7.78917,-8.2733535,-7.39308875,1.01841802721995,110,0,1
"loglik[966]",-5.38958799333333,-5.386995,-5.4111295,-5.38204,1.04477296261808,82,0,1
"loglik[968]",-4.50000325333333,-4.497765,-4.6554195,-4.35945825,1.02496006924033,88,0,1
"loglik[969]",-4.35408821333333,-4.354115,-4.48971375,-4.22229625,1.0134527440248,150,0,1
"loglik[975]",-7.64913895333333,-7.646235,-7.9506745,-7.355486,1.02424132985656,87,0,1
"loglik[977]",-4.24134864666667,-4.23801,-4.434764,-4.05462,1.00720161467736,290,0,1
"loglik[978]",-4.61410422666667,-4.612485,-4.82526175,-4.4191585,1.01954458884499,110,0,1
"loglik[982]",-6.32873958,-6.32596,-6.45807125,-6.21211825,1.02305892104441,90,0,1
"loglik[983]",-5.91087936,-5.90817,-5.9891945,-5.84940375,1.01781291339586,120,0,1
"loglik[986]",-6.37799596,-6.375565,-6.5020725,-6.26805425,1.01969589308427,100,0,1
"loglik[990]",-4.50333584666667,-4.500605,-4.62393425,-4.39285425,1.02795069916938,79,0,1
"loglik[1001]",-4.47865006666667,-4.47648,-4.6227735,-4.3522805,1.02717071760018,82,0,1
"loglik[1003]",-4.42148108666667,-4.42145,-4.55922,-4.2866895,1.01290689797836,160,0,1
"loglik[1009]",-4.45373744,-4.451405,-4.584152,-4.3387915,1.02872167962647,78,0,1
"loglik[1010]",-4.92197888666667,-4.919685,-4.99637375,-4.862261,1.03020333876723,77,0,1
"loglik[1018]",-4.32019935333333,-4.32075,-4.8073245,-3.87667475,1.04734586409359,66,0,1
"loglik[1019]",-10.4055152333333,-10.2484,-13.155155,-8.40193725,1.02413432265791,87,0,1
"loglik[1024]",-4.74030756,-4.737425,-4.79391325,-4.7034365,1.00457313576331,720,0,1
"loglik[1025]",-4.03684478666667,-4.035555,-4.1752885,-3.90418775,1.00269539209573,740,0,1
"loglik[1026]",-4.05553686,-4.05425,-4.1939785,-3.922883,1.00269556757667,740,0,1
"loglik[1027]",-3.98272126666667,-3.98048,-4.181498,-3.7948265,1.00262748592024,1000,0,1
"loglik[1029]",-4.07374074666667,-4.072795,-4.20281775,-3.951084,1.00310066919005,650,0,1
"loglik[1033]",-4.05553686,-4.05425,-4.1939785,-3.922883,1.00269556757667,740,0,1
"loglik[1039]",-4.80526950666667,-4.802905,-4.87563875,-4.747507,1.00594818920357,420,0,1
"loglik[1040]",-5.40384877333333,-5.400135,-5.445439,-5.3827095,1.00492709328857,580,0,1
