"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1",-4.73206,0.326559,0.387659,0.427765,-1.07786,7.40324,94.2304,0.268283
"2",-4.99172,0.300304,0.458969,0.396851,-0.70976,7.64689,431.659,0.267993
"3",-4.62027,0.00669069,0.316672,0.534208,-0.994301,7.08441,182.924,0.264484
"4",-4.93232,0.38775,0.276684,0.385147,-0.776452,7.17026,164.708,0.260288
"5",-4.94674,0.242775,0.287939,0.456596,-0.740065,7.29373,244.833,0.279199
"6",-5.05297,0.283627,0.227733,0.429017,-0.663179,7.4215,250.884,0.254433
"7",-5.21501,0.276453,0.30803,0.421124,-0.595896,7.71346,75.6431,0.265077
"8",-4.93684,0.0628488,0.294547,0.464976,-0.864993,7.52815,204.487,0.2516
"9",-5.14048,0.247101,0.375857,0.400723,-0.648182,7.2079,252.971,0.272669
"10",-4.83671,0.248745,0.407817,0.327477,-1.09642,7.3552,395.925,0.263622
"11",-4.9151,0.175027,0.311213,0.402392,-0.859157,7.86804,184.547,0.268449
"12",-4.61804,0.215179,0.460709,0.394751,-1.1548,7.52133,1399.14,0.248282
"13",-4.704,0.285012,0.37584,0.481691,-0.998169,7.3681,173.476,0.267113
"14",-4.85357,0.230856,0.395199,0.338865,-0.83603,7.23667,491.045,0.282889
"15",-4.92421,0.294247,0.327889,0.397682,-0.918024,7.28692,213.792,0.269555
"16",-4.94213,0.188602,0.344401,0.462382,-0.806059,7.93368,179.188,0.25644
"17",-4.78533,0.200505,0.209207,0.310974,-1.02911,7.48435,143.797,0.277474
"18",-5.01118,0.225043,0.421979,0.370444,-0.832304,7.62493,293.872,0.253838
"19",-4.79407,0.305743,0.282414,0.342308,-0.854329,7.48429,4112.62,0.274893
"20",-5.18218,0.262954,0.246389,0.383754,-0.537302,7.6268,240.096,0.26143
"21",-5.04124,0.392475,0.216191,0.486991,-0.749822,7.43934,48.724,0.262225
"22",-4.71954,0.125524,0.311167,0.384522,-1.07718,7.47261,84.9656,0.260329
"23",-4.77697,0.221103,0.372688,0.383233,-0.974248,7.59265,251.288,0.266722
"24",-4.68855,0.193933,0.350484,0.373564,-1.18138,7.17388,80.7857,0.279247
"25",-5.04076,0.223789,0.420288,0.530175,-0.757463,7.54502,164.043,0.268837
"26",-5.00913,0.295048,0.376149,0.431191,-0.687808,7.8848,845.43,0.241625
"27",-5.02024,0.153336,0.267581,0.516445,-0.69044,7.46101,676.625,0.258974
"28",-4.8362,0.297961,0.253908,0.390857,-1.03538,7.45292,549.662,0.272978
"29",-4.82307,0.364889,0.300323,0.422442,-1.1729,7.25788,136.732,0.252369
"30",-4.84116,0.348951,0.408089,0.367413,-1.17034,7.56427,231.114,0.273636
"31",-4.9619,0.214236,0.408856,0.4007,-0.859642,7.69562,465.108,0.268332
"32",-4.73461,-0.0149538,0.386809,0.458108,-1.14482,7.52782,153.795,0.244307
"33",-5.04413,0.39234,0.347632,0.463077,-0.748279,7.62647,293.146,0.284372
"34",-5.00661,0.099947,0.254001,0.403306,-0.84131,7.97756,86.1582,0.265237
"35",-4.94437,0.25994,0.328868,0.441697,-0.934658,7.65498,145.589,0.267647
"36",-4.76457,0.284206,0.228502,0.44423,-1.04007,7.37961,821.592,0.267981
"37",-4.58024,0.275735,0.375983,0.300273,-1.35765,7.93006,77.3628,0.291935
"38",-4.9109,0.152212,0.337816,0.522907,-0.850956,8.06472,159.804,0.253294
"39",-4.82421,0.272337,0.355817,0.338707,-1.17242,7.34644,145.441,0.26742
"40",-4.84583,0.227788,0.273548,0.500937,-0.739528,7.86813,148.297,0.278464
"41",-4.87779,0.0860475,0.341918,0.446213,-0.913678,7.33343,148.026,0.266572
"42",-4.70891,0.14369,0.286408,0.472408,-1.08442,7.4063,497.127,0.264296
"43",-4.69275,0.119524,0.290287,0.42482,-0.951744,7.1159,2867.65,0.266455
"44",-4.91018,0.143329,0.276765,0.375812,-0.768894,7.62719,216.135,0.268504
"45",-5.05998,0.17865,0.356894,0.377709,-0.9315,7.50185,879.92,0.282655
"46",-5.0723,0.308289,0.326911,0.315058,-0.807018,7.09592,190.171,0.254592
"47",-4.87597,0.233134,0.282384,0.468856,-0.952349,7.09575,124.371,0.257626
"48",-4.88979,0.252591,0.215738,0.315509,-1.00141,7.84373,1328.28,0.260757
"49",-4.52858,0.233773,0.332115,0.273686,-1.34106,7.46662,73.0028,0.243825
"50",-4.89973,0.223285,0.347288,0.422897,-0.873827,7.78577,122.339,0.27759
"51",-4.88124,0.0957703,0.35788,0.412821,-0.799141,7.18871,78.6215,0.2562
"52",-4.91768,0.0371325,0.379918,0.330984,-0.822706,7.19267,90.6388,0.259634
"53",-4.80883,0.247136,0.37804,0.435382,-0.923859,7.35582,149.386,0.256872
"54",-4.49497,0.169806,0.2898,0.48579,-1.31244,7.94511,201.214,0.269881
"55",-4.87489,0.240445,0.522139,0.374412,-1.02835,7.16912,192.576,0.263432
"56",-4.74016,0.0872652,0.259446,0.449094,-0.996101,7.39571,1454.25,0.258376
"57",-4.98656,0.177411,0.315159,0.393545,-0.743066,7.48182,252.226,0.270694
"58",-4.72692,0.084937,0.333428,0.375309,-1.10666,7.07133,305.721,0.24745
"59",-5.04528,0.28055,0.392261,0.410478,-0.726919,7.23872,681.489,0.269048
"60",-4.42327,-0.0288926,0.273726,0.425615,-1.28931,7.46637,217.06,0.243673
"61",-5.05913,0.163293,0.193724,0.323872,-0.690407,7.1206,604.998,0.258495
"62",-4.867,0.231606,0.358911,0.389991,-0.921907,7.16279,258.327,0.255823
"63",-5.09809,0.324362,0.33112,0.400383,-0.694115,7.59618,80.3604,0.266633
"64",-5.05398,0.37578,0.269231,0.462902,-0.762835,7.51959,867.352,0.254597
"65",-5.07648,0.300218,0.375775,0.349344,-0.631977,7.31336,83.272,0.260987
"66",-4.8268,0.133995,0.413481,0.322561,-0.837915,7.12797,1099.73,0.255361
"67",-4.92787,0.261186,0.313678,0.402407,-0.929288,7.28676,255.1,0.268804
"68",-4.9171,0.194295,0.390038,0.422055,-0.844831,7.62046,192.51,0.277659
"69",-4.9302,0.221833,0.381236,0.382418,-0.910943,7.12124,1043.91,0.274081
"70",-4.90988,0.25274,0.24782,0.432434,-0.903959,7.94527,212.024,0.251339
"71",-4.88035,0.110659,0.47298,0.332692,-0.916646,7.35493,134.829,0.262793
"72",-4.70459,0.0018051,0.27394,0.319359,-1.13296,7.51697,1785.72,0.265159
"73",-4.72353,0.346964,0.398483,0.401566,-1.15197,7.48862,237.697,0.267463
"74",-4.83851,0.228681,0.283144,0.517858,-1.0151,7.37162,132.819,0.262955
"75",-5.26948,0.371217,0.41631,0.302361,-0.522381,7.46187,1462.08,0.274516
"76",-4.95138,0.202549,0.283836,0.415671,-0.957769,7.16488,384.816,0.283778
"77",-4.89707,0.282658,0.355607,0.475267,-0.886662,7.54677,1810.26,0.271584
"78",-4.68084,0.134952,0.275962,0.425392,-1.05088,7.34215,150.88,0.268884
"79",-4.93766,0.177268,0.471583,0.358716,-0.864017,7.36971,328.041,0.276678
"80",-4.88713,0.148183,0.234014,0.437943,-0.938505,7.06673,1170.9,0.256962
"81",-4.75453,0.278275,0.402601,0.341023,-1.19287,7.20994,102.306,0.276897
"82",-4.48726,0.283922,0.497747,0.372739,-1.31785,7.92803,199.626,0.256565
"83",-5.16468,0.219592,0.323541,0.409557,-0.487946,7.63942,426.896,0.281223
"84",-4.97151,0.0494505,0.267694,0.403709,-0.838942,7.17101,111.092,0.274205
"85",-5.05467,0.37801,0.305441,0.340673,-0.862201,7.21732,603.436,0.241433
"86",-4.8255,0.3503,0.402829,0.405085,-1.04922,7.76241,138.758,0.272652
"87",-4.79079,0.274113,0.245806,0.373069,-1.1019,7.08504,321.45,0.259408
"88",-4.83983,0.0818932,0.252922,0.343952,-1.02357,7.40002,188.088,0.25624
"89",-4.73571,0.0888463,0.164474,0.510784,-1.05119,7.54108,421.499,0.263051
"90",-4.87887,0.010024,0.494694,0.425802,-0.972262,7.2808,901.117,0.267401
"91",-4.8434,0.107268,0.35287,0.373728,-0.883925,7.27516,1174.68,0.258767
"92",-4.69018,0.148852,0.129986,0.411626,-1.15065,7.49543,288.802,0.269541
"93",-4.78616,0.282222,0.321044,0.352485,-0.932433,7.34856,129.267,0.296835
"94",-5.0321,0.277722,0.342288,0.264251,-0.835309,7.39644,139.738,0.2744
"95",-5.09423,0.216958,0.209837,0.511899,-0.591959,7.25738,209.206,0.258489
"96",-4.92656,0.0378126,0.28521,0.421998,-0.76352,7.43983,52.8999,0.269203
"97",-4.83715,0.154073,0.328077,0.370645,-1.07895,7.1972,81.4307,0.2504
"98",-4.86059,0.104341,0.397001,0.354046,-0.925372,7.7494,283.794,0.259581
"99",-5.25298,0.378942,0.357375,0.383966,-0.60081,7.53782,183.552,0.258048
"100",-4.71872,-0.00467801,0.503478,0.416395,-1.08118,7.39008,1838.81,0.250286
"101",-4.82761,0.115985,0.347289,0.432109,-0.784381,7.18703,144.139,0.273961
"102",-5.16413,0.197707,0.278186,0.375727,-0.63106,7.75929,122.04,0.248443
"103",-4.60698,0.118501,0.406951,0.365699,-1.23173,7.81276,167.959,0.265581
"104",-4.70552,-0.0364653,0.351872,0.402618,-0.88645,7.93331,141.171,0.249597
"105",-4.7894,0.37084,0.362162,0.390686,-1.05206,7.64406,94.067,0.268603
"106",-4.90551,0.180929,0.418891,0.327586,-0.911631,7.65381,149.742,0.247518
"107",-4.8524,0.184473,0.385236,0.397071,-1.02587,7.5392,168.389,0.284919
"108",-5.06147,0.256474,0.313934,0.485015,-0.643074,7.54541,276.161,0.261435
"109",-4.94095,0.52465,0.188015,0.523389,-0.917614,7.61745,433.612,0.271221
"110",-5.008,0.167841,0.344645,0.410311,-0.937824,7.37452,86.577,0.258926
"111",-4.84181,0.230754,0.382018,0.288545,-0.915719,7.62518,102.204,0.261561
"112",-4.88758,0.364688,0.332374,0.46862,-0.928151,7.72988,479.071,0.276432
"113",-4.87216,0.269451,0.385989,0.395001,-0.967083,7.59469,313.913,0.268453
"114",-4.76072,0.233952,0.349806,0.462462,-1.17646,7.45579,3761.38,0.268352
"115",-4.84639,0.256415,0.438064,0.404739,-0.74483,7.29897,81.75,0.269061
"116",-5.21207,0.304949,0.317021,0.427169,-0.743536,7.39695,132.473,0.268092
"117",-4.77285,0.229504,0.344249,0.556859,-0.811561,7.40518,82.623,0.27313
"118",-5.20836,0.279992,0.329755,0.454837,-0.654475,7.45507,254.787,0.262889
"119",-4.97501,0.281968,0.201282,0.407474,-0.800416,7.82404,74.1277,0.261597
"120",-4.6185,0.115659,0.327049,0.422298,-1.10019,7.10794,131.832,0.256926
"121",-5.09659,0.286039,0.188907,0.409906,-0.627596,7.60245,123.978,0.269205
"122",-4.93536,0.213041,0.321229,0.388148,-0.887032,7.63188,138.027,0.257302
"123",-5.06659,0.335004,0.270226,0.545821,-0.710318,7.34258,49.0468,0.264414
"124",-4.88605,0.458601,0.44362,0.4073,-1.02398,7.40707,187.96,0.255865
"125",-4.95062,0.418749,0.191527,0.436126,-0.729969,7.07505,228.672,0.270109
"126",-4.85572,0.119288,0.297899,0.367863,-0.932384,7.73184,97.9006,0.251196
"127",-4.70786,0.170366,0.359995,0.623762,-0.952786,7.62261,146.655,0.272299
"128",-5.11682,0.171298,0.31143,0.454613,-0.657241,7.53953,232.202,0.255845
"129",-4.87974,0.1266,0.265843,0.432333,-0.987497,7.51538,324.268,0.273066
"130",-5.17258,0.323787,0.26621,0.497233,-0.652248,7.74713,194.516,0.257987
"131",-5.12401,0.178796,0.316028,0.385109,-0.618664,7.55593,50.9653,0.293783
"132",-5.13249,0.223102,0.331732,0.491368,-0.756083,7.60459,94.7857,0.266771
"133",-4.9062,0.197337,0.394426,0.46543,-0.878319,7.43182,152.297,0.277764
"134",-4.91043,0.0792761,0.324974,0.384267,-0.96713,7.3651,165.306,0.245072
"135",-4.98331,0.0913942,0.293099,0.522603,-0.701956,7.38218,337.706,0.27341
"136",-4.54863,0.260003,0.341875,0.43854,-1.30211,7.52224,455.129,0.262302
"137",-4.80151,0.00986987,0.264901,0.436517,-0.83943,7.37373,123.773,0.268387
"138",-4.42854,0.429945,0.308113,0.254596,-1.44153,7.29501,103.078,0.275832
"139",-4.75402,0.247457,0.225632,0.476726,-1.03574,7.73642,902.326,0.272936
"140",-5.16836,0.339752,0.293956,0.521994,-0.538523,7.89627,526.55,0.283285
"141",-5.05343,0.429412,0.270858,0.443909,-0.588475,7.28617,286.399,0.264399
"142",-4.52101,0.149719,0.172942,0.43959,-1.19886,6.99831,119.899,0.290935
"143",-4.92354,0.232944,0.328783,0.511106,-0.851092,7.34981,173.327,0.257337
"144",-5.2372,0.376659,0.248722,0.44129,-0.616606,7.95832,469.541,0.27491
"145",-4.78512,-0.00374426,0.244803,0.455018,-0.823159,7.1896,308.863,0.276139
"146",-4.98957,0.254023,0.301435,0.422385,-0.918441,7.17522,129.633,0.25912
"147",-4.86001,0.149376,0.312844,0.423199,-0.852507,7.58841,438.326,0.248808
"148",-4.71359,0.254224,0.417121,0.43832,-1.07802,7.50267,691.388,0.27527
"149",-4.80516,0.100638,0.302491,0.399547,-0.995071,7.39871,92.6265,0.266046
"150",-4.68325,0.106787,0.394014,0.454246,-1.24329,7.14779,332.368,0.269127
"151",-4.83008,0.071042,0.361202,0.471959,-0.911406,7.0954,240.558,0.248239
"152",-4.6912,0.0934467,0.331704,0.400916,-1.09187,7.34085,338.696,0.268598
"153",-4.60886,-0.0467164,0.252244,0.454719,-1.16551,7.05478,247.274,0.269043
"154",-4.48151,0.168104,0.353087,0.414898,-1.21501,7.03519,382.581,0.272772
"155",-4.76107,0.0831758,0.449155,0.339195,-1.05845,7.23252,156.777,0.267024
"156",-4.86025,0.29392,0.264996,0.380063,-1.05912,7.68617,107.62,0.258281
"157",-5.0178,0.328686,0.227514,0.387314,-0.768275,7.18225,557.944,0.260538
"158",-5.02162,0.206163,0.352183,0.452749,-0.74518,7.11813,595.744,0.261601
"159",-4.85866,0.167079,0.468013,0.374753,-0.9941,7.6991,91.0994,0.272388
"160",-4.71158,0.281585,0.221364,0.363005,-1.22343,7.12328,462.983,0.269879
"161",-4.84106,0.173413,0.261458,0.423294,-0.833686,7.39824,192.112,0.270927
"162",-4.83412,0.331343,0.327605,0.331164,-1.14062,7.59565,150.941,0.271471
"163",-5.11259,0.265597,0.405114,0.484683,-0.680651,7.16964,104.769,0.273961
"164",-4.76355,0.0562218,0.426711,0.343866,-0.991249,7.49618,209.328,0.260351
"165",-5.14481,0.374859,0.35363,0.371296,-0.61648,7.55217,419.457,0.277092
"166",-4.95525,0.34731,0.3472,0.489551,-0.755567,7.69096,133.369,0.280528
"167",-4.63773,-0.0097256,0.358004,0.405372,-1.14332,7.67869,154.727,0.254692
"168",-5.13054,0.0981465,0.30167,0.456038,-0.562373,7.78689,569.375,0.28644
"169",-4.60111,0.143073,0.241471,0.39815,-1.26128,7.41203,62.1614,0.249072
"170",-4.68341,0.0378427,0.289514,0.547716,-0.972344,7.43449,71.2407,0.263765
"171",-4.83388,0.265471,0.275185,0.339817,-0.904844,7.77082,207.121,0.269146
"172",-5.00369,0.231804,0.29346,0.372797,-0.625348,7.61377,93.8173,0.250487
"173",-4.81847,0.350644,0.170873,0.496295,-0.993871,7.48549,295.937,0.255341
"174",-4.95156,0.294282,0.255373,0.442938,-0.912781,7.58625,191.38,0.255892
"175",-4.94007,0.214766,0.221136,0.490106,-0.783731,7.44894,137.556,0.262624
"176",-5.02977,0.332082,0.326095,0.567799,-0.742168,7.86108,451.52,0.25858
"177",-4.93262,0.251424,0.226457,0.398106,-0.931743,7.78677,20311.9,0.266006
"178",-4.54444,0.267898,0.376893,0.41049,-1.19856,7.62147,473.548,0.250036
"179",-5.12082,0.189324,0.301888,0.348007,-0.739422,7.35127,11957,0.273058
"180",-4.90209,0.0872292,0.275818,0.374452,-0.828832,7.52141,335.801,0.281099
"181",-5.02442,0.127851,0.327037,0.422069,-0.7695,7.77972,1327.75,0.25902
"182",-4.89817,0.303953,0.371523,0.336524,-0.982236,7.39141,138.928,0.263821
"183",-4.86608,0.337121,0.380879,0.36119,-0.977119,7.80029,115.336,0.266831
"184",-4.67736,0.372203,0.337019,0.402052,-1.15312,7.24015,416.353,0.269236
"185",-4.97272,0.204507,0.309675,0.385775,-0.85835,7.55225,168.774,0.253887
"186",-4.87661,0.3283,0.316617,0.404047,-0.870405,7.51839,147.643,0.270676
"187",-4.74568,0.166771,0.507456,0.289991,-1.09595,6.97052,49.6306,0.258734
"188",-5.20496,0.293476,0.230264,0.447108,-0.569543,7.34099,632.503,0.266675
"189",-4.82001,0.166144,0.446234,0.417515,-1.10262,7.91029,140.159,0.29535
"190",-4.8722,0.238779,0.354479,0.424092,-0.900418,7.33085,177.935,0.274798
"191",-5.04215,0.349564,0.313021,0.321166,-0.911016,7.59833,276.203,0.261462
"192",-4.8567,0.227589,0.220929,0.386096,-0.873347,7.31971,627.163,0.281841
"193",-5.16793,0.367284,0.352695,0.344585,-0.72291,7.76199,789.807,0.265257
"194",-5.17184,0.296377,0.291471,0.386508,-0.61363,7.22334,1950.61,0.267649
"195",-4.73665,0.115109,0.420234,0.40099,-1.08863,7.50917,215.795,0.273941
"196",-5.11699,0.155085,0.378376,0.395138,-0.710235,7.54055,122.62,0.274103
"197",-4.84857,0.0981335,0.292262,0.418841,-0.872528,7.59061,419.131,0.276371
"198",-5.03763,0.333625,0.305562,0.424327,-0.733812,7.35782,232.984,0.270715
"199",-4.65242,0.251605,0.362487,0.494775,-1.09286,7.56603,226.126,0.259859
"200",-4.36863,-0.0663791,0.257175,0.376165,-1.459,7.4704,130.139,0.266423
"201",-4.93825,0.143903,0.324017,0.420821,-0.862001,7.66029,1469.68,0.263151
"202",-5.08381,0.320155,0.474738,0.341458,-0.809866,7.49153,114.423,0.272805
"203",-4.9596,0.250571,0.273763,0.419093,-0.833992,7.73901,152.574,0.273002
"204",-4.99313,0.212175,0.358579,0.467916,-0.748722,7.80047,119.332,0.267646
"205",-4.56564,0.00453034,0.210093,0.40855,-1.16902,7.40443,303.694,0.273072
"206",-5.078,0.195364,0.378277,0.344718,-0.728281,7.55631,243.148,0.258171
"207",-5.01614,0.257569,0.353841,0.384565,-0.861848,7.71993,235.127,0.271915
"208",-4.92277,0.0538229,0.316714,0.408774,-0.748992,7.58363,167.23,0.257434
"209",-4.81043,0.0656225,0.397615,0.361383,-1.04225,7.77228,83.341,0.272517
"210",-5.03289,0.287934,0.365967,0.41001,-0.811395,7.70001,257.181,0.275694
"211",-4.92999,0.12449,0.528242,0.328207,-0.837325,7.59993,1583.43,0.281628
"212",-4.89739,0.250416,0.34117,0.391384,-0.985387,7.64316,86.4837,0.256605
"213",-4.65206,0.127712,0.303042,0.414041,-1.09357,7.70357,401.039,0.246738
"214",-4.87381,0.081602,0.271984,0.369511,-0.862423,7.52297,1333.32,0.260149
"215",-4.95859,0.402442,0.167769,0.429661,-0.933255,7.77283,197.383,0.262866
"216",-4.9574,0.176163,0.429897,0.371191,-0.92189,7.41997,133.631,0.24753
"217",-4.98078,0.151531,0.33614,0.497931,-0.811271,7.75209,440.993,0.251098
"218",-4.92333,0.313114,0.32878,0.335648,-0.912108,7.29335,880.303,0.245326
"219",-4.94717,0.206714,0.371038,0.417802,-0.879497,7.10851,438.253,0.272365
"220",-5.00374,0.17447,0.278158,0.425485,-0.699374,7.68954,109.836,0.269374
"221",-4.76708,0.155333,0.372421,0.381579,-0.959004,7.38893,82.0578,0.250921
"222",-4.7711,0.190047,0.434707,0.449812,-1.10323,7.16284,130.717,0.257056
"223",-4.92791,0.200053,0.392164,0.329258,-0.99786,7.11922,1332.87,0.272209
"224",-4.94937,0.267846,0.304912,0.353955,-0.887856,7.23878,305.287,0.252463
"225",-4.83668,0.269467,0.293801,0.392419,-0.829402,7.33534,2261.78,0.276928
"226",-4.89321,0.384437,0.288584,0.369267,-0.952556,7.0064,256.96,0.27905
"227",-4.88875,0.14859,0.22722,0.368097,-0.904277,7.3664,606.291,0.254218
"228",-4.95559,0.173698,0.434968,0.381726,-0.7453,7.53347,1924.64,0.257047
"229",-4.96654,0.297876,0.294817,0.391242,-0.819799,7.32053,119.693,0.25709
"230",-4.94432,0.373435,0.308928,0.389811,-0.923393,7.40617,121.759,0.265709
"231",-4.76542,0.1738,0.328281,0.320113,-1.02847,7.55113,112.734,0.258599
"232",-4.72995,0.332999,0.376422,0.396658,-1.03274,7.69064,433.538,0.259942
"233",-4.59808,0.0366821,0.38831,0.367082,-1.30562,7.3823,997.133,0.264306
"234",-5.19587,0.369905,0.412321,0.412626,-0.542699,7.90308,1488.8,0.261429
"235",-4.95498,0.272239,0.338363,0.345761,-0.867868,7.6985,89.1737,0.276582
"236",-5.04104,0.325922,0.421453,0.434398,-0.793845,7.43388,129.391,0.268874
"237",-4.76914,0.0689348,0.358881,0.402986,-0.951394,7.58426,97.9228,0.268695
"238",-4.76418,0.295152,0.143749,0.389883,-0.978332,7.27824,548.174,0.269224
"239",-4.80763,0.178613,0.242558,0.425127,-0.939714,7.1104,238.063,0.276135
"240",-4.65071,0.266528,0.208726,0.531611,-1.15937,7.35875,325.281,0.281443
"241",-4.52233,0.222211,0.429767,0.404917,-1.19179,7.67612,121.069,0.266882
"242",-4.66572,0.0669719,0.345398,0.352007,-1.04604,7.48212,317.729,0.257088
"243",-4.71128,0.0476248,0.386908,0.349121,-0.982565,7.07949,645.642,0.273166
"244",-5.05472,0.47353,0.443087,0.35113,-0.851325,7.25343,92.9142,0.266277
"245",-4.88899,0.325468,0.412261,0.408624,-0.953976,8.01118,258.928,0.256254
"246",-4.80699,0.186533,0.40847,0.394547,-1.06931,7.61354,196.135,0.245672
"247",-5.02474,0.319642,0.296291,0.365003,-0.7728,7.14534,457.219,0.255787
"248",-5.09377,0.484852,0.302237,0.400109,-0.666771,7.77048,2404.17,0.284535
"249",-4.72544,0.119028,0.229776,0.435509,-1.0629,7.56299,222.377,0.272837
"250",-4.95263,0.0855763,0.428116,0.373382,-0.810078,7.67202,163.885,0.270055
"251",-5.05843,0.299669,0.289169,0.427,-0.861102,7.55544,615.172,0.265627
"252",-4.84395,0.236246,0.289497,0.425302,-0.898515,7.5204,232.821,0.265839
"253",-4.92037,0.0196544,0.293309,0.362199,-0.9279,7.10303,198.668,0.275079
"254",-4.60356,0.19809,0.316928,0.283179,-1.24074,7.75834,203.445,0.284022
"255",-4.92793,0.197539,0.360718,0.435589,-0.89258,7.23549,224.57,0.276662
"256",-4.61761,0.223749,0.2832,0.349593,-1.26308,7.27285,125.44,0.265667
"257",-5.03733,0.208648,0.25791,0.427148,-0.632482,7.4932,395.749,0.257898
"258",-5.0302,0.110596,0.404345,0.334443,-0.852105,7.68515,528.489,0.262819
"259",-4.58183,0.0913591,0.448644,0.453527,-1.19747,7.06633,585.945,0.270915
"260",-4.73458,0.23478,0.343769,0.314754,-1.11006,7.54946,173.763,0.267232
"261",-4.79619,0.201544,0.376741,0.353377,-1.02577,7.10935,237.185,0.264178
"262",-4.99921,0.223187,0.326346,0.525232,-0.720397,7.53569,207.999,0.256469
"263",-4.85228,0.346051,0.386377,0.384378,-1.12807,7.44935,105.651,0.252429
"264",-4.64253,0.0942155,0.466162,0.36014,-1.14254,7.28664,132.663,0.265237
"265",-4.67326,0.0626548,0.423302,0.383043,-1.07025,7.7172,255.385,0.276683
"266",-4.74636,0.156836,0.332961,0.363757,-1.18241,7.46054,215.415,0.26072
"267",-4.74369,0.268465,0.23436,0.352633,-0.9193,7.54929,12989.3,0.265928
"268",-5.12808,0.214701,0.28808,0.376226,-0.710659,7.23302,3183.38,0.279318
"269",-4.97946,0.299153,0.454102,0.332662,-0.824828,7.1947,412.054,0.259789
"270",-5.16653,0.165888,0.33171,0.366633,-0.742036,7.79354,82.433,0.269017
"271",-4.86283,0.289987,0.427488,0.439715,-0.895554,7.74148,120.117,0.268641
"272",-4.86676,0.303743,0.295912,0.371843,-1.02007,7.37452,209.017,0.264276
"273",-5.0706,0.160313,0.373938,0.4085,-0.73792,7.41406,93.3502,0.24671
"274",-4.55938,0.104134,0.228453,0.432274,-1.30523,7.39567,133.339,0.257634
"275",-4.8387,0.0813297,0.41015,0.440889,-0.784897,7.79404,273.78,0.268477
"276",-4.68787,0.121215,0.330358,0.400934,-1.03188,8.20222,78.5054,0.241249
"277",-4.9023,0.263014,0.255184,0.318848,-0.907312,7.38758,65.712,0.246871
"278",-4.49776,0.131368,0.432072,0.435947,-1.3179,7.46718,229.908,0.277653
"279",-4.71939,-0.0695444,0.383071,0.286234,-1.16608,7.42318,111.674,0.256229
"280",-5.03696,0.267635,0.270327,0.398972,-0.785684,8.16978,340.611,0.264933
"281",-4.53472,0.0100806,0.341042,0.395719,-1.20402,7.97814,84.7178,0.265375
"282",-4.93037,0.352838,0.281515,0.411908,-0.931509,7.33353,134.178,0.257875
"283",-5.19879,0.414352,0.33455,0.361877,-0.70045,7.12384,170.677,0.255333
"284",-4.95997,0.347728,0.30147,0.330243,-0.718402,7.15549,53.1287,0.266294
"285",-4.67347,0.102253,0.387884,0.368798,-1.21779,7.84822,97.5429,0.268057
"286",-4.77573,0.036472,0.405155,0.470503,-0.969499,7.49779,111.532,0.237683
"287",-4.86403,0.223496,0.36148,0.373657,-0.823921,7.07726,277.268,0.267327
"288",-5.07979,0.306462,0.185191,0.298268,-0.71843,7.32542,93.981,0.253741
"289",-4.70398,0.161576,0.328124,0.471902,-1.04261,7.30446,321.159,0.267228
"290",-4.96564,0.139694,0.212455,0.399981,-0.948668,7.49908,125.028,0.267791
"291",-4.956,0.0851496,0.217708,0.493609,-0.813673,7.37546,126.018,0.26932
"292",-5.15642,0.485081,0.275161,0.298304,-0.584135,7.90966,85.6639,0.242567
"293",-4.72209,0.220629,0.394041,0.368022,-1.12724,7.44621,188.903,0.264708
"294",-5.03334,0.213392,0.260616,0.403674,-0.768301,7.46181,72.9961,0.254244
"295",-4.86438,0.297552,0.252937,0.445353,-0.884968,7.48011,706.094,0.268651
"296",-4.91446,0.192436,0.329051,0.4124,-0.719852,7.27733,58.2409,0.255708
"297",-5.059,0.165142,0.245627,0.406762,-0.675201,7.92771,219.488,0.285448
"298",-4.77623,0.241569,0.369633,0.438992,-1.03564,7.43826,285.942,0.263412
"299",-4.82388,0.489568,0.35994,0.371368,-0.997474,7.10246,309.894,0.269693
"300",-4.85115,0.23954,0.29213,0.322022,-0.902354,7.46937,54.7141,0.257458
"301",-5.20421,0.410883,0.361223,0.464546,-0.604288,7.51336,77.7903,0.259895
"302",-4.79917,0.243486,0.478139,0.513296,-0.962603,7.49014,199.912,0.257537
"303",-4.86819,0.0599682,0.353197,0.410887,-0.83088,7.40202,93.4284,0.259369
"304",-4.88621,0.246983,0.17163,0.431071,-0.8494,7.39285,1022.07,0.261412
"305",-4.96938,0.148135,0.357947,0.502075,-0.776456,7.57117,275.417,0.279739
"306",-5.04998,0.325004,0.366459,0.357604,-0.820556,7.34078,512.838,0.287466
"307",-4.80733,0.226487,0.311552,0.313894,-1.16806,7.58524,231.068,0.262374
"308",-4.6262,-0.0305788,0.384497,0.380055,-1.21808,7.6109,157.457,0.279873
"309",-4.99097,0.289607,0.492711,0.356002,-0.943292,7.35643,150.444,0.262791
"310",-4.87369,0.173047,0.41767,0.404066,-0.956881,7.59593,86.9554,0.273102
"311",-4.88451,0.120116,0.340332,0.4224,-0.9135,7.98135,108.187,0.252735
"312",-5.11602,0.170571,0.272695,0.349614,-0.590286,7.46992,65.4764,0.270656
"313",-5.1051,0.304172,0.315913,0.443582,-0.757916,7.86615,553.964,0.262348
"314",-5.06319,0.242124,0.348618,0.506692,-0.838399,7.43231,2162.5,0.263668
