"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma[1]","sigma[2]","phi"
"1262",-4.86366,0.169663,0.311224,0.422684,-0.921697,7.69393,117.68,0.274144
"1263",-5.05751,0.0774183,0.325411,0.483507,-0.835821,7.68143,77.562,0.262651
"1264",-4.99272,0.164163,0.329752,0.42273,-0.751584,7.56678,196.218,0.271685
"1265",-4.78019,0.226496,0.295834,0.370739,-1.07153,7.35195,599.938,0.258526
"1266",-4.78753,0.152852,0.319396,0.45602,-0.905376,7.18772,173.188,0.260437
"1267",-4.67659,0.00665912,0.309909,0.412288,-0.998791,7.59774,352.554,0.259245
"1268",-4.54371,0.00445508,0.392154,0.396683,-1.35461,7.85925,69.3155,0.276805
"1269",-5.09398,0.145888,0.334521,0.387815,-0.707604,7.70037,146.442,0.249801
"1270",-4.72699,0.14939,0.432839,0.30221,-1.21239,7.44034,258.768,0.285356
"1271",-4.87609,0.166992,0.453581,0.391579,-0.993007,7.71869,12164.8,0.258292
"1272",-4.48123,0.0436827,0.457379,0.339862,-1.34422,7.59165,62.879,0.261241
"1273",-5.14222,0.324482,0.358136,0.318723,-0.792591,7.65949,1614.67,0.261646
"1274",-4.60097,0.0390787,0.365147,0.481512,-1.17889,7.46453,63.5264,0.249952
"1275",-5.22548,0.430912,0.358692,0.453879,-0.625899,7.79217,85.1559,0.244736
"1276",-4.80921,0.236011,0.2954,0.427895,-0.979361,7.59,128.482,0.275158
"1277",-5.10671,0.469085,0.263811,0.419624,-0.632656,7.43504,114.697,0.262085
"1278",-4.78278,0.0680192,0.373698,0.36147,-0.975785,7.77925,91.6925,0.251919
"1279",-4.93121,0.295443,0.246095,0.52877,-0.945548,7.71003,74.4328,0.272182
"1280",-5.21094,0.340891,0.366161,0.431821,-0.629697,7.95834,6042.61,0.248468
"1281",-5.00988,0.214763,0.342339,0.34159,-0.782858,7.58917,809.054,0.264831
"1282",-4.90563,0.120262,0.457952,0.368102,-0.935788,7.62438,484.24,0.267692
"1283",-4.79588,0.0414168,0.116566,0.324183,-1.02196,7.38326,93.5954,0.262252
"1284",-4.83995,0.0489249,0.424661,0.373375,-0.792193,7.22232,50.4069,0.274912
"1285",-4.99032,0.19948,0.396406,0.379508,-0.883288,7.53474,107.717,0.273622
"1286",-4.91929,0.175578,0.380279,0.289802,-0.970476,7.35249,89.4178,0.265876
"1287",-4.8161,0.164115,0.288342,0.425611,-0.968619,7.12748,122.449,0.265744
"1288",-4.83567,0.304995,0.289221,0.361093,-0.886956,7.33489,92.8848,0.264921
"1289",-4.63202,0.0389553,0.390527,0.423442,-1.11265,7.56827,82.7876,0.254235
"1290",-4.85437,0.229838,0.436013,0.385625,-0.914385,7.72262,946.554,0.264502
"1291",-4.90692,0.144014,0.342259,0.424163,-0.920163,7.75177,190.723,0.259932
"1292",-5.01513,0.144908,0.418281,0.396754,-0.776344,7.63956,344.184,0.25498
"1293",-4.97543,0.329394,0.32103,0.338052,-0.955645,7.52184,84.2803,0.244138
"1294",-5.16394,0.398838,0.277395,0.425984,-0.69254,7.61668,1989.34,0.274884
"1295",-5.04185,0.292786,0.345138,0.398941,-0.788623,7.09487,760.021,0.270636
"1296",-5.0239,0.440009,0.150282,0.478632,-0.628282,7.38892,129.729,0.260217
"1297",-4.75254,0.278202,0.433547,0.394226,-1.06569,7.74123,235.044,0.256165
"1298",-4.68037,0.293984,0.436689,0.417646,-1.13872,7.3648,112.03,0.246268
"1299",-4.77727,0.141747,0.240519,0.380445,-1.13917,7.51627,80.3681,0.26483
"1300",-4.96919,0.178012,0.389382,0.338434,-0.869878,7.45858,185.69,0.267171
"1301",-5.17777,0.256293,0.34649,0.39431,-0.748457,7.55554,182.946,0.263168
"1302",-4.71592,0.111326,0.261859,0.434766,-1.03134,7.10551,72.6861,0.256899
"1303",-4.44687,-0.0630971,0.307355,0.402378,-1.11841,6.8989,553.346,0.262431
"1304",-4.97011,0.218656,0.378054,0.382942,-0.877751,7.53367,220.95,0.267015
"1305",-4.65143,0.0934369,0.22146,0.419549,-1.18741,7.32592,212.164,0.254616
"1306",-4.94379,0.331501,0.292308,0.339078,-0.994343,7.11756,421.425,0.24826
"1307",-5.07339,0.240837,0.315703,0.452369,-0.749153,7.66025,284.453,0.264965
"1308",-4.86096,0.255985,0.310543,0.411945,-0.929514,7.20531,42.4459,0.259412
"1309",-4.9199,0.212602,0.368428,0.476662,-0.92622,7.1053,10972.1,0.26295
"1310",-4.86347,0.199189,0.241024,0.374958,-0.977387,7.2081,59.2004,0.256327
"1311",-5.0145,0.234666,0.342199,0.299674,-0.749131,7.40191,69.3201,0.253826
"1312",-4.89179,0.301198,0.242584,0.444975,-0.804521,7.06936,415.513,0.267136
"1313",-5.02154,0.309267,0.202567,0.393415,-0.773764,7.72692,61.0977,0.257667
"1314",-4.85095,0.383293,0.218458,0.503459,-0.871263,7.1995,89.9164,0.259062
"1315",-4.83851,0.246379,0.348905,0.390983,-0.818989,7.85497,171.075,0.252908
"1316",-4.75765,0.304444,0.441898,0.365911,-1.06577,7.54912,1766.62,0.272582
"1317",-5.00311,0.080529,0.387382,0.351261,-0.802958,7.50327,167.344,0.277265
"1318",-5.00157,0.280186,0.262969,0.419318,-0.732964,7.61481,470.612,0.268546
"1319",-4.92053,0.11244,0.334393,0.362945,-0.733338,7.53386,444.454,0.266434
"1320",-4.82519,0.222276,0.252781,0.345451,-1.00015,7.284,125.736,0.280416
"1321",-4.85118,0.00251221,0.182518,0.403585,-0.79625,7.93256,183.885,0.27748
"1322",-5.19675,0.321113,0.44019,0.410525,-0.610934,7.297,1400.79,0.257316
"1323",-4.90526,0.264057,0.295602,0.387579,-1.02429,7.7377,557.077,0.266897
"1324",-5.05425,-0.0569151,0.223681,0.46967,-0.76673,7.26933,89.5767,0.256294
"1325",-4.725,-0.0251147,0.196565,0.394301,-1.04582,7.57188,215.242,0.263185
"1326",-4.65806,0.204796,0.412858,0.43294,-1.10089,7.3532,721.803,0.288925
"1327",-4.97399,0.210744,0.166588,0.467839,-0.776179,7.22994,183.966,0.26624
"1328",-5.02488,0.221104,0.225096,0.375612,-0.676319,7.67404,167.421,0.263704
"1329",-4.80469,0.183637,0.303943,0.39957,-1.02546,8.03417,209.021,0.265534
