"","b[1]","b[2]","b[3]","b[4]","b[5]","b[6]","sigma","phi","bpvalue"
"115",3.81148,0.344507,0.383761,-0.101709,0.165868,-0.532457,0.129402,0.272668,0
"116",3.99529,0.167754,0.355932,-0.129029,0.232214,-0.722045,0.120919,0.262487,0
"117",3.8564,0.300536,0.361633,-0.12724,0.224607,-0.592905,0.125601,0.246009,1
"118",3.84755,0.294112,0.383134,-0.107137,0.199503,-0.712281,0.135656,0.258967,1
"119",3.99297,0.283183,0.393953,-0.0813427,0.214022,-0.798361,0.122692,0.276649,1
"120",3.68682,0.520012,0.362056,0.0578893,0.243034,-0.60074,0.122847,0.277487,1
"121",3.7054,0.4348,0.341111,-0.13019,0.287831,-0.516086,0.132913,0.258461,0
"122",3.78432,0.348773,0.381624,-0.100794,0.257401,-0.607587,0.128046,0.26015,1
"123",3.84477,0.433191,0.340242,-0.033969,0.239879,-0.690739,0.127111,0.260298,1
"124",3.97274,0.24222,0.379518,0.0203517,0.227374,-0.762509,0.127919,0.26729,1
"125",3.7644,0.422413,0.381803,-0.126007,0.261968,-0.527624,0.119436,0.25651,0
"126",3.75825,0.441052,0.323227,0.0738815,0.290273,-0.50704,0.129653,0.271884,0
"127",3.70858,0.389694,0.377299,-0.0659576,0.244288,-0.566848,0.129835,0.251592,0
"128",3.70406,0.461347,0.325516,-0.114439,0.290723,-0.481291,0.131561,0.264511,0
"129",3.93509,0.281331,0.286344,0.014448,0.227534,-0.685275,0.125467,0.267777,0
"130",3.73771,0.259745,0.345563,-0.0623968,0.276989,-0.508543,0.127084,0.256076,1
"131",3.8543,0.359948,0.389611,0.0447766,0.265261,-0.641461,0.127249,0.2828,0
"132",3.89327,0.251506,0.395585,-0.0416156,0.201589,-0.679378,0.123257,0.277972,1
"133",3.84418,0.213595,0.473802,-0.21165,0.20815,-0.663378,0.123943,0.271352,1
"134",3.78045,0.41438,0.333058,-0.13496,0.235446,-0.579189,0.124241,0.262732,1
"135",3.817,0.408305,0.395978,0.0160374,0.183167,-0.639672,0.128331,0.262529,0
"136",3.94226,0.270457,0.362129,-0.117985,0.250758,-0.804279,0.128269,0.249528,0
"137",3.87761,0.215402,0.366635,-0.0293,0.245132,-0.741506,0.13487,0.263178,0
"138",3.90287,0.291629,0.410141,-0.155004,0.271519,-0.741247,0.123479,0.27408,1
"139",3.96511,0.131089,0.419706,-0.199002,0.253326,-0.665935,0.131548,0.269565,0
"140",3.72431,0.300454,0.396464,-0.242447,0.203046,-0.532678,0.129121,0.264063,0
