"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","m.phi","var.phi"
"111",3.91772,0.128848,0.311725,0.272307,-0.652136,7.46101,0.26557,0.0437819
"112",3.87849,0.421259,0.285171,0.210436,-0.619261,7.46664,0.280931,0.0468572
"113",4.00077,0.210681,0.349782,0.172476,-0.701451,7.9572,0.268397,0.0229713
"114",3.86847,0.218156,0.375741,0.270548,-0.602497,7.6327,0.267763,0.0161687
"115",3.79905,0.564498,0.351016,0.208283,-0.633797,7.18726,0.27652,0.0657385
"116",3.88724,0.207399,0.350994,0.249655,-0.670452,7.10567,0.264876,0.049121
"117",3.816,0.394987,0.384651,0.246343,-0.668755,7.88434,0.26107,0.0222331
"118",3.73269,0.365306,0.272205,0.218169,-0.553981,7.34579,0.276646,0.0174116
"119",3.80734,0.402768,0.350565,0.172413,-0.658361,7.09162,0.262188,0.0591569
"120",3.78566,0.320217,0.36897,0.238311,-0.587691,7.72487,0.26982,0.0951728
"121",3.90397,0.280074,0.312004,0.234708,-0.678386,7.57477,0.256902,0.0146723
"122",3.9241,0.271908,0.336389,0.308962,-0.7174,7.89033,0.261774,0.0171713
"123",3.76649,0.329236,0.309357,0.298232,-0.56167,8.13557,0.261983,0.0186211
"124",3.90113,0.185432,0.285556,0.166051,-0.611058,7.83204,0.249452,0.0285027
"125",3.85368,0.255239,0.325609,0.262094,-0.684866,7.53563,0.275114,0.0279951
"126",4.00679,0.238472,0.336007,0.264608,-0.727227,7.45371,0.275972,0.0902989
"127",3.93807,0.268779,0.371928,0.24534,-0.701827,7.23427,0.284268,0.057478
"128",3.80178,0.389451,0.326963,0.209168,-0.671761,7.46601,0.273702,0.0178606
"129",3.78895,0.4819,0.309472,0.253973,-0.625428,7.32972,0.261606,0.0139933
"130",3.78893,0.27273,0.371903,0.239528,-0.615643,7.68081,0.270342,0.0183148
"131",4.00094,0.168596,0.408859,0.178648,-0.807207,7.09303,0.258326,0.0344003
"132",3.99113,0.199116,0.322422,0.283264,-0.752554,7.74736,0.257232,0.0255862
"133",3.75416,0.443916,0.438066,0.219171,-0.593967,7.3645,0.268909,0.0923664
"134",3.76184,0.283194,0.293444,0.208237,-0.544554,7.46946,0.246566,0.0143482
"135",3.81745,0.322493,0.326694,0.265457,-0.607322,7.59625,0.26347,0.015457
"136",3.75914,0.378267,0.317867,0.266592,-0.543476,7.14985,0.277023,0.0206238
"137",3.83942,0.418765,0.370146,0.21318,-0.66186,7.70392,0.271539,0.0407372
"138",3.73911,0.297502,0.352933,0.249855,-0.550354,7.53185,0.282516,0.0158286
"139",3.93486,0.293714,0.339557,0.197729,-0.740907,7.73245,0.265866,0.0257721
"140",3.78175,0.316594,0.357974,0.23873,-0.612927,7.67164,0.260156,0.0199782
"141",3.8578,0.396545,0.384496,0.200867,-0.70987,7.55095,0.27886,0.0359599
"142",3.96264,0.222169,0.36186,0.199083,-0.744745,7.68642,0.251346,0.0396751
"143",3.82289,0.351738,0.313136,0.254103,-0.566226,7.59292,0.260548,0.0152128
"144",3.864,0.286033,0.373324,0.210769,-0.665186,7.39962,0.263233,0.0187554
"145",3.9479,0.214149,0.294894,0.245956,-0.729917,7.71328,0.279876,0.0211534
"146",3.82138,0.22901,0.299616,0.220551,-0.616027,7.3983,0.265322,0.050437
"147",3.94565,0.3736,0.265024,0.24354,-0.760024,7.9914,0.263538,0.0182492
"148",3.84095,0.360953,0.287424,0.228174,-0.641432,7.40537,0.266531,0.0422672
"149",3.85499,0.240071,0.385918,0.205878,-0.652004,7.58584,0.262224,0.0150248
"150",3.84322,0.241201,0.350058,0.188864,-0.688464,7.35131,0.252329,0.0146104
"151",3.87828,0.376227,0.328848,0.211961,-0.709075,7.76761,0.297455,0.114854
"152",3.95133,0.389585,0.318663,0.218983,-0.783198,7.44453,0.260051,0.0535976
"153",3.91031,0.326917,0.324189,0.273614,-0.730805,7.33977,0.260998,0.0198789
"154",3.79699,0.350329,0.328752,0.16394,-0.540194,7.5483,0.258117,0.0285157
"155",3.90148,0.248813,0.348162,0.246087,-0.76011,7.60978,0.254041,0.0190147
"156",3.82592,0.272308,0.330121,0.234671,-0.628992,7.57012,0.263377,0.0193524
"157",3.74917,0.321898,0.36515,0.22296,-0.540078,7.54022,0.249077,0.0148748
"158",3.91332,0.274279,0.309499,0.208998,-0.723649,7.89441,0.270515,0.0185634
"159",3.94863,0.251148,0.339199,0.201522,-0.773656,7.78401,0.261815,0.0183208
"160",3.84868,0.397739,0.376382,0.256916,-0.57913,7.40952,0.270404,0.0390593
"161",3.8421,0.33025,0.364203,0.255684,-0.679196,7.3887,0.273859,0.0901217
"162",3.78579,0.372952,0.252337,0.205956,-0.540071,7.82592,0.257173,0.0154202
"163",3.89286,0.448162,0.367781,0.263415,-0.752603,7.70476,0.271775,0.0168014
"164",3.83081,0.316063,0.375881,0.257579,-0.565909,7.49149,0.268584,0.019959
"165",3.90457,0.294402,0.318054,0.235271,-0.747021,7.51336,0.242886,0.0505137
"166",3.87229,0.23491,0.307092,0.269795,-0.689023,7.65307,0.271819,0.0443059
"167",3.81368,0.443271,0.352945,0.263937,-0.536511,7.36827,0.257401,0.0153731
"168",3.8667,0.349261,0.34754,0.223602,-0.660845,7.47492,0.279904,0.0184056
"169",3.80683,0.354648,0.33399,0.251309,-0.584453,7.11332,0.278413,0.019011
"170",3.84874,0.373427,0.330864,0.288323,-0.665792,7.08313,0.263667,0.0163827
"171",3.93897,0.227614,0.318144,0.261704,-0.744868,7.41542,0.274242,0.0150586
"172",3.7011,0.299024,0.336964,0.213237,-0.516554,7.51714,0.25051,0.0145778
"173",3.77898,0.43848,0.347395,0.280786,-0.599573,7.85194,0.254899,0.027263
"174",4.01686,0.333919,0.367718,0.217165,-0.855731,7.37226,0.268439,0.0132785
"175",3.79274,0.370072,0.340961,0.233583,-0.597279,7.95546,0.276093,0.0188659
"176",3.84904,0.347127,0.318993,0.263865,-0.59199,7.34832,0.266297,0.0194971
"177",3.8746,0.220016,0.300007,0.168627,-0.672763,7.82232,0.26778,0.0194506
"178",3.75161,0.290272,0.410638,0.219867,-0.542813,8.0203,0.272664,0.0670269
"179",3.99421,0.31324,0.314163,0.29999,-0.849448,7.29575,0.249597,0.0171025
"180",3.88422,0.285816,0.311107,0.236296,-0.628802,7.73312,0.263421,0.017752
"181",3.8505,0.381831,0.340077,0.266695,-0.625377,7.65317,0.264914,0.100017
"182",3.86056,0.340644,0.295399,0.246442,-0.635431,7.37538,0.269225,0.0216094
"183",3.89263,0.212181,0.33123,0.251221,-0.665707,7.50542,0.266295,0.0848831
"184",3.93808,0.137169,0.327529,0.190366,-0.690467,7.52969,0.270161,0.0153416
