"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"153",3.85929,0.302681,0.315067,0.223698,-0.673562,7.33511,0.26558
"154",3.91338,0.378774,0.342082,0.251428,-0.758341,7.5403,0.263429
"155",3.78974,0.395674,0.305181,0.266124,-0.522953,7.43908,0.267863
"156",3.78882,0.445249,0.36762,0.188755,-0.593844,7.29922,0.27615
"157",3.99451,0.153836,0.377898,0.265455,-0.772337,7.56619,0.289239
"158",3.79771,0.306738,0.379198,0.244258,-0.555567,7.34035,0.254785
"159",3.79532,0.324355,0.315076,0.264452,-0.615872,7.38441,0.247973
"160",3.83987,0.362387,0.365166,0.246485,-0.718447,7.81048,0.269172
"161",3.86575,0.427164,0.433614,0.179631,-0.701847,7.76197,0.287435
"162",3.93409,0.37388,0.307826,0.281772,-0.763989,7.60504,0.267212
"163",3.87181,0.327171,0.32113,0.243749,-0.694742,7.56018,0.263364
"164",3.88809,0.376897,0.388175,0.265743,-0.688438,7.86792,0.259258
"165",3.84468,0.324539,0.356487,0.174368,-0.602217,7.62822,0.260187
"166",3.81903,0.30218,0.368501,0.310976,-0.5501,7.23636,0.258367
"167",3.91432,0.44589,0.34673,0.196335,-0.782663,8.16704,0.277888
"168",3.84532,0.352004,0.300243,0.305173,-0.585732,7.06675,0.259141
"169",3.87795,0.352662,0.342032,0.210102,-0.693527,7.16241,0.276596
"170",3.80413,0.261243,0.239285,0.235964,-0.608102,7.91362,0.278952
"171",3.8443,0.317987,0.371427,0.224417,-0.662102,7.63716,0.279878
"172",3.83866,0.366687,0.361643,0.292621,-0.63301,7.54435,0.247302
"173",3.9302,0.30741,0.312673,0.263743,-0.67678,7.31387,0.264797
"174",3.91431,0.35406,0.377537,0.223683,-0.736692,7.37787,0.257155
"175",4.0723,0.168877,0.337929,0.216846,-0.811587,7.66218,0.269071
"176",4.04625,0.285606,0.358701,0.234434,-0.837914,7.48764,0.265722
"177",3.86114,0.144887,0.306936,0.233327,-0.618041,7.11926,0.266419
"178",3.87546,0.281823,0.336917,0.226797,-0.644735,7.5099,0.258688
"179",4.00211,0.263707,0.323919,0.272909,-0.726399,7.57206,0.272125
"180",3.8946,0.241059,0.407971,0.225973,-0.717125,7.82719,0.264835
"181",3.8806,0.297608,0.370167,0.208831,-0.642144,7.22853,0.263048
"182",3.8525,0.250861,0.349598,0.224923,-0.647058,7.29513,0.268393
"183",3.97332,0.342323,0.382342,0.255723,-0.770143,7.34762,0.259831
"184",3.9333,0.236302,0.374703,0.160657,-0.701774,7.77777,0.264618
"185",3.80739,0.299331,0.301934,0.275094,-0.564503,7.64874,0.249122
"186",3.82989,0.442761,0.32944,0.244462,-0.662776,7.42502,0.256878
"187",3.88344,0.386429,0.314788,0.281416,-0.627206,7.33735,0.257469
"188",3.8097,0.397409,0.355371,0.247831,-0.602233,7.87838,0.270518
"189",3.92062,0.315546,0.305907,0.202783,-0.701151,7.74035,0.261931
"190",3.95289,0.398064,0.364362,0.28547,-0.804652,8.20259,0.275525
"191",3.86663,0.202042,0.317522,0.244522,-0.635964,7.59553,0.268989
"192",3.67475,0.495548,0.362956,0.260936,-0.468343,7.78969,0.270569
"193",3.83208,0.295784,0.365645,0.226755,-0.612998,7.62651,0.273357
"194",3.80929,0.359709,0.393599,0.234633,-0.571772,7.8799,0.242261
"195",3.72021,0.471161,0.302529,0.212378,-0.560454,7.2994,0.281907
"196",3.79483,0.39217,0.351977,0.230475,-0.668112,7.80758,0.260189
"197",3.74905,0.386563,0.353884,0.252287,-0.543252,7.44751,0.265368
"198",3.89986,0.316044,0.397028,0.216806,-0.73588,7.56339,0.257827
"199",3.68996,0.33505,0.406897,0.226564,-0.479515,7.33033,0.281936
"200",3.88485,0.200356,0.309169,0.213182,-0.679492,6.97979,0.269679
"201",3.85883,0.267644,0.389021,0.230072,-0.668096,7.17627,0.2625
"202",3.8323,0.321374,0.335317,0.222017,-0.648979,7.26099,0.279432
"203",3.97471,0.386566,0.352837,0.264497,-0.871457,7.42549,0.268172
"204",3.80978,0.376719,0.364528,0.219307,-0.638776,7.75155,0.261768
"205",3.78281,0.276756,0.328338,0.234197,-0.611226,7.32076,0.277718
"206",3.82155,0.216338,0.364129,0.267299,-0.61574,7.59151,0.25593
"207",3.764,0.438042,0.317049,0.305753,-0.616194,7.27662,0.272665
"208",3.98121,0.0594799,0.355528,0.170645,-0.776625,7.30521,0.270482
"209",3.92147,0.271886,0.378334,0.232736,-0.740661,7.7829,0.26784
"210",3.85464,0.240902,0.347639,0.27885,-0.654929,7.77386,0.280977
"211",3.85151,0.398617,0.330903,0.283925,-0.688516,7.30366,0.276233
"212",3.96326,0.323176,0.359045,0.18377,-0.78957,7.47869,0.271221
"213",3.82647,0.430732,0.391341,0.258881,-0.690194,7.05457,0.277512
"214",3.84704,0.333852,0.392298,0.249576,-0.635317,7.32192,0.280062
"215",3.80182,0.357983,0.324633,0.185962,-0.574542,7.79366,0.255911
"216",3.92875,0.194385,0.388032,0.238274,-0.744965,7.35177,0.280878
"217",3.85309,0.332364,0.375417,0.224408,-0.65615,7.71922,0.266161
"218",3.87817,0.416008,0.398533,0.291098,-0.747631,7.52402,0.259541
"219",3.89488,0.203923,0.343654,0.148905,-0.623727,8.16938,0.265414
"220",3.91516,0.267157,0.267592,0.189349,-0.689223,7.89596,0.256333
"221",3.9772,0.362637,0.396156,0.187064,-0.825104,7.71739,0.281816
"222",3.81377,0.321969,0.363477,0.251479,-0.684145,7.10051,0.282341
"223",3.79514,0.243217,0.32967,0.147755,-0.532738,7.1313,0.261164
"224",3.95108,0.286985,0.326179,0.297563,-0.696788,7.80315,0.271383
"225",3.82889,0.412613,0.286781,0.269418,-0.635482,7.80304,0.274207
"226",3.95201,0.149749,0.366142,0.203936,-0.720111,7.73484,0.272644
"227",3.85464,0.316505,0.33402,0.225962,-0.599138,7.7071,0.26433
"228",3.85979,0.378901,0.336138,0.223724,-0.619177,7.12978,0.276727
"229",3.85468,0.376518,0.392023,0.279941,-0.657044,7.756,0.286525
"230",3.78009,0.546655,0.352567,0.272916,-0.636906,7.60749,0.268442
"231",3.87006,0.378844,0.294771,0.266167,-0.603632,8.06585,0.280922
"232",3.70334,0.386647,0.323792,0.21382,-0.448783,7.74166,0.25898
"233",3.8984,0.276913,0.316912,0.224282,-0.740984,7.71088,0.273316
"234",3.90258,0.236433,0.34711,0.285567,-0.768469,7.59548,0.2851
"235",3.78176,0.300013,0.387779,0.24134,-0.615019,7.44232,0.252689
"236",3.78443,0.315444,0.319354,0.248891,-0.612807,7.35365,0.264498
"237",3.79702,0.476846,0.400066,0.269841,-0.607304,7.51146,0.275857
"238",3.88388,0.345654,0.391859,0.220009,-0.709416,7.23342,0.295018
"239",3.85208,0.383014,0.274635,0.282364,-0.594098,7.20973,0.268878
"240",3.72871,0.405822,0.369071,0.241055,-0.551604,7.71114,0.269735
"241",3.9365,0.130558,0.332975,0.212834,-0.676972,7.5718,0.25748
"242",3.86714,0.364109,0.401659,0.182534,-0.724878,7.36735,0.263868
"243",3.8215,0.487275,0.367758,0.166371,-0.644652,7.84641,0.276838
"244",3.9476,0.260984,0.346803,0.238849,-0.774937,7.86891,0.268871
"245",3.80852,0.353847,0.269019,0.268602,-0.568073,7.97173,0.270565
"246",3.83936,0.309382,0.414106,0.219606,-0.656063,7.2593,0.270651
"247",3.8693,0.301703,0.37733,0.16739,-0.66825,7.81031,0.264181
"248",3.84616,0.275161,0.33485,0.214605,-0.632824,7.50435,0.271238
"249",3.84675,0.265114,0.349165,0.212551,-0.641385,7.59669,0.263204
"250",3.85964,0.276209,0.362393,0.218702,-0.658612,7.71941,0.27256
"251",3.90852,0.394936,0.349893,0.255999,-0.672444,7.47755,0.26842
"252",3.91361,0.225912,0.344119,0.237026,-0.73053,7.40865,0.267104
"253",3.89293,0.252953,0.367143,0.243819,-0.613546,7.54075,0.25898
"254",3.79306,0.398622,0.290649,0.225597,-0.543489,7.82282,0.245231
"255",3.97006,0.23914,0.365789,0.289659,-0.737727,7.96865,0.277723
"256",3.94093,0.13859,0.344405,0.187677,-0.782883,7.41421,0.285008
"257",3.85867,0.3581,0.337987,0.29159,-0.57501,7.08949,0.276688
"258",3.91633,0.249235,0.342069,0.226782,-0.751,7.35295,0.271503
"259",3.89036,0.264274,0.441341,0.269301,-0.659463,7.19327,0.278821
