"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"179",3.85888,0.145114,0.306624,0.280469,-0.661767,7.85922,0.268179
"180",4.01467,0.0963317,0.312142,0.219427,-0.756366,7.27195,0.279266
"181",4.02306,0.130399,0.395574,0.279935,-0.817575,7.18685,0.27221
"182",3.98424,0.115986,0.338018,0.257694,-0.808599,7.52631,0.269849
"183",3.86342,0.11567,0.334597,0.305553,-0.669119,7.67744,0.263373
"184",3.96838,0.127283,0.319978,0.233926,-0.722737,7.71629,0.259576
"185",3.99479,0.174706,0.342219,0.283786,-0.792527,7.43962,0.279064
"186",4.00667,0.0568523,0.339214,0.211013,-0.737632,7.39303,0.282518
"187",4.12409,0.0611391,0.345898,0.169212,-0.917737,7.88209,0.273461
"188",3.94782,0.0845546,0.277468,0.211026,-0.675716,7.26809,0.268442
"189",3.97591,0.129166,0.29924,0.223113,-0.821362,7.21934,0.277225
"190",3.98743,0.0376129,0.297691,0.245555,-0.687367,7.41403,0.282972
"191",4.01843,0.0848485,0.375299,0.20759,-0.792773,7.33337,0.268079
"192",3.99378,0.0444917,0.304323,0.179486,-0.760529,7.04955,0.273635
"193",3.85128,0.180423,0.321639,0.266093,-0.66116,7.57793,0.286225
"194",3.99937,0.0525151,0.341737,0.213518,-0.765902,7.67517,0.263472
"195",4.01949,0.131916,0.300541,0.249183,-0.797282,7.52356,0.242178
"196",3.92905,0.112191,0.379873,0.176211,-0.746921,7.74957,0.252958
"197",4.00514,0.0287594,0.384448,0.201212,-0.801001,7.62755,0.258985
"198",3.96235,0.101862,0.28277,0.270606,-0.768742,7.43421,0.285307
"199",4.04427,0.0673525,0.354574,0.232916,-0.830416,7.4215,0.268161
"200",3.97194,0.195246,0.349109,0.240348,-0.868083,7.42155,0.275868
"201",3.95183,0.0419319,0.320899,0.262188,-0.645441,7.71572,0.269009
"202",4.03778,-0.0133181,0.32338,0.189691,-0.811532,7.71737,0.289852
"203",3.91928,0.14923,0.363653,0.236789,-0.703547,7.49137,0.269092
"204",3.99041,0.111815,0.33768,0.186522,-0.75643,7.38342,0.280486
"205",3.87805,0.183862,0.305277,0.193304,-0.716545,7.5102,0.265387
"206",4.05996,0.0842476,0.286872,0.212562,-0.815673,7.59726,0.261237
"207",4.00526,0.171361,0.430383,0.181202,-0.839296,7.42389,0.258437
"208",4.04539,0.0451955,0.324241,0.216861,-0.740767,7.43706,0.257209
"209",3.94445,0.144525,0.324099,0.252706,-0.779847,7.41924,0.263706
"210",4.06582,0.038635,0.336509,0.300102,-0.850292,7.39477,0.262493
"211",3.99203,0.115372,0.348922,0.261268,-0.782061,7.60543,0.283467
"212",4.00405,0.0753633,0.365823,0.257659,-0.748778,7.49079,0.233251
"213",3.80042,0.268584,0.366254,0.27675,-0.589563,7.32819,0.268336
"214",3.95224,0.099745,0.259847,0.197573,-0.675925,7.44161,0.284063
"215",4.05347,0.0903117,0.345718,0.253124,-0.831579,7.32294,0.262351
"216",4.06868,0.169216,0.29035,0.112843,-0.844861,7.46172,0.25846
"217",3.86886,0.233413,0.292891,0.278603,-0.730969,7.75879,0.273935
"218",3.89637,0.0607575,0.28599,0.23582,-0.654596,7.76864,0.27156
"219",3.94642,0.113044,0.389126,0.169414,-0.77077,7.95647,0.266236
"220",4.02222,0.0108936,0.302785,0.212769,-0.772311,7.56541,0.257254
"221",3.92643,0.152276,0.322494,0.209377,-0.785276,7.53179,0.261645
"222",3.82925,0.158447,0.293475,0.21666,-0.642199,7.91545,0.262398
"223",4.03205,0.0639092,0.342963,0.238041,-0.759626,7.69351,0.271087
"224",3.88786,0.138838,0.363787,0.273099,-0.674064,7.15607,0.270398
"225",4.05254,0.0792179,0.317344,0.229479,-0.725075,7.41458,0.276979
"226",3.85883,0.190341,0.272423,0.292747,-0.663483,7.01428,0.273025
"227",3.99462,0.21182,0.336557,0.237909,-0.838719,7.08453,0.270931
"228",3.96608,0.0664722,0.289213,0.22134,-0.748349,7.8372,0.277609
"229",3.91586,0.0627543,0.319905,0.22015,-0.698839,7.42907,0.26476
"230",4.00093,0.112155,0.344534,0.260854,-0.767462,7.59646,0.292564
"231",3.92074,0.130377,0.405449,0.165567,-0.700103,7.47195,0.277459
"232",3.83338,0.210851,0.319415,0.270802,-0.726183,7.51114,0.253778
"233",3.92405,0.0361249,0.340914,0.255237,-0.713199,7.16915,0.264436
"234",3.91984,0.15454,0.353237,0.271664,-0.772697,7.60805,0.262454
"235",3.89682,0.0911998,0.273122,0.296803,-0.684723,7.17806,0.287155
"236",4.00676,0.156878,0.352028,0.261064,-0.774752,6.98188,0.256005
"237",3.96878,0.0348318,0.315698,0.199487,-0.729918,7.52275,0.265835
"238",4.07189,0.0635282,0.380367,0.174692,-0.826434,7.66427,0.26969
"239",3.9475,-0.0300946,0.313823,0.221826,-0.720782,7.52052,0.247946
"240",3.79104,0.190549,0.324364,0.236167,-0.601468,7.45315,0.2663
"241",3.92275,0.109122,0.343124,0.231564,-0.692879,7.86399,0.251619
"242",4.00276,0.0475515,0.28353,0.269737,-0.712344,7.82043,0.272505
"243",4.07517,0.128962,0.295533,0.227525,-0.821087,7.17236,0.277607
"244",3.91241,0.17948,0.307376,0.259791,-0.777901,7.02047,0.262008
"245",3.92954,0.157407,0.323352,0.280184,-0.75761,7.20101,0.25539
"246",3.9167,0.170163,0.334127,0.236486,-0.776316,7.61424,0.270181
"247",3.88977,0.158304,0.343084,0.247618,-0.666182,7.50372,0.267596
"248",3.93016,0.124584,0.3225,0.213097,-0.713287,7.40982,0.268352
"249",4.08211,0.000325395,0.403303,0.192556,-0.796658,7.57798,0.278666
"250",3.88519,0.0951861,0.343945,0.203688,-0.670235,7.45993,0.263478
"251",3.96201,0.102794,0.347426,0.222144,-0.773953,7.72115,0.254449
"252",3.95636,0.191155,0.311174,0.270231,-0.749211,7.43124,0.264554
"253",3.96405,0.0985417,0.291982,0.240622,-0.738219,7.42277,0.260742
"254",4.07519,0.0332216,0.377875,0.221833,-0.82185,7.50488,0.282785
"255",3.99004,0.0409921,0.313993,0.191864,-0.748634,7.15996,0.271314
"256",3.97592,0.0310622,0.364087,0.192129,-0.761582,7.60572,0.255106
"257",3.92386,0.0646818,0.390767,0.127842,-0.757424,7.49913,0.264116
"258",4.00388,0.0724337,0.305509,0.271185,-0.755877,7.68997,0.266078
"259",4.0149,0.101171,0.346633,0.244616,-0.84607,7.5826,0.276848
"260",4.0224,0.136422,0.319684,0.269819,-0.808412,7.25398,0.266179
"261",3.95677,0.0535451,0.37469,0.210987,-0.760267,7.46844,0.252526
"262",3.89499,0.17983,0.315037,0.266335,-0.639691,7.31814,0.267518
"263",4.11142,0.0491769,0.363451,0.249458,-0.843431,7.61581,0.252545
"264",3.88467,0.240983,0.286513,0.265984,-0.694928,7.19897,0.263738
"265",3.88029,0.249926,0.344064,0.270786,-0.746201,7.33987,0.26273
"266",3.94871,0.00270262,0.31234,0.249104,-0.668591,7.23269,0.246502
"267",4.117,0.0442326,0.35197,0.255033,-0.874164,7.31964,0.24993
"268",4.00547,0.182213,0.32349,0.241409,-0.888569,7.50619,0.270785
"269",3.87282,0.14578,0.298714,0.179475,-0.710918,7.1931,0.264148
"270",3.94382,0.131957,0.285586,0.239246,-0.715795,7.43757,0.256144
"271",3.95868,0.163091,0.37051,0.262208,-0.708888,7.56747,0.276808
"272",4.03793,0.0848308,0.27753,0.216791,-0.822357,7.7276,0.270111
"273",4.07753,0.00128331,0.344553,0.208193,-0.852692,7.83937,0.260947
"274",4.10556,0.18574,0.314147,0.255273,-1.00246,7.55467,0.274397
"275",3.84703,0.225063,0.325291,0.208805,-0.629218,7.67698,0.270359
"276",4.02446,0.137856,0.293317,0.217221,-0.790206,7.3398,0.257365
"277",3.89556,0.0895461,0.315719,0.223355,-0.667751,7.53435,0.268811
"278",3.927,0.10905,0.323315,0.225527,-0.687548,7.35468,0.243597
"279",3.95821,0.0976485,0.322325,0.205479,-0.68733,7.41571,0.274569
"280",4.09405,0.0175674,0.358807,0.246615,-0.805393,7.55724,0.292508
"281",4.04152,0.0970546,0.334677,0.169408,-0.888798,7.11921,0.272036
"282",3.86957,0.0853675,0.262044,0.237191,-0.623285,7.37672,0.26864
"283",3.9708,0.151789,0.283609,0.215752,-0.76117,7.79769,0.252408
"284",3.98359,0.0916606,0.270935,0.233543,-0.73959,7.62174,0.247004
"285",3.94687,0.102484,0.270876,0.218765,-0.745203,7.67218,0.260144
"286",3.99691,0.079027,0.303529,0.193857,-0.802758,7.41456,0.258513
"287",3.81707,0.0963479,0.343999,0.240283,-0.5866,7.98503,0.261091
"288",4.01507,0.139834,0.320388,0.244644,-0.773746,7.5108,0.263486
"289",3.99929,0.190585,0.360757,0.222759,-0.855209,7.15672,0.253178
"290",3.96987,0.0482427,0.341195,0.308733,-0.74271,7.49403,0.267395
"291",4.02973,0.117687,0.273262,0.19244,-0.747151,7.47857,0.261604
"292",4.07778,0.0841268,0.262398,0.230719,-0.841913,7.76082,0.250202
"293",3.98276,0.0997393,0.313414,0.258157,-0.785958,7.39238,0.28845
"294",4.01993,0.173271,0.380001,0.269,-0.902373,8.08299,0.264199
"295",4.21108,0.131294,0.428597,0.215722,-1.02824,7.52986,0.258824
"296",3.88921,0.236994,0.307281,0.321018,-0.767471,7.25595,0.264274
"297",3.93171,0.133792,0.37204,0.227932,-0.783735,7.81789,0.264594
"298",3.84262,0.17187,0.288654,0.26211,-0.761687,7.47851,0.280337
"299",4.1348,0.0192834,0.394726,0.166721,-0.921148,8.08192,0.26708
"300",3.94917,0.150802,0.363141,0.268422,-0.728422,7.39979,0.274336
"301",3.92226,0.189606,0.324649,0.250143,-0.694031,7.49468,0.271955
"302",4.11439,0.000382808,0.359537,0.223841,-0.891622,7.13896,0.283756
"303",3.87872,0.150354,0.298882,0.240902,-0.685898,7.38226,0.2532
"304",3.83043,0.0993197,0.348213,0.233471,-0.646814,7.33566,0.254619
"305",3.87273,0.0956999,0.350559,0.237792,-0.661336,7.24229,0.27078
"306",4.08356,0.0265902,0.306208,0.257451,-0.824451,7.70328,0.273467
"307",4.0785,-0.0335133,0.420831,0.221611,-0.825853,7.74298,0.271398
"308",4.04762,0.104341,0.273401,0.222906,-0.797822,7.76469,0.27842
"309",4.03285,0.19472,0.433927,0.237506,-0.863759,7.74439,0.264918
"310",3.97163,0.117543,0.377998,0.257489,-0.816199,7.42257,0.261887
"311",4.04128,0.141048,0.299623,0.268836,-0.818305,7.67072,0.253301
"312",3.93886,0.100936,0.349341,0.22181,-0.770983,7.61029,0.280071
"313",3.99662,0.109783,0.347277,0.259779,-0.787894,7.36162,0.2694
"314",3.92439,0.221967,0.365463,0.241,-0.785341,7.68764,0.271043
"315",3.8597,0.200189,0.286787,0.266096,-0.676712,7.81229,0.275186
"316",3.88828,0.206108,0.375425,0.199243,-0.686922,7.46723,0.2772
"317",3.97884,0.174262,0.32191,0.268601,-0.757277,7.64237,0.261749
