"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"141",3.28488,0.0730962,0.117249,0.101355,0.287261,7.73519,0.199637
"142",3.30112,0.0137367,0.152332,0.0510589,0.218392,7.71941,0.196016
"143",3.31269,-0.00219584,0.14891,0.0389689,0.236345,8.02058,0.197356
"144",3.32773,0.0870417,0.14328,0.0683514,0.132461,7.66818,0.180709
"145",3.40894,0.0305122,0.151122,0.0652621,0.122475,7.71809,0.192045
"146",3.30012,0.0260004,0.165193,0.0571748,0.249325,8.02065,0.189043
"147",3.25362,-0.00268564,0.173221,0.0778852,0.250416,7.42262,0.195225
"148",3.39017,0.0583074,0.115322,0.0652711,0.1195,7.80473,0.192042
"149",3.31584,0.0308244,0.131995,0.0424571,0.233684,7.68583,0.197563
"150",3.36031,0.0631349,0.143653,0.0767583,0.174941,7.85718,0.193583
"151",3.32724,0.0213506,0.158811,0.0393712,0.204196,7.97058,0.202678
"152",3.30741,0.0914745,0.113638,0.0675254,0.154426,7.56889,0.201792
"153",3.20134,0.132097,0.188394,0.105914,0.267075,7.75678,0.189731
"154",3.3843,-0.0141086,0.157393,0.0792065,0.122418,7.62034,0.201631
"155",3.24774,0.131394,0.177787,0.070283,0.269337,7.83851,0.194842
"156",3.29801,0.00374467,0.181757,0.0536015,0.24172,7.81418,0.18413
"157",3.30512,0.0469369,0.155784,0.013731,0.24079,7.69807,0.183777
"158",3.3049,0.0733375,0.124455,0.0669508,0.168151,7.98797,0.186144
"159",3.26755,0.0749697,0.158773,0.0763381,0.216581,7.92585,0.196126
"160",3.27151,0.0288357,0.154509,0.0524201,0.233946,7.75986,0.180639
"161",3.28254,0.0392862,0.173216,0.0843336,0.240139,7.73483,0.192659
"162",3.24123,0.0297755,0.155887,0.0546953,0.263335,7.74284,0.190694
"163",3.2562,0.0978403,0.15726,0.0591586,0.292532,7.77773,0.19463
"164",3.35399,0.124569,0.122064,0.041542,0.111901,7.83327,0.188396
"165",3.38252,0.0382826,0.121507,0.0455861,0.103794,7.70793,0.20399
"166",3.3702,0.0400342,0.170527,0.0387354,0.140547,7.73193,0.189512
"167",3.35334,0.056669,0.141734,0.0608034,0.196954,7.68613,0.189734
"168",3.27936,0.0897694,0.160002,0.057552,0.218148,7.96881,0.186077
"169",3.23313,0.0429051,0.146109,0.0541469,0.243336,8.01218,0.189157
"170",3.3322,0.0852375,0.110683,0.0737697,0.220538,7.8013,0.18307
"171",3.33645,0.134069,0.136312,0.0997386,0.104654,7.97383,0.187173
"172",3.25425,0.0944532,0.148163,0.0839286,0.214379,7.75594,0.188653
"173",3.22181,0.0239651,0.15502,0.0499096,0.329248,7.81968,0.182295
"174",3.28635,0.125649,0.140967,0.0398807,0.201033,7.53724,0.188442
"175",3.31163,0.0892717,0.116757,0.0335042,0.164668,7.74381,0.189587
"176",3.28519,0.0146638,0.171652,0.0834807,0.23312,7.61603,0.195008
"177",3.3453,0.0054049,0.182023,0.0426586,0.209998,8.31765,0.192718
"178",3.24978,0.0154538,0.154152,0.0452593,0.265709,7.97089,0.196629
"179",3.2795,0.0727868,0.148499,0.0581245,0.217322,7.86779,0.198116
"180",3.30177,0.039066,0.143956,0.0366832,0.155816,7.68014,0.196348
"181",3.33925,0.113137,0.155316,0.0413675,0.141967,7.64964,0.186302
"182",3.29887,0.0645826,0.127085,-0.00100598,0.159753,7.54283,0.189251
"183",3.30211,0.065301,0.158788,0.0619641,0.197241,7.77443,0.193016
"184",3.32754,0.0415572,0.140898,0.0530459,0.217078,7.77252,0.196854
"185",3.32613,0.0616351,0.159418,0.051854,0.184878,7.84999,0.190485
"186",3.3096,0.0387771,0.15769,0.0385287,0.238559,8.07402,0.191264
"187",3.28757,0.169316,0.142191,0.0446012,0.164118,7.83922,0.202412
"188",3.29478,-0.0101479,0.157603,0.0647292,0.239161,7.78096,0.183003
"189",3.25775,0.0716554,0.124144,0.024863,0.239876,7.89232,0.194397
"190",3.23972,0.0541333,0.161778,0.0737973,0.278451,7.73657,0.190733
"191",3.22875,0.025227,0.178509,0.0472623,0.265127,7.87507,0.200986
"192",3.32844,0.0741158,0.157173,0.0984199,0.222326,7.84962,0.183391
"193",3.29544,0.0822013,0.160591,0.0421368,0.230216,7.69462,0.189732
"194",3.29331,0.052425,0.128118,0.0680584,0.216085,7.51016,0.193256
"195",3.28003,0.120507,0.158263,0.0586179,0.229761,7.72043,0.191489
"196",3.32067,0.0333171,0.137741,0.0887682,0.202046,7.76944,0.19604
"197",3.29402,0.062414,0.180801,0.0161065,0.14247,8.02072,0.193276
"198",3.30055,0.0302166,0.177742,0.0612604,0.203669,7.81076,0.193878
"199",3.21833,0.117981,0.132256,0.0677306,0.260381,7.80688,0.194329
"200",3.28202,0.0397884,0.143389,0.0694939,0.21158,7.54178,0.192906
"201",3.35955,0.0506197,0.141649,0.020208,0.156853,7.85496,0.185329
"202",3.3721,0.0205708,0.179122,0.0377847,0.147923,7.92034,0.19772
"203",3.35594,0.171744,0.12469,0.0604854,0.0776945,7.3056,0.19249
"204",3.33081,0.101179,0.160034,0.056413,0.163884,7.61317,0.191442
"205",3.32537,0.0352947,0.182021,0.00965178,0.185276,7.461,0.187812
"206",3.3346,0.126763,0.141475,0.0540167,0.140078,7.54465,0.192398
"207",3.22804,0.0189832,0.169328,0.0598449,0.286816,8.06561,0.190675
"208",3.27975,0.112648,0.134054,0.07627,0.200014,7.59392,0.201921
"209",3.30081,0.073819,0.147977,0.0332003,0.186628,7.71198,0.187307
"210",3.25196,0.13554,0.132229,0.0670724,0.258683,7.61308,0.200055
"211",3.31247,0.141905,0.152912,0.0146401,0.149089,7.76536,0.181821
"212",3.31446,0.0581163,0.162116,0.0783377,0.214465,7.69553,0.183187
"213",3.285,0.0885581,0.139292,0.050286,0.247897,7.74959,0.203536
"214",3.42819,0.0227918,0.111244,0.0519861,0.0427844,7.88023,0.189211
"215",3.27398,0.0707858,0.187587,0.0764428,0.227539,7.71239,0.187161
"216",3.32843,0.0489545,0.133457,0.0513919,0.201702,7.86985,0.188434
"217",3.29484,0.0428919,0.129598,0.0419196,0.159555,7.5958,0.192945
"218",3.31911,0.0276396,0.128126,0.050407,0.200782,7.95512,0.191151
"219",3.24941,0.0243888,0.180979,0.0580415,0.278564,7.79573,0.182997
"220",3.31577,0.0842616,0.0817512,0.0965406,0.135946,7.59064,0.192548
"221",3.32266,0.0565071,0.145621,0.0713345,0.202779,7.93324,0.194653
"222",3.31253,0.0992223,0.140192,0.0563728,0.168753,7.8436,0.199453
"223",3.3311,-0.00355405,0.158249,0.0638423,0.145021,8.07822,0.191937
"224",3.27751,0.0389358,0.178588,0.0398331,0.223177,7.53169,0.192046
"225",3.28519,0.0511444,0.158758,0.061893,0.222895,7.78765,0.192267
"226",3.26637,0.0866946,0.14179,0.0478205,0.242159,7.8654,0.188112
"227",3.29802,0.0186928,0.122893,0.00601546,0.212146,7.9762,0.193999
"228",3.21764,0.0916151,0.201609,0.0979448,0.325549,7.7296,0.195764
"229",3.2753,0.0894246,0.145398,0.0581999,0.193663,7.85447,0.189889
"230",3.44565,0.120584,0.133477,0.015241,0.0157867,7.75746,0.193087
"231",3.25904,0.187695,0.189727,0.071374,0.201771,7.62545,0.196984
"232",3.29097,0.0306285,0.161639,0.0760599,0.248046,7.5911,0.192543
"233",3.22136,0.126484,0.166182,0.0842078,0.291584,7.61088,0.190116
"234",3.29033,0.0410677,0.147885,0.0618941,0.239981,7.71359,0.192305
"235",3.30301,0.0623128,0.152666,0.0858958,0.219555,7.62248,0.188845
"236",3.28414,0.0801175,0.160219,0.0331552,0.222787,7.96332,0.191021
"237",3.37386,0.0602991,0.105751,0.0891358,0.186204,7.82257,0.192261
"238",3.37352,0.079876,0.147951,0.0657786,0.117694,7.69055,0.197027
"239",3.35292,0.104108,0.123693,0.0297874,0.0818312,7.70083,0.194345
"240",3.21551,0.172636,0.154956,0.082242,0.296509,7.57405,0.196783
"241",3.35469,0.0128225,0.1529,0.0645139,0.173743,7.9925,0.19409
"242",3.30411,0.0518663,0.138273,0.0594769,0.207771,7.62665,0.193898
"243",3.31207,0.132059,0.126674,0.0691447,0.1837,7.78337,0.190989
"244",3.34699,0.0740783,0.156973,0.0249592,0.114636,7.84322,0.195939
"245",3.33084,0.0371417,0.146563,0.0554496,0.178702,7.79748,0.191148
"246",3.32986,0.140048,0.12777,0.0530387,0.149357,7.81108,0.195407
"247",3.22992,0.15932,0.142412,0.04302,0.253991,7.93278,0.199188
"248",3.27063,-0.00827106,0.178347,0.0467033,0.26636,7.65926,0.194699
"249",3.30943,0.106285,0.123226,0.011875,0.163093,7.8286,0.195536
"250",3.31579,0.0414194,0.148399,0.0722278,0.178349,7.88383,0.197928
"251",3.33081,0.00267393,0.174534,0.0507821,0.190128,7.69277,0.191922
"252",3.2159,0.199567,0.102865,0.0418168,0.200129,7.92077,0.187348
"253",3.34659,0.0717223,0.147409,0.0354344,0.145648,7.98548,0.1991
"254",3.26777,0.121731,0.162242,0.0469296,0.232029,7.82732,0.191654
"255",3.31542,0.130695,0.137866,0.0640126,0.163225,7.64155,0.206194
"256",3.36724,0.0298824,0.158905,0.0315358,0.14107,7.92871,0.194718
"257",3.26223,0.043976,0.138605,0.0863075,0.22727,7.84399,0.183747
"258",3.26327,0.106781,0.150134,0.0541479,0.23251,7.80493,0.186966
"259",3.42948,0.161063,0.115458,0.0516883,0.0517272,8.09264,0.191243
"260",3.26951,0.0440781,0.17648,0.0523929,0.235565,7.67151,0.194163
"261",3.40944,0.10288,0.12484,0.0130786,0.0627962,7.95973,0.184532
"262",3.27013,0.104753,0.163937,0.0855357,0.225699,7.75926,0.194863
"263",3.3901,0.0215857,0.176844,0.0507306,0.10366,7.79465,0.193712
"264",3.26844,0.07091,0.154767,0.0665914,0.211138,7.98711,0.192295
"265",3.27375,0.0910144,0.136581,0.0808627,0.233814,7.87493,0.191271
"266",3.32697,0.0562909,0.174958,0.0816869,0.168787,7.67832,0.189971
"267",3.35292,0.0153503,0.15984,0.0269912,0.148038,7.97493,0.189998
"268",3.31262,0.0947285,0.177477,0.0534787,0.21065,7.41851,0.186205
"269",3.23061,0.118386,0.130089,0.0636174,0.244889,7.53068,0.190764
"270",3.26027,0.0429799,0.151941,0.0793555,0.246258,7.6365,0.189835
"271",3.31759,0.0227982,0.129629,0.0595493,0.210908,7.70337,0.192038
"272",3.33128,0.0312076,0.132592,0.0530021,0.159294,7.86424,0.190948
"273",3.28449,0.0442186,0.146797,0.0448622,0.204771,7.89214,0.190818
"274",3.30738,0.117231,0.162153,0.0641233,0.237161,7.66381,0.202644
"275",3.23252,0.116838,0.15798,0.02638,0.231707,7.88271,0.187957
"276",3.31894,0.0634456,0.141412,0.0418848,0.205799,7.52198,0.197702
"277",3.33389,0.119349,0.137985,0.016956,0.14108,7.89105,0.200175
"278",3.36109,0.0118411,0.136126,0.0225304,0.151812,7.78895,0.189683
