"","b[1]","b[2]","b[3]","b[4]","b[5]","sigma","phi"
"112",3.3674,0.537594,-0.00336649,-0.109325,-0.134031,6.31708,0.274598
"113",3.35548,0.476285,-0.0561246,-0.0299618,0.0544128,6.37296,0.277166
"114",3.37789,0.534057,-0.0742366,-0.0989903,-0.188972,6.91907,0.27986
"115",3.36802,0.637501,-0.0432066,-0.0640767,-0.130448,6.42264,0.259784
"116",3.33929,0.480826,-0.031188,-0.0384968,0.0382172,6.68874,0.285072
"117",3.3862,0.517999,0.00679131,-0.0965091,-0.0283091,7.46623,0.276358
"118",3.38861,0.524477,-0.0786493,-0.0862087,-0.155078,6.58883,0.266331
"119",3.38155,0.532908,-0.0059045,-0.0211165,-0.144976,6.51324,0.274147
"120",3.3524,0.566172,-0.00864991,-0.0679699,-0.0754137,6.43552,0.279502
"121",3.32989,0.64975,-0.0994957,-0.0487005,-0.0539337,6.37591,0.29528
"122",3.32632,0.609516,-0.0745045,-0.00709555,-0.018456,6.71438,0.295773
"123",3.39051,0.578818,0.00282576,-0.0891468,-0.236355,6.69779,0.292382
"124",3.35365,0.513344,-0.0606319,-0.0861131,0.0927035,7.0047,0.276862
"125",3.29429,0.551642,-0.134364,-0.035491,0.114637,6.61074,0.298986
"126",3.30947,0.73765,-0.0484365,-0.0280029,0.105803,6.74889,0.283964
"127",3.29361,0.739587,-0.0383106,-0.0618284,0.237428,6.49286,0.270122
"128",3.42478,0.602031,-0.026245,-0.0808735,-0.205604,6.9301,0.289736
"129",3.46978,0.388321,-0.0429394,-0.096169,-0.0424162,6.66352,0.296482
"130",3.37488,0.553094,-0.0234348,-0.0406098,-0.0116012,6.41583,0.295112
"131",3.37648,0.590216,-0.0808643,0.0061504,0.0725725,6.59264,0.303751
"132",3.36516,0.546986,-0.0955456,-0.0601664,-0.0749464,6.97181,0.27663
"133",3.3278,0.53889,-0.115936,-0.112005,-0.11754,7.004,0.286462
"134",3.3666,0.566749,-0.052159,-0.0262758,0.0546395,6.38328,0.280319
"135",3.36178,0.529181,-0.0178091,-0.0852302,-0.0877554,6.81607,0.281829
"136",3.37506,0.516443,-0.0630618,0.013229,0.114091,6.92132,0.289573
"137",3.39837,0.491454,-0.0633227,-0.0212453,-0.171836,6.84344,0.28353
"138",3.35634,0.64331,-0.0957253,-0.0647498,-0.0740013,6.45815,0.273205
"139",3.36907,0.506815,-0.0954802,-0.0747627,-0.176627,6.64889,0.285546
"140",3.39645,0.540636,-0.0567509,-0.0744873,-0.118353,6.42492,0.280062
"141",3.34369,0.603026,-0.0544825,-0.0736244,-0.121864,6.63589,0.278403
"142",3.35329,0.657973,-0.0581113,-0.0348956,-0.0057911,6.40176,0.277841
"143",3.43423,0.450794,-0.0699082,-0.0708749,-0.186739,6.78697,0.30059
"144",3.42648,0.490777,-0.0071415,-0.0509155,-0.275369,6.77703,0.305469
"145",3.45499,0.551515,-0.0792536,-0.0376099,-0.346032,6.66817,0.274341
"146",3.37342,0.537455,-0.0374145,-0.0501542,0.113736,6.53198,0.288465
"147",3.46067,0.43144,-0.0248776,-0.0510531,-0.277174,6.60536,0.281482
"148",3.38863,0.529118,-0.111581,-0.0883517,-0.0749108,6.37993,0.272964
"149",3.34622,0.567443,-0.0424405,-0.114467,0.0947666,6.91539,0.279431
"150",3.41399,0.466367,-0.0617685,-0.0365936,0.00887741,6.74253,0.274723
"151",3.37285,0.536416,-0.0689856,-0.027721,0.00363672,6.30627,0.28299
"152",3.42629,0.445043,-0.0711553,-0.0378188,-0.0521789,6.74076,0.264418
"153",3.27128,0.629583,-0.077133,-0.0348633,-0.215503,6.59002,0.267246
"154",3.31813,0.575671,-0.0431653,-0.0294438,0.252912,6.45365,0.269935
"155",3.39967,0.577133,-0.0827624,-0.0452235,-0.116353,7.11532,0.276142
"156",3.35057,0.544383,-0.0257686,-0.016339,0.124408,6.48448,0.278331
"157",3.34577,0.579651,-0.00928355,-0.0689295,-0.077204,6.65799,0.26597
"158",3.32603,0.520357,-0.0407028,-0.0215609,0.122172,6.61632,0.27482
"159",3.34687,0.632673,-0.0512993,-0.0497203,0.0407826,6.67083,0.266633
"160",3.37709,0.561224,-0.0518698,-0.114875,-0.127665,6.74724,0.269367
"161",3.36375,0.530519,0.0102337,-0.0896793,0.00343573,6.66608,0.275042
"162",3.3265,0.641702,-0.0334949,-0.109919,-0.0393082,6.68447,0.261816
